Technology,Zone,EC_Category,New_Build,Capacity_INI (MW),Capacity_RET (MW),Capacity_FIN (MW)
WindOn,AEP_IN,Existing,0,651.7,0.0,651.7
SolarPV,BC_MD,Existing,0,65.8,0.0,65.8
SolarPV,PEP_MD,Existing,0,89.2,0.0,89.2
Landfill_NG,AP_VA,Existing,0,7.399999999999997,0.0,7.399999999999997
NGCC,AEP_IN,Existing,0,260.0,0.0,260.0
SolarPV,DPL_MD,Existing,0,190.09999999999997,0.0,190.09999999999997
Landfill_NG,AEP_VA,Existing,0,4.699999999999998,0.0,4.699999999999998
Bio,AP_VA,Existing,0,1.4,0.0,1.4
Bio,CE_IL,Existing,0,3.0,0.0,3.0
NGCC,BC_MD,Existing,0,24.5,0.0,24.5
Landfill_NG,JC_NJ,Existing,0,9.6,0.0,9.6
SolarPV,PE_PA,Existing,0,2.9,0.0,2.9
Bio,PE_PA,Existing,0,5.6,0.0,5.6
SolarPV,AP_MD,Existing,0,65.6,0.0,65.6
NGCC,PN_PA,Existing,0,3565.5,0.0,3565.5
Landfill_NG,AEP_MI,Existing,0,8.8,0.0,8.8
Bio,DUQ_PA,Existing,0,3.3,0.0,3.3
SolarPV,AEP_IN,Existing,0,307.1,0.0,307.1
Bio,BC_MD,Existing,0,2.2,0.0,2.2
NGCC,DPL_MD,Existing,0,1113.6,0.0,1113.6
SolarPV,DOM_VA,Existing,0,1842.0000000000005,0.0,1842.0000000000005
WindOff,DOM_VA,Existing,0,12.0,0.0,12.0
SolarPV,RECO_NJ,Existing,0,6.4,0.0,6.4
Landfill_NG,AP_PA,Existing,0,3.2,0.0,3.2
SolarPV,AEP_MI,Existing,0,4.6,0.0,4.6
SolarPV,AP_VA,Existing,0,114.59999999999998,0.0,114.59999999999998
WindOn,DOM_NC,Existing,0,208.0,0.0,208.0
NGCC,AP_PA,Existing,0,1798.7,0.0,1798.7
SolarPV,AEP_VA,Existing,0,226.5,0.0,226.5
Landfill_NG,DEOK_OH,Existing,0,4.800000000000001,0.0,4.800000000000001
SolarPV,DEOK_KY,Existing,0,4.0,0.0,4.0
SolarPV,DPL_VA,Existing,0,20.0,0.0,20.0
SolarPV,AEP_KY,Existing,0,1.1,0.0,1.1
SolarPV,PN_PA,Existing,0,70.0,0.0,70.0
SolarPV,DEOK_OH,Existing,0,201.4,0.0,201.4
Landfill_NG,AEP_WV,Existing,0,3.2,0.0,3.2
Oil,PS_NJ,Existing,0,6.1,0.0,6.1
SolarPV,AP_PA,Existing,0,3.3,0.0,3.3
SolarPV,DUQ_PA,Existing,0,3.0,0.0,3.0
WindOff,DPL_MD,Existing,0,2000.0,0.0,2000.0
WindOn,AP_PA,Candidate,0,0.0,0.0,0.0
SolarPV,AP_PA,Candidate,0,0.0,0.0,0.0
WindOn,DPL_MD,Candidate,0,0.0,0.0,0.0
SolarPV,DPL_MD,Candidate,0,0.0,0.0,0.0
WindOff,DPL_MD,Candidate,0,0.0,0.0,0.0
WindOn,DPL_VA,Candidate,1,0.0,0.0,496.15719294825846
SolarPV,DPL_VA,Candidate,1,0.0,0.0,72.58294724500786
WindOff,DPL_VA,Candidate,0,0.0,0.0,0.0
WindOn,BC_MD,Candidate,0,0.0,0.0,0.0
SolarPV,BC_MD,Candidate,0,0.0,0.0,0.0
WindOn,PEP_MD,Candidate,0,0.0,0.0,0.0
SolarPV,PEP_MD,Candidate,0,0.0,0.0,0.0
SolarPV,ATSI_OH,Candidate,1,0.0,0.0,6011.473786797533
WindOn,AE_NJ,Candidate,1,0.0,0.0,2677.917464079628
SolarPV,AE_NJ,Candidate,0,0.0,0.0,0.0
WindOn,AEP_VA,Candidate,1,0.0,0.0,10000.0
SolarPV,AEP_VA,Candidate,0,0.0,0.0,0.0
WindOn,AEP_WV,Candidate,0,0.0,0.0,0.0
SolarPV,AEP_WV,Candidate,1,0.0,0.0,7950.051147858653
WindOn,AEP_KY,Candidate,0,0.0,0.0,0.0
SolarPV,AEP_KY,Candidate,0,0.0,0.0,0.0
WindOn,AEP_TN,Candidate,0,0.0,0.0,0.0
SolarPV,AEP_TN,Candidate,0,0.0,0.0,0.0
WindOn,AEP_OH,Candidate,1,0.0,0.0,3000.218230172859
SolarPV,AEP_OH,Candidate,1,0.0,0.0,4903.688266681937
WindOn,AEP_MI,Candidate,0,0.0,0.0,0.0
SolarPV,AEP_MI,Candidate,0,0.0,0.0,0.0
WindOn,AEP_IN,Candidate,0,0.0,0.0,0.0
SolarPV,AEP_IN,Candidate,0,0.0,0.0,0.0
WindOn,AP_WV,Candidate,0,0.0,0.0,0.0
SolarPV,AP_WV,Candidate,1,0.0,0.0,8014.334213740707
WindOn,ATSI_PA,Candidate,0,0.0,0.0,0.0
SolarPV,ATSI_PA,Candidate,0,0.0,0.0,0.0
WindOn,ATSI_OH,Candidate,1,0.0,0.0,3452.729969309253
SolarPV,ATSI_OH,Candidate,1,0.0,0.0,2737.378348093515
WindOn,CE_IL,Candidate,1,0.0,0.0,8185.115219459163
SolarPV,CE_IL,Candidate,0,0.0,0.0,0.0
WindOn,DAY_OH,Candidate,1,0.0,0.0,2288.0710146077304
SolarPV,DAY_OH,Candidate,1,0.0,0.0,2561.100288197003
WindOn,DOM_NC,Candidate,1,0.0,0.0,1235.684154697946
SolarPV,DOM_NC,Candidate,0,0.0,0.0,0.0
WindOn,DOM_VA,Candidate,1,0.0,0.0,10000.0
SolarPV,DOM_VA,Candidate,1,0.0,0.0,2488.6562263839487
WindOn,DEOK_OH,Candidate,1,0.0,0.0,1695.032484046381
SolarPV,DEOK_OH,Candidate,1,0.0,0.0,1792.9373921049153
WindOn,DEOK_KY,Candidate,1,0.0,0.0,1118.9569936102391
SolarPV,DEOK_KY,Candidate,1,0.0,0.0,239.57781628567747
WindOn,DUQ_PA,Candidate,0,0.0,0.0,0.0
SolarPV,DUQ_PA,Candidate,0,0.0,0.0,0.0
WindOn,EKPC_KY,Candidate,0,0.0,0.0,0.0
SolarPV,EKPC_KY,Candidate,0,0.0,0.0,0.0
WindOn,JC_NJ,Candidate,1,0.0,0.0,5676.140514549504
SolarPV,JC_NJ,Candidate,0,0.0,0.0,0.0
WindOn,ME_PA,Candidate,0,0.0,0.0,0.0
SolarPV,ME_PA,Candidate,0,0.0,0.0,0.0
WindOn,OVEC_OH,Candidate,1,0.0,0.0,1101.4206091091066
SolarPV,OVEC_OH,Candidate,1,0.0,0.0,926.3773042492505
WindOn,PL_PA,Candidate,0,0.0,0.0,0.0
SolarPV,PL_PA,Candidate,0,0.0,0.0,0.0
WindOn,PE_PA,Candidate,0,0.0,0.0,0.0
SolarPV,PE_PA,Candidate,0,0.0,0.0,0.0
WindOn,PN_PA,Candidate,0,0.0,0.0,0.0
SolarPV,PN_PA,Candidate,0,0.0,0.0,0.0
WindOn,PS_NJ,Candidate,1,0.0,0.0,7889.319358249785
SolarPV,PS_NJ,Candidate,0,0.0,0.0,0.0
WindOn,RECO_NJ,Candidate,0,0.0,0.0,0.0
SolarPV,RECO_NJ,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AE_NJ,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_VA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_WV,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_KY,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_TN,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_OH,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_IN,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AEP_MI,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AP_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AP_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AP_VA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,AP_WV,Candidate,0,0.0,0.0,0.0
NGCC_CCS,ATSI_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,ATSI_OH,Candidate,0,0.0,0.0,0.0
NGCC_CCS,BC_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,CE_IL,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DAY_OH,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DPL_DE,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DPL_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DPL_VA,Candidate,1,0.0,0.0,234.12113822856256
NGCC_CCS,DOM_NC,Candidate,1,0.0,0.0,1576.8901624062269
NGCC_CCS,DOM_VA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DEOK_OH,Candidate,0,0.0,0.0,0.0
NGCC_CCS,DEOK_KY,Candidate,1,0.0,0.0,250.95781251017388
NGCC_CCS,DUQ_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,EKPC_KY,Candidate,0,0.0,0.0,0.0
NGCC_CCS,JC_NJ,Candidate,0,0.0,0.0,0.0
NGCC_CCS,ME_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,OVEC_OH,Candidate,0,0.0,0.0,0.0
NGCC_CCS,PL_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,PE_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,PN_PA,Candidate,0,0.0,0.0,0.0
NGCC_CCS,PEP_MD,Candidate,0,0.0,0.0,0.0
NGCC_CCS,PS_NJ,Candidate,0,0.0,0.0,0.0
NGCC_CCS,RECO_NJ,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AE_NJ,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_VA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_WV,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_KY,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_TN,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_OH,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_IN,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AEP_MI,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AP_MD,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AP_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AP_VA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,AP_WV,Candidate,0,0.0,0.0,0.0
NGCT_CCS,ATSI_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,ATSI_OH,Candidate,0,0.0,0.0,0.0
NGCT_CCS,BC_MD,Candidate,0,0.0,0.0,0.0
NGCT_CCS,CE_IL,Candidate,0,0.0,0.0,0.0
NGCT_CCS,DAY_OH,Candidate,0,0.0,0.0,0.0
NGCT_CCS,DPL_DE,Candidate,0,0.0,0.0,0.0
NGCT_CCS,DPL_MD,Candidate,0,0.0,0.0,0.0
NGCT_CCS,DPL_VA,Candidate,1,0.0,0.0,504.49269875020974
NGCT_CCS,DOM_NC,Candidate,1,0.0,0.0,1588.1596009487134
NGCT_CCS,DOM_VA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,DEOK_OH,Candidate,0,0.0,0.0,0.0
NGCT_CCS,DEOK_KY,Candidate,1,0.0,0.0,643.1563907228724
NGCT_CCS,DUQ_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,EKPC_KY,Candidate,0,0.0,0.0,0.0
NGCT_CCS,JC_NJ,Candidate,0,0.0,0.0,0.0
NGCT_CCS,ME_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,OVEC_OH,Candidate,0,0.0,0.0,0.0
NGCT_CCS,PL_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,PE_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,PN_PA,Candidate,0,0.0,0.0,0.0
NGCT_CCS,PEP_MD,Candidate,0,0.0,0.0,0.0
NGCT_CCS,PS_NJ,Candidate,0,0.0,0.0,0.0
NGCT_CCS,RECO_NJ,Candidate,0,0.0,0.0,0.0
