Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
91.4,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
1.0,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
11.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
11.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
5.4,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
2.1,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
1.0,0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
28.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
0.3,0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
223.6,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
223.6,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
328.1,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
40.0,0,APS_MD,WindOn,0,0,1,0,5.0,0.0,0.28,1.0,0,1
10.0,0,APS_MD,WindOn,0,0,1,0,5.0,0.0,0.28,1.0,0,1
70.0,0,APS_MD,WindOn,0,0,1,0,5.0,0.0,0.28,1.0,0,1
1.4,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
13.7,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.1,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
5.7,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
5.0,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
4.3,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
7.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
7.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
4.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
1.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.6,0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.6,0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
1.0,0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,1.0,0.05,1
2.8,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
27.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
5.5,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
40.0,0,APS_MD,WindOn,0,0,1,0,5.0,0.0,0.28,1.0,0,1
1.1,0,BGE,Bio,0,1,0,0,20.0,0.99,0.43,1.0,0,1
1.1,0,BGE,Bio,0,1,0,0,20.0,0.99,0.43,1.0,0,1
0.8,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
30.0,0,APS_MD,WindOn,0,0,1,0,5.0,0.0,0.28,1.0,0,1
310.3,0,DPL_MD,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
310.3,0,DPL_MD,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
493.0,0,DPL_MD,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
1.2,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
10.3,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
3.2,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
75.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.1,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.6,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.6,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
359.6,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
235.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
235.5,0,PEPCO,NGCC_CCS,0,1,0,0,27.76,0.0,0.98,1.0,0.021341,0
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.2,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.6,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
10.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
12.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.4,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
13.6,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
6.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.4,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.2,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.7,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
7.9,0,BGE,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
1.1,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.4,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
9.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
15.7,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.6,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
5.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.6,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
94.0,0,PEPCO,NGCT_CCS,0,1,0,0,37.65,0.0,0.98,1.0,0.063069,0
1.3,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.7,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
4.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.8,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
5.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.5,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
7.5,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.7,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.3,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.3,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
10.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.6,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.1,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.1,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
4.3,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.9,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.3,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.4,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
20.0,0,DPL_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
6.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.5,0,BGE,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2.0,0,APS_MD,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
1.9,0,PEPCO,SolarPV,0,0,1,0,5.0,0.0,0.35,1.0,0,1
2000.0,0,DPL_MD,WindOff,0,0,1,0,5.0,0.0,0.28,1.0,0,1
