Zone,Bus_id,Type,Capacity (MWh),Max Power (MW),Charging efficiency,Discharging efficiency,Cost ($/MWh),EF,CC,Charging Rate,Discharging Rate
Amprion,B281,BES,30.0,15.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B296,BES,0.206,0.103,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B297,BES,4.0,2.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B304,BES,0.2547,0.12735,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B309,BES,32.0,16.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B310,BES,0.308,0.154,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B323,BES,1.71,0.855,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B336,BES,0.4,0.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B337,BES,2.54,1.27,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B338,BES,1.0,0.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B339,BES,1.84,0.92,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B34,BES,15.3,7.65,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B340,PHS,1104.0,138.0,0.84,0.84,0.5,0.0,0.95,1.0,1.0
Amprion,B343,BES,0.6,0.3,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B344,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B348,BES,21.3,10.65,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B35,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B350,BES,0.92,0.46,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B351,BES,1.2,0.6,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B352,BES,41.436,20.718,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B353,BES,4.928000000000001,2.4640000000000004,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B356,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B359,BES,13.132000000000001,6.566000000000001,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B36,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B367,BES,23.684,11.842,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B371,BES,0.48,0.24,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B375,BES,7.0,3.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B383,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B389,BES,0.24,0.12,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B393,BES,25.32,12.66,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B4,BES,4.0,2.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B401,BES,5.2,2.6,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B405,BES,0.9,0.45,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B407,BES,15.610000000000001,7.805000000000001,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B412,BES,5.5,2.75,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B420,BES,1.24,0.62,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B427,BES,9.754,4.877,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B451,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B454,BES,6.0,3.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B459,BES,11.26,5.63,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B46,BES,1.0,0.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B472,BES,30.0,15.0,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B480,BES,5.718,2.859,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B49,BES,13.92,6.96,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B492,BES,0.42000000000000004,0.21000000000000002,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B495,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B501,BES,2.84,1.42,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B506,BES,0.214,0.107,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B512,BES,5.168,2.584,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B518,BES,1.0,0.5,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B524,BES,8.12,4.06,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B526,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B548,BES,0.2,0.1,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B557,BES,1.12,0.56,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B560,BES,20.4,10.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B564,BES,0.7,0.35,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B584,BES,0.48,0.24,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B590,BES,0.3,0.15,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B614,BES,0.7,0.35,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B617,BES,12.25946,6.12973,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B619,BES,3.3120000000000003,1.6560000000000001,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B62,BES,0.704,0.352,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B623,BES,0.4,0.2,0.9,0.9,1.0,0.0,0.95,0.5,1.0
Amprion,B625,BES,1.8399999999999999,0.9199999999999999,0.9,0.9,1.0,0.0,0.95,0.5,1.0
