From_zone,To_zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24
PEP_MD,BC_MD,Existing,0,6000.0,1500.0,1500.0,1500.0,-1500.0,1500.0,1500.0,-1500.0,-1500.0,-1500.0,1500.0,1500.0,-1500.0,-1500.0,1500.0,1500.0,1500.0,1500.0,-1500.0,-1500.0,-1500.0,1500.0,1500.0,-1500.0,1500.0
PEP_MD,BC_MD,Existing,0,-33661.29641165456,-1500.0,-1259.3141538850905,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1066.8933715876703,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-874.7894943749,-1500.0,-1500.0,-460.2993918068994
PEP_MD,DOM_VA,Existing,0,-6405.039834016572,-103.62574071036784,-417.27324333580964,526.7226632371455,-798.1944445539496,780.955770684666,-755.2921050835794,195.2821310373406,1169.9428084804,-822.61557087602,-1106.1013678195918,-766.8944842791798,916.8739550110904,-849.6342662666082,-373.92668556984995,-474.65188547806963,1361.8821229089108,-342.2471038507862,317.7607388742074,-634.2600661378005,-448.16498719261915,-1500.0,-262.44794534945004,-1119.5926280208494,-899.5374997258007
ATSI_PA,AP_PA,Existing,0,-9724.81287623495,-1500.0,-1355.6532900089248,-1500.0,259.1929573102499,-1500.0,1015.0514205202749,-1416.659686807,-1500.0,-108.19166720499993,-286.02324260199975,426.59616018373094,-517.1433605152499,-533.8432527518748,-545.3058961096249,1500.0,-1500.0,920.3933388172501,-806.6348601968748,-690.2370108207838,1500.0,-541.9564507048747,-1500.0,-1044.39803534425,1500.0
ATSI_PA,AP_WV,Existing,0,15931.692049496962,174.38377851075006,1366.8971047077998,422.19966742837505,-1279.5297787602499,498.909636014625,-842.1200729458999,1500.0,1497.036965116375,1500.0,1500.0,629.4274827180193,1500.0,1500.0,1500.0,-476.62060805862484,1500.0,-11.642458884624943,1500.0,-5.758225490999848,-1500.0,1500.0,1488.0626699204222,1167.5457837282502,-697.0998945072553
BC_MD,ME_PA,Existing,0,-6178.985629326678,320.669225547877,1500.0,-1183.7276378166457,-1500.0,-1500.0,-1500.0,1500.0,-1500.0,-1500.0,52.80425902449199,1500.0,142.81143136365029,336.8191122635576,-1500.0,1500.0,-1500.0,-1500.0,1317.6392244913923,-1500.0,-1500.0,-1500.0,1500.0,333.99875579900004,1500.0
BC_MD,PE_PA,Existing,0,10098.191928435626,1397.389393627941,251.74403035490968,1500.0,1500.0,1500.0,1500.0,-1500.0,1500.0,1.0039151297198714,1500.0,-1500.0,168.01729314035924,-1500.0,697.6095308661006,-1500.0,562.4088560725888,1099.9090466820367,-1500.0,1500.0,750.258415183769,1283.5677462651,1500.0,-1500.0,886.2837011131007
PE_PA,ME_PA,Existing,0,3000.0,1500.0,-1500.0,1500.0,1500.0,1500.0,1500.0,-1500.0,1500.0,1500.0,1500.0,-1500.0,1500.0,-1500.0,1500.0,1500.0,-1500.0,1500.0,-1500.0,1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0
PE_PA,PL_PA,Existing,0,9899.566711476431,1500.0,1500.0,1500.0,1314.853395409851,-400.48716083586305,1500.0,1500.0,1500.0,-1500.0,1500.0,-465.04978809632246,-1500.0,1500.0,687.0271605120915,-1500.0,1324.9345875128738,-1500.0,-1500.0,402.739306053636,1500.0,323.2207343039197,712.3284766162428,-1500.0,1500.0
PE_PA,PL_PA,Existing,0,-13054.316435379438,1500.0,1500.0,-443.7187478990859,-1500.0,-1500.0,-219.5617556699135,761.0485173003685,1500.0,-1500.0,583.7120015935492,-1500.0,-1500.0,-1498.13510464679,-1500.0,-1500.0,-1500.0,-711.9002607242002,-1500.0,-1500.0,1500.0,-1500.0,-1500.0,-1025.7610853333658,1500.0
