Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64
,,,,,,,,26,30473,1354,412,17013,1419,2540,8256,1721,2592,8272,3443,5402,7001,2117,3287,2576,2451,3948,2296,6286,1030,1366,845,1496,4454,1365,910,690,155,3397,12926,5051,14326,4620,9427,6852,9753,1652,18198,3129,568,13978,18424,2349,6083,8739,1168,1321,8291,6272,2082,6569,1670,1170,2093,1112,2998,3452,16725,6327,2369,7829,3332,124
,,,,,,,,27,29812,1324,402,16829,1408,2493,8242,1721,2591,8231,3418,5369,6933,2067,3189,2512,2390,3830,2199,6019,999,1334,826,1461,4343,1330,889,673,152,3371,12769,4992,14267,4590,9253,6778,9775,1641,18771,3179,563,13832,18184,2322,6013,8606,1136,1320,7612,5744,1907,6018,1598,1074,1983,1044,2816,3304,15664,6109,2315,7568,3239,113
,,,,,,,,28,29686,1319,391,17438,1438,2469,8340,1731,2606,8389,3432,5455,6925,2051,3136,2481,2367,3766,2160,5916,991,1320,817,1445,4313,1321,879,666,151,3383,12783,5086,14462,4627,9164,6802,9960,1647,20174,3356,566,13930,18478,2336,6020,8560,1130,1335,7329,5509,1829,5770,1584,1034,1933,991,2674,3270,15282,5981,2309,7377,3213,108
,,,,,,,,29,30320,1347,394,19201,1517,2489,8737,1831,2758,8851,3580,5745,7154,2088,3166,2517,2412,3802,2161,5911,999,1337,828,1464,4393,1345,891,674,152,3515,13216,5312,15115,4809,9224,6999,10462,1710,22849,3727,590,14444,19645,2407,6212,8748,1148,1424,7116,5353,1777,5607,1583,1004,1922,964,2603,3236,15070,5920,2320,7327,3238,105
,,,,,,,,30,32429,1440,410,21583,1643,2584,9411,1992,3004,9919,3886,6417,7735,2220,3317,2655,2549,3984,2227,6091,1026,1417,877,1552,4671,1431,945,715,161,3835,14330,5848,16331,5226,9568,7525,11566,1866,25143,4083,641,15708,21992,2600,6664,9306,1213,1539,6909,5202,1727,5449,1586,975,1940,947,2558,3292,15097,5927,2358,7353,3360,103
,,,,,,,,31,35669,1585,448,23057,1799,2818,10124,2207,3326,11081,4350,7197,8777,2440,3640,2930,2802,4372,2471,6724,1157,1610,996,1763,5377,1647,1073,812,183,4401,16457,6796,18036,5963,10417,8475,13274,2141,25336,4183,717,17135,24008,2929,7439,10343,1321,1690,6808,5133,1704,5377,1666,961,2015,944,2550,3451,15573,6108,2482,7624,3592,101
,,,,,,,,32,38224,1698,488,24221,1901,3121,10478,2314,3490,11581,4601,7549,9471,2620,3931,3160,2968,4722,2938,7913,1361,1765,1093,1934,5880,1800,1177,891,201,4727,17713,7236,19235,6406,11521,9244,14081,2301,24677,4213,759,17618,24175,3197,7976,11091,1420,1749,6977,5269,1749,5518,1771,985,2186,961,2597,3792,16764,6454,2603,8280,3879,104
,,,,,,,,33,38491,1710,512,25664,1929,3317,10497,2333,3521,11726,4588,7656,9572,2635,3940,3156,2998,4733,3213,8617,1446,1816,1125,1990,6001,1837,1211,917,207,4699,17652,7074,19271,6344,12260,9311,13626,2286,23804,4261,757,17665,24437,3190,7982,10959,1445,1775,7447,5626,1867,5893,1924,1051,2480,999,2701,4220,18753,6994,2706,9037,4011,110
,,,,,,,,34,38874,1727,532,26948,1941,3353,10585,2345,3538,11872,4571,7747,9622,2658,3963,3173,3021,4760,3227,8695,1452,1846,1142,2022,6028,1846,1230,931,211,4615,17313,6814,19225,6219,12407,9334,13000,2246,23063,4256,754,17916,25045,3173,7968,10939,1456,1767,8365,6328,2101,6629,2023,1181,2702,1078,2915,4423,20597,7258,2721,9199,4037,125
,,,,,,,,35,39196,1742,549,27964,1941,3392,10590,2339,3526,11930,4542,7777,9680,2683,4007,3199,3058,4812,3193,8709,1429,1859,1151,2036,6068,1859,1239,938,212,4576,17102,6633,19245,6156,12560,9406,12638,2227,22642,4247,748,18126,25293,3161,7946,10941,1464,1773,9179,6923,2298,7251,2069,1296,2713,1097,2963,4429,21334,7216,2671,9077,4055,136
