Technology,Zone,EC_Category,New_Build,Capacity (MW)
NGCT,ATSI_PA,Candidate,0,0.0
WindOn,ATSI_OH,Candidate,0,0.0
SolarPV,ATSI_OH,Candidate,1,2514.3134512876027
NGCT,ATSI_OH,Candidate,0,0.0
WindOn,CE_IL,Candidate,1,10000.0
SolarPV,CE_IL,Candidate,0,0.0
NGCT,CE_IL,Candidate,0,0.0
WindOn,DAY_OH,Candidate,0,0.0
SolarPV,DAY_OH,Candidate,1,2536.7467105318447
NGCT,DAY_OH,Candidate,0,0.0
WindOn,DOM_NC,Candidate,1,3621.026528831637
SolarPV,DOM_NC,Candidate,1,3722.4229845631075
NGCT,DOM_NC,Candidate,1,2587.390669766532
WindOn,DOM_VA,Candidate,0,0.0
SolarPV,DOM_VA,Candidate,1,5099.085806353646
NGCT,DOM_VA,Candidate,0,0.0
WindOn,DEOK_OH,Candidate,0,0.0
SolarPV,DEOK_OH,Candidate,1,2181.1014382139756
NGCT,DEOK_OH,Candidate,0,0.0
WindOn,DUQ_PA,Candidate,0,0.0
SolarPV,DUQ_PA,Candidate,1,3378.7147512955603
NGCT,DUQ_PA,Candidate,0,0.0
WindOn,EKPC_KY,Candidate,0,0.0
SolarPV,EKPC_KY,Candidate,1,2626.03346107886
NGCT,EKPC_KY,Candidate,0,0.0
WindOn,JC_NJ,Candidate,0,0.0
SolarPV,JC_NJ,Candidate,1,6240.358855418293
NGCT,JC_NJ,Candidate,0,0.0
WindOn,ME_PA,Candidate,0,0.0
SolarPV,ME_PA,Candidate,1,7022.448899565548
NGCT,ME_PA,Candidate,0,0.0
NGCC,AP_MD,Candidate,0,0.0
WindOn,OVEC_OH,Candidate,1,9970.27354227343
SolarPV,OVEC_OH,Candidate,0,0.0
NGCT,OVEC_OH,Candidate,0,0.0
WindOn,PL_PA,Candidate,0,0.0
SolarPV,PL_PA,Candidate,1,7276.145494529372
NGCT,PL_PA,Candidate,0,0.0
WindOn,PE_PA,Candidate,0,0.0
SolarPV,PE_PA,Candidate,1,7731.8997529323715
NGCT,PE_PA,Candidate,0,0.0
WindOn,PN_PA,Candidate,0,0.0
SolarPV,PN_PA,Candidate,1,3834.418851658876
NGCT,PN_PA,Candidate,0,0.0
WindOn,PS_NJ,Candidate,0,0.0
SolarPV,PS_NJ,Candidate,1,6671.649203394228
NGCT,PS_NJ,Candidate,0,0.0
WindOn,RECO_NJ,Candidate,1,2029.301440728513
SolarPV,RECO_NJ,Candidate,1,171.7588879176896
NGCT,RECO_NJ,Candidate,0,0.0
WindOn,BC_PA,Candidate,0,0.0
SolarPV,BC_PA,Candidate,0,0.0
NGCT,BC_PA,Candidate,0,0.0
