PlantCode,PlantName,SourceTechnology,State,LoadZone,Latitude,Longitude,Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),RM_REG_UP,RM_REG_DN,RM_NSPIN
10726,Masspower,Natural Gas Fired Combined Cycle,MA,WCMA,42.1575,-72.5225,245.0,0.0,ROP,200,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
55041,Berkshire Power,Natural Gas Fired Combined Cycle,MA,WCMA,42.0476,-72.6478,229.3,0.0,ROP,200,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
51030,Ocean State Power,Natural Gas Fired Combined Cycle,RI,RI,42.009722,-71.668909,218.6,0.0,SENE,163,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
54324,Ocean State Power II,Natural Gas Fired Combined Cycle,RI,RI,42.0099,-71.6701,218.6,0.0,SENE,163,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
1595,Kendall Square Station,Natural Gas Fired Combined Cycle,MA,NEMA/Boston,42.3633,-71.0792,206.0,0.0,SENE,165,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
54805,Milford Power LP,Natural Gas Fired Combined Cycle,MA,NEMA/Boston,42.129361,-71.511496,204.8,0.0,SENE,120,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
57070,GenConn Devon LLC,Petroleum Liquids,CT,CT,41.2108,-73.1075,196.0,0.0,ROP,147,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
2351,S C Moore,Conventional Hydroelectric,NH,NH,44.3356,-71.8742,188.8,0.0,NNE,238,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
59882,Exelon West Medway II LLC,Natural Gas Fired Combustion Turbine,MA,NEMA/Boston,42.137218,-71.4447,187.9,0.0,SENE,203,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
57068,GenConn Middletown LLC,Petroleum Liquids,CT,CT,41.554444,-72.576666,187.6,0.0,ROP,19,Oil,1,0,0,0,92.0,0.82,0.88,1.0,0.1,0.08,1.0,1.0,1,1,1,10.0,0.04,0.04,0.06
57531,Bingham Wind,Onshore Wind Turbine,ME,ME,45.103333,-69.761944,186.0,0.0,Maine,141,WindOn,0,1,1,0,3.0,0.0,0.18,1.0,0.05,0.0,1.0,1.0,0,1,1,0.0,0.0,0.0,0.0
50243,Bucksport Generation LLC,Natural Gas Fired Combustion Turbine,ME,ME,44.5738,-68.8046,178.0,0.0,Maine,190,NGCT,1,0,0,0,58.0,0.59,0.86,1.0,0.08,0.12,1.0,1.0,1,1,1,8.0,0.06,0.06,0.09
2349,Comerford,Conventional Hydroelectric,NH,NH,44.325053,-72.000975,165.9,0.0,NNE,132,Hydro,0,1,0,0,7.5,0.0,0.7,0.65,0.04,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0
55026,Dighton Power Plant,Natural Gas Fired Combined Cycle,MA,SEMA,41.8312,-71.1239,165.6,0.0,SENE,81,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
50002,Pittsfield Generating LP,Natural Gas Fired Combined Cycle,MA,WCMA,42.4564,-73.2181,157.7,0.0,ROP,98,NGCC,1,0,0,0,34.0,0.4,0.92,1.0,0.06,0.1,0.5,0.5,1,4,4,6.0,0.05,0.05,0.075
