From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
TransnetBW,TransnetBW,B106,B90,0.00010175099173553719,491.556,0.0
TransnetBW,TransnetBW,B89,B330,1.5593285123966942e-05,491.556,0.0
Amprion,TransnetBW,B641,B268,0.0002259190702479339,983.112,0.0
TransnetBW,TransnetBW,B462,B108,0.0001509112603305785,983.112,0.0
TransnetBW,TransnetBW,B120,B330,0.0001587475826446281,491.556,0.0
TransnetBW,TransnetBW,B331,B269,5.4268843490304705e-05,1698.103,0.0
TenneT,TenneT,B273,B460,9.090000000000001e-06,3396.205,0.0
Amprion,TransnetBW,B113,B440,0.0001709048140495868,491.556,0.0
TransnetBW,TransnetBW,B22,B659,4.242619834710743e-05,491.556,0.0
Amprion,Amprion,B451,B641,1.920630165289256e-05,1474.668,0.0
TransnetBW,TransnetBW,B507,B220,4.431364265927978e-06,3396.205,0.0
50Hertz,TenneT,B88,B284,3.7085214681440446e-05,3396.205,0.0
Amprion,Amprion,B99,B648,2.7231301939058174e-06,3396.205,0.0
Amprion,Amprion,B376,B46,0.00012182826446280991,491.556,0.0
TransnetBW,TransnetBW,B105,B388,0.00028202913223140496,983.112,0.0
TransnetBW,TransnetBW,B689,B379,4.215523545706371e-05,3396.205,0.0
Amprion,Amprion,B401,B95,6.772211218836565e-05,1698.103,0.0
TransnetBW,TransnetBW,B197,B385,0.00012258311983471076,491.556,0.0
TransnetBW,TransnetBW,B513,B200,3.3613448753462604e-05,1698.103,0.0
TransnetBW,TransnetBW,B105,B104,2.8435950413223143e-05,983.112,0.0
TransnetBW,TransnetBW,B689,B370,1.4340443213296398e-05,3396.205,0.0
TransnetBW,TransnetBW,B417,B22,1.754159090909091e-05,491.556,0.0
TransnetBW,TransnetBW,B94,B418,2.3833102493074792e-06,3396.205,0.0
TransnetBW,TransnetBW,B106,B402,4.3041260330578516e-05,983.112,0.0
Amprion,Amprion,B47,B548,3.1143388429752064e-05,983.112,0.0
Amprion,Amprion,B614,B472,1.833642561983471e-05,983.112,0.0
TransnetBW,TransnetBW,B168,B517,6.745214681440443e-06,3396.205,0.0
50Hertz,50Hertz,B754,B749,5.2716973684210524e-05,3396.205,0.0
TenneT,Amprion,B533,B407,0.00014394861570247934,983.112,0.0
TenneT,TenneT,B534,B656,3.836331024930748e-05,3396.205,0.0
TenneT,TenneT,B313,B592,0.0001970723553719008,491.556,0.0
TenneT,TenneT,B314,B593,5.4007153739612187e-05,1698.103,0.0
Amprion,Amprion,B695,B241,1.4695706371191134e-05,1698.103,0.0
Amprion,Amprion,B174,B740,1.797051652892562e-05,983.112,0.0
Amprion,Amprion,B122,B626,0.00020731623966942147,491.556,0.0
Amprion,Amprion,B123,B627,5.679209833795014e-05,1698.103,0.0
TenneT,TenneT,B422,B445,2.6469605263157892e-05,3396.205,0.0
TransnetBW,TransnetBW,B133,B504,0.000108292216066482,1698.103,0.0
TransnetBW,TransnetBW,B653,B87,3.070462603878116e-05,3396.205,0.0
Amprion,Amprion,B389,B359,6.184635734072022e-05,3396.205,0.0
Amprion,Amprion,B19,B95,6.400017313019391e-05,1698.103,0.0
TransnetBW,TransnetBW,B463,B736,4.7253351800554017e-05,5094.308,0.0
TenneT,50Hertz,B655,B611,5.70563296398892e-05,3396.205,0.0
TenneT,TenneT,B650,B116,3.586756198347107e-05,491.556,0.0
TenneT,TenneT,B234,B198,4.549638504155124e-05,1698.103,0.0
Amprion,Amprion,B164,B347,2.2411652892561984e-05,983.112,0.0
TransnetBW,TransnetBW,B510,B206,9.212353305785124e-05,491.556,0.0
TransnetBW,TransnetBW,B633,B221,2.3516253462603878e-05,1698.103,0.0
Amprion,Amprion,B564,B67,3.6883471074380166e-05,983.112,0.0
Amprion,Amprion,B348,B207,1.150314049586777e-05,983.112,0.0
TransnetBW,TransnetBW,B120,B37,0.00022944938016528925,491.556,0.0
TransnetBW,TransnetBW,B616,B210,2.2781717451523545e-06,1698.103,0.0
Amprion,Amprion,B425,B191,2.7595351239669422e-05,491.556,0.0
Amprion,Amprion,B426,B129,7.533649584487534e-06,1698.103,0.0
Amprion,Amprion,B137,B468,3.2009545454545454e-05,491.556,0.0
Amprion,Amprion,B92,B263,3.696929752066116e-05,983.112,0.0
Amprion,Amprion,B97,B265,8.662541551246538e-06,3396.205,0.0
Amprion,Amprion,B632,B183,2.865096952908587e-06,3396.205,0.0
Amprion,Amprion,B81,B63,1.7346745152354572e-06,3396.205,0.0
Amprion,Amprion,B102,B383,6.088607438016529e-05,983.112,0.0
Amprion,Amprion,B103,B121,8.390704545454545e-05,491.556,0.0
50Hertz,50Hertz,B748,B530,0.0004222047314049587,491.556,0.0
50Hertz,50Hertz,B749,B531,0.00011575418975069254,1698.103,0.0
Amprion,Amprion,B694,B237,3.20148347107438e-05,491.556,0.0
Amprion,Amprion,B695,B238,2.036244459833795e-05,1698.103,0.0
TenneT,TenneT,B126,B172,0.001171975733610822,173.162,0.0
TransnetBW,TransnetBW,B517,B170,1.5348753462603877e-06,3396.205,0.0
Amprion,Amprion,B556,B218,2.733431818181818e-05,983.112,0.0
TransnetBW,TransnetBW,B510,B789,2.1642830578512394e-05,491.556,0.0
TransnetBW,TransnetBW,B511,B221,5.929432132963989e-06,1698.103,0.0
Amprion,Amprion,B434,B425,7.731762396694215e-05,491.556,0.0
Amprion,Amprion,B435,B426,2.1187126038781163e-05,1698.103,0.0
TenneT,TenneT,B786,B131,5.624831024930748e-05,3396.205,0.0
TransnetBW,TransnetBW,B89,B37,0.00013080869834710744,491.556,0.0
TransnetBW,TransnetBW,B331,B322,3.1579058171745155e-05,1698.103,0.0
50Hertz,50Hertz,B531,B161,8.10733379501385e-06,1698.103,0.0
TransnetBW,TransnetBW,B221,B132,1.073106648199446e-05,3396.205,0.0
50Hertz,50Hertz,B748,B432,0.00011963882231404959,983.112,0.0
TenneT,TenneT,B272,B177,9.308438016528926e-05,983.112,0.0
TransnetBW,TransnetBW,B587,B503,0.0006998873760330579,491.556,0.0
TransnetBW,TransnetBW,B588,B504,0.00019174079639889196,1698.103,0.0
Amprion,Amprion,B212,B776,1.0084256198347107e-05,491.556,0.0
TenneT,TenneT,B299,B70,3.040436288088643e-06,3396.205,0.0
Amprion,Amprion,B136,B424,6.283691135734072e-06,3396.205,0.0
Amprion,Amprion,B471,B139,4.157783933518006e-06,3396.205,0.0
Amprion,Amprion,B152,B687,7.182818559556786e-06,3396.205,0.0
TenneT,TenneT,B525,B719,7.80457756232687e-06,3396.205,0.0
TransnetBW,TransnetBW,B115,B511,8.892216066481995e-06,3396.205,0.0
Amprion,Amprion,B443,B788,2.4408518005540166e-05,1698.103,0.0
Amprion,Amprion,B494,B424,1.8783566481994457e-05,3396.205,0.0
Amprion,Amprion,B493,B59,9.02595041322314e-06,983.112,0.0
Amprion,Amprion,B493,B188,1.1785061983471075e-05,983.112,0.0
Amprion,Amprion,B649,B776,0.00017331735537190083,491.556,0.0
Amprion,Amprion,B147,B301,2.557059917355372e-05,983.112,0.0
Amprion,Amprion,B148,B302,7.022306094182826e-06,3396.205,0.0
Amprion,Amprion,B281,B557,1.7481759002770083e-05,3396.205,0.0
Amprion,Amprion,B429,B150,1.5889152892561984e-05,983.112,0.0
Amprion,Amprion,B320,B433,2.9682686980609417e-06,3396.205,0.0
TenneT,TenneT,B525,B279,4.9860145429362875e-05,3396.205,0.0
Amprion,Amprion,B342,B124,7.216369834710743e-05,983.112,0.0
Amprion,Amprion,B218,B156,8.892404958677687e-05,491.556,0.0
Amprion,Amprion,B433,B157,2.439246537396122e-05,1698.103,0.0
Amprion,Amprion,B237,B701,4.218702479338843e-05,491.556,0.0
TransnetBW,TransnetBW,B618,B517,6.425020775623268e-06,3396.205,0.0
TransnetBW,TransnetBW,B517,B519,1.0978850415512465e-05,3396.205,0.0
Amprion,Amprion,B725,B274,7.138371191135734e-05,3396.205,0.0
TransnetBW,TransnetBW,B162,B736,7.612763157894737e-06,1698.103,0.0
Amprion,Amprion,B490,B276,2.7688305785123967e-05,983.112,0.0
Amprion,Amprion,B163,B423,3.412586776859504e-05,983.112,0.0
Amprion,Amprion,B164,B163,2.359078512396694e-05,983.112,0.0
TransnetBW,TransnetBW,B682,B722,0.0004557074173553719,491.556,0.0
TransnetBW,TransnetBW,B699,B723,8.032855955678671e-05,1698.103,0.0
TransnetBW,TransnetBW,B160,B21,8.861446280991736e-05,983.112,0.0
TenneT,TenneT,B521,B563,7.726962809917356e-06,983.112,0.0
TransnetBW,TransnetBW,B441,B167,8.060304709141275e-06,3396.205,0.0
TenneT,TenneT,B134,B116,0.00011916402892561983,983.112,0.0
Amprion,Amprion,B490,B542,6.189611570247934e-05,983.112,0.0
Amprion,Amprion,B491,B60,1.6969764542936287e-05,3396.205,0.0
TransnetBW,TransnetBW,B702,B220,1.416713296398892e-05,3396.205,0.0
Amprion,Amprion,B429,B218,5.244380165289256e-06,1966.224,0.0
Amprion,Amprion,B86,B337,3.6055950413223145e-05,983.112,0.0
Amprion,Amprion,B3,B2,4.144930747922437e-06,3396.205,0.0
Amprion,Amprion,B281,B596,1.2593905817174514e-05,3396.205,0.0
Amprion,Amprion,B548,B239,5.078727272727273e-05,983.112,0.0
TenneT,TenneT,B313,B696,8.952460743801653e-05,983.112,0.0
TransnetBW,TransnetBW,B381,B595,6.25675826446281e-05,983.112,0.0
TransnetBW,TransnetBW,B169,B170,4.992520775623269e-06,3396.205,0.0
TenneT,TenneT,B646,B534,2.3949196675900274e-05,3396.205,0.0
TenneT,TenneT,B273,B452,1.1834238227146815e-05,3396.205,0.0
TenneT,TenneT,B173,B765,4.115780991735537e-05,983.112,0.0
Amprion,Amprion,B301,B694,2.5736962809917353e-05,983.112,0.0
Amprion,Amprion,B14,B565,3.8056578947368426e-06,1698.103,0.0
TransnetBW,TransnetBW,B718,B680,1.9962984764542937e-05,3396.205,0.0
TenneT,TenneT,B703,B570,5.6363285123966946e-05,983.112,0.0
TenneT,50Hertz,B13,B530,0.0006489415082644628,491.556,0.0
TenneT,50Hertz,B522,B161,0.00017000565789473683,1698.103,0.0
TenneT,TenneT,B316,B314,4.859915512465374e-05,3396.205,0.0
TransnetBW,TransnetBW,B133,B168,1.0133587257617729e-05,3396.205,0.0
Amprion,Amprion,B594,B235,9.060847107438016e-06,983.112,0.0
50Hertz,50Hertz,B756,B16,4.3349127423822715e-05,3396.205,0.0
Amprion,Amprion,B433,B152,1.093396814404432e-05,3396.205,0.0
Amprion,Amprion,B356,B357,2.5740826446280993e-05,983.112,0.0
Amprion,Amprion,B153,B358,9.137880886426593e-06,3396.205,0.0
TransnetBW,TransnetBW,B634,B171,0.0004717745867768595,491.556,0.0
TransnetBW,TransnetBW,B582,B635,0.00012919718836565096,1698.103,0.0
Amprion,Amprion,B560,B356,3.7774669421487604e-05,983.112,0.0
TenneT,TenneT,B714,B416,1.7050540166204986e-05,3396.205,0.0
50Hertz,50Hertz,B23,B390,0.00017793086776859502,983.112,0.0
TenneT,TenneT,B505,B422,1.434413434903047e-05,3396.205,0.0
TenneT,TenneT,B505,B223,1.043915512465374e-05,3396.205,0.0
TenneT,TenneT,B223,B189,4.572015235457064e-06,6792.41,0.0
Amprion,Amprion,B190,B309,2.624702216066482e-06,1698.103,0.0
Amprion,Amprion,B442,B137,5.7184772727272726e-05,491.556,0.0
Amprion,Amprion,B112,B384,1.5971433518005538e-05,3396.205,0.0
Amprion,Amprion,B112,B384,1.59747783933518e-05,3396.205,0.0
TenneT,TenneT,B543,B421,8.91840909090909e-06,983.112,0.0
Amprion,Amprion,B68,B424,1.1950214681440443e-05,1698.103,0.0
Amprion,Amprion,B424,B351,1.4399459833795014e-05,3396.205,0.0
Amprion,Amprion,B627,B401,1.7868746537396123e-05,1698.103,0.0
Amprion,Amprion,B626,B96,2.5841074380165288e-05,983.112,0.0
Amprion,Amprion,B627,B199,7.097818559556787e-06,3396.205,0.0
TenneT,TenneT,B198,B416,2.1247195290858726e-05,1698.103,0.0
Amprion,Amprion,B348,B542,7.096896694214876e-05,491.556,0.0
TenneT,Amprion,B608,B619,6.50279132231405e-05,983.112,0.0
Amprion,Amprion,B245,B713,1.5563351800554017e-05,3396.205,0.0
Amprion,Amprion,B231,B163,0.0001299151446280992,983.112,0.0
TransnetBW,TransnetBW,B385,B105,4.2808202479338845e-05,983.112,0.0
TransnetBW,TransnetBW,B200,B689,1.208255540166205e-05,3396.205,0.0
Amprion,Amprion,B176,B564,0.00017263369834710744,491.556,0.0
TransnetBW,TransnetBW,B595,B202,6.158146694214876e-05,983.112,0.0
50Hertz,50Hertz,B317,B432,2.8135847107438016e-05,983.112,0.0
Amprion,Amprion,B81,B494,7.579494459833795e-06,1698.103,0.0
Amprion,Amprion,B194,B60,1.3192603878116344e-05,1698.103,0.0
Amprion,Amprion,B625,B339,1.7051059556786704e-05,3396.205,0.0
Amprion,Amprion,B122,B427,0.00017971371900826446,491.556,0.0
Amprion,Amprion,B643,B428,3.756337950138504e-05,1698.103,0.0
Amprion,Amprion,B644,B215,2.3102853185595568e-05,3396.205,0.0
Amprion,Amprion,B146,B777,1.1086703601108032e-05,3396.205,0.0
Amprion,Amprion,B135,B777,6.832707756232687e-06,3396.205,0.0
Amprion,Amprion,B213,B212,5.595723140495868e-05,983.112,0.0
TenneT,TenneT,B40,B719,1.919095567867036e-05,3396.205,0.0
Amprion,Amprion,B215,B362,1.961689750692521e-06,3396.205,0.0
Amprion,Amprion,B151,B218,1.110444214876033e-05,983.112,0.0
Amprion,Amprion,B148,B343,5.059168975069252e-06,1698.103,0.0
50Hertz,50Hertz,B628,B288,0.0002778200413223141,983.112,0.0
TransnetBW,TransnetBW,B210,B647,3.0805630193905815e-05,3396.205,0.0
50Hertz,TenneT,B611,B422,5.859081024930748e-05,3396.205,0.0
Amprion,Amprion,B149,B244,2.5071329639889198e-06,3396.205,0.0
TenneT,TenneT,B726,B224,2.9975971074380165e-05,983.112,0.0
TenneT,TenneT,B182,B294,8.992541551246538e-06,3396.205,0.0
Amprion,Amprion,B472,B349,1.8821735537190083e-05,983.112,0.0
Amprion,Amprion,B384,B358,4.3930616343490305e-05,3396.205,0.0
TenneT,TenneT,B688,B224,3.836057851239669e-05,983.112,0.0
TransnetBW,TransnetBW,B665,B132,7.662202216066482e-06,1698.103,0.0
TransnetBW,TransnetBW,B576,B707,8.546523545706371e-05,1698.103,0.0
50Hertz,50Hertz,B186,B165,6.876252066115703e-05,983.112,0.0
TransnetBW,TransnetBW,B717,B225,1.9506177685950415e-05,983.112,0.0
TransnetBW,TransnetBW,B621,B581,2.2607811634349033e-05,3396.205,0.0
TransnetBW,TransnetBW,B106,B631,5.365719008264463e-05,983.112,0.0
TransnetBW,Amprion,B370,B412,4.925618421052632e-05,3396.205,0.0
TransnetBW,TransnetBW,B369,B307,5.923413223140495e-05,491.556,0.0
TenneT,TenneT,B226,B774,3.160902354570637e-05,3396.205,0.0
TenneT,TenneT,B779,B716,2.1210200831024928e-05,3396.205,0.0
TenneT,TenneT,B227,B780,1.8499584487534624e-06,3396.205,0.0
TransnetBW,TransnetBW,B683,B699,4.510861495844875e-05,1698.103,0.0
Amprion,Amprion,B493,B145,3.433309917355372e-05,983.112,0.0
Amprion,TenneT,B78,B691,0.0003086742561983471,491.556,0.0
TenneT,Amprion,B692,B775,3.90138296398892e-05,3396.205,0.0
Amprion,Amprion,B556,B78,0.00037448392561983474,491.556,0.0
Amprion,Amprion,B258,B124,4.428206611570248e-05,983.112,0.0
Amprion,Amprion,B252,B125,1.2113857340720221e-05,3396.205,0.0
Amprion,Amprion,B470,B156,4.1371301652892566e-05,983.112,0.0
Amprion,Amprion,B471,B157,1.1323469529085872e-05,3396.205,0.0
Amprion,Amprion,B301,B231,1.305431818181818e-05,983.112,0.0
Amprion,Amprion,B345,B136,9.026371191135734e-06,3396.205,0.0
Amprion,Amprion,B235,B427,2.069931818181818e-05,983.112,0.0
Amprion,Amprion,B687,B302,2.4321786703601107e-05,1698.103,0.0
Amprion,Amprion,B687,B518,8.927603878116343e-06,3396.205,0.0
TenneT,TenneT,B692,B234,6.599085872576177e-06,3396.205,0.0
TenneT,TenneT,B416,B234,6.680533933518005e-05,1698.103,0.0
Amprion,Amprion,B548,B236,2.297012396694215e-05,983.112,0.0
Amprion,Amprion,B701,B147,1.3865723140495867e-05,983.112,0.0
Amprion,Amprion,B238,B148,3.7776177285318558e-06,3396.205,0.0
Amprion,Amprion,B247,B746,9.09650826446281e-06,983.112,0.0
Amprion,Amprion,B502,B301,8.907454545454544e-05,491.556,0.0
Amprion,Amprion,B150,B117,1.862923553719008e-05,983.112,0.0
Amprion,Amprion,B150,B429,2.9835619834710747e-05,491.556,0.0
TenneT,TenneT,B778,B119,7.137804016620499e-05,1698.103,0.0
Amprion,Amprion,B501,B149,1.1561419667590028e-05,1698.103,0.0
Amprion,Amprion,B244,B500,4.353303324099723e-06,3396.205,0.0
Amprion,Amprion,B298,B644,4.104265927977839e-06,3396.205,0.0
Amprion,Amprion,B338,B339,2.4970173130193907e-05,3396.205,0.0
Amprion,Amprion,B166,B222,0.00021440404958677684,491.556,0.0
TenneT,TenneT,B603,B119,1.0687049861495845e-05,3396.205,0.0
50Hertz,50Hertz,B165,B530,7.776407024793388e-05,983.112,0.0
TransnetBW,TransnetBW,B211,B210,1.653150969529086e-05,3396.205,0.0
Amprion,Amprion,B121,B740,3.425855371900826e-05,983.112,0.0
Amprion,TenneT,B176,B691,0.00021573055785123967,491.556,0.0
Amprion,TenneT,B713,B692,1.599849030470914e-05,3396.205,0.0
TenneT,TenneT,B116,B313,8.086103305785124e-05,983.112,0.0
Amprion,Amprion,B145,B350,1.1795227272727273e-05,1966.224,0.0
Amprion,Amprion,B248,B142,1.1811883656509694e-05,3396.205,0.0
Amprion,Amprion,B442,B266,2.978948347107438e-05,491.556,0.0
Amprion,TransnetBW,B113,B440,0.00017008130165289257,491.556,0.0
Amprion,Amprion,B725,B255,1.7513760387811635e-05,3396.205,0.0
Amprion,Amprion,B253,B129,1.7336163434903047e-05,3396.205,0.0
Amprion,Amprion,B496,B117,1.7616239669421488e-05,983.112,0.0
Amprion,Amprion,B184,B240,1.92174173553719e-05,983.112,0.0
TenneT,TenneT,B710,B499,3.985995844875347e-05,1698.103,0.0
TenneT,TenneT,B498,B553,0.0007006915495867768,491.556,0.0
TenneT,TenneT,B554,B710,0.00015217842797783933,1698.103,0.0
Amprion,Amprion,B542,B493,3.36479132231405e-05,983.112,0.0
Amprion,Amprion,B60,B494,9.139750692520775e-06,3396.205,0.0
Amprion,Amprion,B205,B100,1.5466322714681442e-05,3396.205,0.0
Amprion,Amprion,B205,B512,3.7109806094182825e-05,3396.205,0.0
Amprion,Amprion,B230,B791,1.7210595567867036e-05,3396.205,0.0
Amprion,Amprion,B253,B528,9.132631578947368e-06,3396.205,0.0
Amprion,Amprion,B128,B423,1.3497293388429751e-05,491.556,0.0
Amprion,Amprion,B725,B253,1.3558808864265927e-05,3396.205,0.0
Amprion,Amprion,B231,B694,2.638904958677686e-05,491.556,0.0
TransnetBW,TransnetBW,B637,B211,2.765404432132964e-05,1698.103,0.0
TransnetBW,TransnetBW,B527,B647,2.893943905817175e-05,3396.205,0.0
TransnetBW,TransnetBW,B246,B167,1.6180214681440442e-05,3396.205,0.0
TenneT,TenneT,B732,B314,5.01707756232687e-06,3396.205,0.0
Amprion,Amprion,B374,B254,0.000216466632231405,491.556,0.0
Amprion,Amprion,B470,B258,2.099332644628099e-05,491.556,0.0
Amprion,Amprion,B471,B252,5.750235457063712e-06,1698.103,0.0
50Hertz,TenneT,B611,B741,3.546324099722992e-05,3396.205,0.0
TenneT,TenneT,B278,B690,3.892835872576177e-05,3396.205,0.0
Amprion,Amprion,B341,B249,8.82095567867036e-06,3396.205,0.0
Amprion,Amprion,B351,B353,9.600768698060943e-06,3396.205,0.0
TenneT,TenneT,B716,B226,8.87009002770083e-06,3396.205,0.0
TransnetBW,TransnetBW,B269,B660,3.618483379501385e-06,1698.103,0.0
TenneT,50Hertz,B13,B158,0.0001848730785123967,491.556,0.0
50Hertz,TenneT,B607,B522,6.360062326869806e-05,1698.103,0.0
TenneT,TenneT,B773,B615,3.9752804709141277e-05,3396.205,0.0
50Hertz,50Hertz,B233,B193,7.923512396694216e-06,491.556,0.0
50Hertz,50Hertz,B289,B753,5.9464536011080334e-05,1698.103,0.0
50Hertz,50Hertz,B289,B753,5.9464536011080334e-05,1698.103,0.0
50Hertz,50Hertz,B444,B289,7.924578254847646e-05,1698.103,0.0
50Hertz,50Hertz,B569,B289,0.00012106560941828256,1698.103,0.0
50Hertz,50Hertz,B439,B601,0.00017239121900826447,491.556,0.0
50Hertz,50Hertz,B602,B396,0.0001428432756232687,1698.103,0.0
Amprion,Amprion,B644,B648,0.00019472738227146815,1698.103,0.0
Amprion,Amprion,B644,B340,0.0001146166135734072,1698.103,0.0
Amprion,Amprion,B612,B596,4.159643351800554e-05,1698.103,0.0
Amprion,Amprion,B459,B154,2.0750013850415514e-05,1698.103,0.0
Amprion,Amprion,B506,B154,3.3144252077562328e-06,1698.103,0.0
Amprion,Amprion,B154,B725,2.4929030470914127e-05,1698.103,0.0
Amprion,Amprion,B154,B725,2.4929030470914127e-05,1698.103,0.0
Amprion,Amprion,B357,B383,0.00015792962809917354,983.112,0.0
Amprion,Amprion,B353,B384,0.000124881391966759,1698.103,0.0
Amprion,Amprion,B423,B541,3.126185950413223e-05,983.112,0.0
Amprion,Amprion,B427,B357,0.00010397355371900827,491.556,0.0
Amprion,Amprion,B541,B560,3.5202603305785124e-05,983.112,0.0
Amprion,Amprion,B427,B357,0.00010397355371900827,491.556,0.0
Amprion,Amprion,B725,B524,2.521218836565097e-06,5094.308,0.0
Amprion,Amprion,B434,B420,1.4525578512396695e-05,983.112,0.0
Amprion,Amprion,B494,B528,2.2457908587257618e-05,1698.103,0.0
Amprion,Amprion,B535,B2,3.602056786703601e-06,1698.103,0.0
Amprion,Amprion,B2,B3,8.32415512465374e-06,1698.103,0.0
Amprion,Amprion,B3,B596,4.040394736842105e-06,1698.103,0.0
Amprion,Amprion,B535,B2,3.602056786703601e-06,1698.103,0.0
Amprion,Amprion,B2,B3,8.32415512465374e-06,1698.103,0.0
Amprion,Amprion,B3,B596,4.040394736842105e-06,1698.103,0.0
Amprion,Amprion,B776,B466,0.00015534448347107437,491.556,0.0
