Time Period,Month,Day,Hours,50Hertz,Amprion,TenneT,TransnetBW
1,6,17,3,0.0010358271511396496,0.0010358271511396496,0.0010358271511396496,0.0010358271511396496
1,6,17,4,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858,0.0010166451668592858
1,6,17,5,0.0012036695135928335,0.0012036695135928335,0.0012036695135928335,0.0012036695135928335
1,6,17,6,0.015163358573627649,0.015163358573627649,0.015163358573627649,0.015163358573627649
1,6,17,7,0.08633331574984775,0.08633331574984775,0.08633331574984775,0.08633331574984775
1,6,17,8,0.24000498731591288,0.24000498731591288,0.24000498731591288,0.24000498731591288
1,6,17,9,0.44741978333948756,0.44741978333948756,0.44741978333948756,0.44741978333948756
1,6,17,10,0.652767720556853,0.652767720556853,0.652767720556853,0.652767720556853
1,6,17,11,0.7954864790988304,0.7954864790988304,0.7954864790988304,0.7954864790988304
1,6,17,12,0.8320713186175543,0.8320713186175543,0.8320713186175543,0.8320713186175543
1,6,17,13,0.8965323767917173,0.8965323767917173,0.8965323767917173,0.8965323767917173
1,6,17,14,0.9081854322420383,0.9081854322420383,0.9081854322420383,0.9081854322420383
1,6,17,15,0.8709867692263427,0.8709867692263427,0.8709867692263427,0.8709867692263427
1,6,17,16,0.8010732320204864,0.8010732320204864,0.8010732320204864,0.8010732320204864
1,6,17,17,0.7194586844036082,0.7194586844036082,0.7194586844036082,0.7194586844036082
1,6,17,18,0.5561768387130807,0.5561768387130807,0.5561768387130807,0.5561768387130807
1,6,17,19,0.3443070268403915,0.3443070268403915,0.3443070268403915,0.3443070268403915
1,6,17,20,0.15732583957147447,0.15732583957147447,0.15732583957147447,0.15732583957147447
1,6,17,21,0.052740865778860495,0.052740865778860495,0.052740865778860495,0.052740865778860495
1,6,17,22,0.006675330529566631,0.006675330529566631,0.006675330529566631,0.006675330529566631
1,6,17,23,0.0017024011048822946,0.0017024011048822946,0.0017024011048822946,0.0017024011048822946
1,6,17,24,0.0010789866157704683,0.0010789866157704683,0.0010789866157704683,0.0010789866157704683
1,6,18,1,0.0010502136393499225,0.0010502136393499225,0.0010502136393499225,0.0010502136393499225
1,6,18,2,0.0010646001275601954,0.0010646001275601954,0.0010646001275601954,0.0010646001275601954
1,6,18,3,0.0010358271511396496,0.0010358271511396496,0.0010358271511396496,0.0010358271511396496
1,6,18,4,0.0010358271511396496,0.0010358271511396496,0.0010358271511396496,0.0010358271511396496
1,6,18,5,0.0012660109625040163,0.0012660109625040163,0.0012660109625040163,0.0012660109625040163
1,6,18,6,0.015796364054879657,0.015796364054879657,0.015796364054879657,0.015796364054879657
1,6,18,7,0.08700468519966048,0.08700468519966048,0.08700468519966048,0.08700468519966048
1,6,18,8,0.23268226481688398,0.23268226481688398,0.23268226481688398,0.23268226481688398
1,6,18,9,0.4347884466908679,0.4347884466908679,0.4347884466908679,0.4347884466908679
1,6,18,10,0.6323820667628963,0.6323820667628963,0.6323820667628963,0.6323820667628963
1,6,18,11,0.775805763227177,0.775805763227177,0.775805763227177,0.775805763227177
1,6,18,12,0.8537325743661554,0.8537325743661554,0.8537325743661554,0.8537325743661554
1,6,18,13,0.8798440504678007,0.8798440504678007,0.8798440504678007,0.8798440504678007
