Time Period,Month,Day,Hours,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,11,3,1,0.40598311600000003,0.5194492435,0.41743144960000006,0.37911095200000006,0.37911095200000006,0.5194492435,3935.8132528000006
1,11,3,2,0.4026995049,0.5081047609,0.41229181950000005,0.37647832200000003,0.37647832200000003,0.5081047609,3692.6204821
1,11,3,3,0.4012868926,0.5185338092,0.4081021901,0.3799808364,0.3799808364,0.5185338092,3594.7138557000003
1,11,3,4,0.41601767570000003,0.5323897678,0.4210718127,0.391873493,0.391873493,0.5323897678,3603.3283132000006
1,11,3,5,0.4499743633,0.5660729261,0.4599682659,0.42606146660000005,0.42606146660000005,0.5660729261,3812.7259038
1,11,3,6,0.5069046895000001,0.6194814109000001,0.5170186186000001,0.4820422354,0.4820422354,0.6194814109000001,4277.4096387
1,11,3,7,0.5406773141000001,0.6481290893,0.56488476,0.509697155,0.509697155,0.6481290893,4629.608434000001
1,11,3,8,0.5377466446,0.6479648175,0.574288286,0.4993488280000001,0.4993488280000001,0.6479648175,4804.3825302000005
1,11,3,9,0.5163001734,0.6311459286000001,0.5604117860000001,0.47531860750000005,0.47531860750000005,0.6311459286000001,4572.123494400001
1,11,3,10,0.5005117447,0.6135839149000001,0.5398434646000001,0.4588851432,0.4588851432,0.6135839149000001,4070.4969877000003
1,11,3,11,0.48840660220000004,0.6032716305,0.5459117521000001,0.44764071,0.44764071,0.6032716305,3885.1204821
1,11,3,12,0.48486030890000004,0.6038146741000001,0.5339768500000001,0.4416001766,0.4416001766,0.6038146741000001,3702.5602405000004
1,11,3,13,0.4827473794,0.5913536123,0.5376629489,0.44007801420000003,0.44007801420000003,0.5913536123,3291.8659642000002
1,11,3,14,0.48636014460000004,0.5933183806,0.5400863006000001,0.44322343780000006,0.44322343780000006,0.5933183806,3309.608434
1,11,3,15,0.4951064305000001,0.5851621996,0.5517335010000001,0.4530924915,0.4530924915,0.5851621996,3246.8222897
1,11,3,16,0.5117129369000001,0.5975174898000001,0.5634423355000001,0.47255730500000004,0.47255730500000004,0.5975174898000001,3362.9518076000004
1,11,3,17,0.5292453265000001,0.5999014472,0.5743338051000001,0.4971097802,0.4971097802,0.5999014472,3963.6445783
1,11,3,18,0.5508864889000001,0.6221707503000001,0.5684329981,0.5217022635,0.5217022635,0.6221707503000001,4414.412651000001
1,11,3,19,0.5529277171000001,0.6272427469,0.5662202491,0.5194691634,0.5194691634,0.6272427469,4683.4322293000005
1,11,3,20,0.537677811,0.6109165579,0.5457442716,0.5044118904,0.5044118904,0.6109165579,4806.1882528
1,11,3,21,0.5113157929000001,0.5840213929000001,0.5232857487,0.47697998370000005,0.47697998370000005,0.5840213929000001,4854.412651000001
1,11,3,22,0.47694964460000006,0.5627714070000001,0.49513201320000005,0.44282607050000006,0.44282607050000006,0.5627714070000001,4474.5481924000005
1,11,3,23,0.4422197571,0.5282782329,0.4591870525,0.41314808810000003,0.41314808810000003,0.5282782329,4126.4909642
1,11,3,24,0.41903674890000003,0.5163007696,0.4338715590000001,0.39273391630000004,0.39273391630000004,0.5163007696,3742.1536141000006
1,11,4,1,0.40285320020000004,0.4988353106,0.41620115350000003,0.3794520939,0.3794520939,0.4988353106,3685.9939754
1,11,4,2,0.3955642339,0.5041598617,0.4076986254,0.374263604,0.374263604,0.5041598617,3573.3433736000006
1,11,4,3,0.3959237568,0.5101723473,0.4086934907,0.37545814020000007,0.37545814020000007,0.5101723473,3463.5090358
1,11,4,4,0.409048585,0.5230394807000001,0.41500134720000004,0.3859183801,0.3859183801,0.5230394807000001,3446.4292170000003
