Interface,Bus_id,State,LoadZone,Latitude,Longitude,Demand_MW,DistanceMiles,Weight,IsAnchor,CentroidLatitude,CentroidLongitude
HQ_P1_P2,162,MA,NEMA/Boston,42.5096166521172,-70.85128415057673,28.15291262135922,25.63804631945169,0.010692725914616683,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,151,NH,NH,42.959822520150325,-71.29958850729058,212.58661940629156,40.50415401129019,0.0208513295859682,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,37,NH,NH,42.92984463704671,-71.54751184702674,31.80371352785146,40.594852782271154,0.008051488051816843,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,130,NH,NH,43.016311092933776,-71.34422720436702,122.63128491620112,44.46075868557514,0.01476755006336779,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,168,NH,NH,43.00311993288697,-71.60281091952973,39.1285393258427,46.33926960264285,0.008086775641141623,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,128,NH,NH,43.01890461063484,-71.06238128660073,50.31027073485174,46.34041407850107,0.009169567651557882,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,135,NH,NH,43.023632235375686,-71.03023985880202,295.73654756780024,47.14468709012265,0.02194665797772415,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,126,NH,NH,43.02390227342092,-71.71734276039054,19.26033834586466,50.051343562217916,0.00535501405996508,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,127,NH,NH,43.07016457560392,-71.772723543403,63.935969058874086,54.224352891094995,0.009187922156292933,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,21,NH,NH,43.14921817180836,-71.14266963225049,208.7598699489085,54.22592075928373,0.01660193739826553,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,25,NH,NH,43.1883076602439,-71.52175150609183,154.11622901420574,57.472627473114386,0.013655853915722518,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,137,NH,NH,43.21316274516468,-71.16163577731389,192.5170305676856,58.453360680104254,0.015070162235244804,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,129,NH,NH,43.27136291527519,-71.40945947757345,46.09726603575184,62.26609539102556,0.007032979059369238,False,42.372806849925524,-71.30103712005392
HQ_P1_P2,124,NH,NH,43.27596121340668,-71.77952234519307,21.69028871391076,67.28004814983208,0.004552064536853017,False,42.372806849925524,-71.30103712005392
HQHIGATE,18,VT,VT,44.58814556852242,-72.4818325884357,115.1875808538163,11.157257381351013,0.03291810034616064,True,44.483667697984295,-72.6425039057059
HQHIGATE,3,VT,VT,44.56317575304085,-72.8388292080811,103.23415265200518,11.762901386794175,0.029952003752191786,True,44.483667697984295,-72.6425039057059
