OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
way,50321454,North Litchfield Substation,transmission,230000,230.0,1,National Grid,,42.873882,-71.4392,2.0
way,50422775,Granite Ridge Substation,transmission,230000;115000,230.0,1,National Grid,,42.904626,-71.423966,2.0
way,60816523,Katonah Substation,transmission,115000;46000,115.0,1,NYSEG,,41.276624,-73.687052,1.0
way,61243114,Elwood Substation,transmission,138000;69000,138.0,1,LILCO,6RL,40.87715,-73.339628,1.2
way,67140690,Poste de Sherbrooke,transmission,220000;120000,220.0,1,Hydro-Québec,,45.412083,-72.002333,1.913043
way,73571276,Millwood Substation,transmission,345000;138000,345.0,1,,,41.192762,-73.800337,3.0
way,73578036,Sprainbrook Substation,transmission,345000;138000,345.0,1,Consolidated Edison,,40.957536,-73.856365,3.0
way,73667439,Dunwoodie Substation,transmission,345000;138000,345.0,1,Consolidated Edison,,40.939537,-73.857954,3.0
way,74321375,Keswick 345kV Substation,transmission,345000,345.0,1,NB Power,,46.056614,-66.849973,3.0
way,74321535,Keswick 230kV Substation,transmission,345000;230000,345.0,1,NB Power,,46.057057,-66.847246,3.0
way,79211815,Rock Tavern Substation (115kV),transmission,115000;69000,115.0,1,Central Hudson Gas & Electric,,41.467498,-74.194558,1.0
way,79293030,Moses Switching Station,transmission,230000;115000,230.0,1,New York Power Authority,,45.00376,-74.805349,2.0
way,79716400,Auburn Street Substation,transmission,345000;115000,345.0,1,National Grid,,42.078174,-70.974279,3.0
way,81128961,Dennison Station,transmission,115000,115.0,1,National Grid,960,44.954797,-74.862187,1.0
way,81411053,Reynolds Substation,transmission,345000;115000,345.0,1,National Grid,,42.672772,-73.687906,3.0
way,81529768,Deerfield Substation,transmission,345000;115000,345.0,1,Eversource,,43.141896,-71.184799,3.0
way,81604584,Golden Hills Substation,transmission,345000,345.0,1,National Grid,,42.47167,-71.04542,3.0
way,81606442,Wakefield Junction Substation,transmission,345000;115000,345.0,1,National Grid,,42.505446,-71.041692,3.0
way,81670766,Canal Street Transiton Station,transition,115000,115.0,1,National Grid,,42.514993,-70.895781,1.0
way,81700477,Tewksbury Substation No. 22A,transmission,345000,345.0,1,National Grid,22A,42.622978,-71.242665,3.0
way,81700488,Tewksbury Substation No. 22,transmission,230000;115000;13800,230.0,1,National Grid,22,42.624114,-71.246109,2.0
way,81721779,Woburn Substation,transmission,345000;115000,345.0,1,Eversource,211,42.462397,-71.153929,3.0
way,81823632,Seabrook Transition Station,transition,345000,345.0,1,NextEra Energy,,42.900733,-70.853929,3.0
way,81995133,Lexington Substation,transmission,345000;115000,345.0,1,Eversource,320,42.444927,-71.266246,3.0
way,82004992,Surowiec Substation,transmission,345000;115000,345.0,1,Central Maine Power Company,,43.93156,-70.203247,3.0
way,82009166,Waltham Substation,transmission,230000;115000,230.0,1,Eversource,282,42.377793,-71.263288,2.0
way,82104553,Sudbury Substation,transmission,230000;115000,230.0,1,Eversource,342,42.360023,-71.397268,2.0
way,83405517,Shoreham Power Station,transmission,138000,138.0,1,Long Island Power Authority,8Z,40.958301,-72.866577,1.2
way,83418654,Wading River Gas Turbines,transmission,138000,138.0,1,,8R,40.956068,-72.87742,1.2
way,83527142,Greenlawn Substation,transmission,138000;69000,138.0,1,,6UL,40.859608,-73.387338,1.2
way,84790909,Newington 345kV Substation,transmission,345000,345.0,1,Eversource,,43.098159,-70.792619,3.0
way,86220645,North Chelsea Substation,transmission,115000;69000,115.0,1,NYSEG,,41.56438,-73.937909,1.0
way,86220649,,transition,345000,345.0,1,,,41.563503,-73.954673,3.0
way,86220650,East Fishkill Substation,transmission,345000;115000,345.0,1,NYSEG,,41.568013,-73.835098,3.0
way,86249380,Wood Street Substation,transmission,345000;115000,345.0,1,NYSEG,,41.352984,-73.793725,3.0
way,86251100,Pleasant Valley Substation,transmission,345000,345.0,1,Consolidated Edison,,41.739729,-73.834145,3.0
way,86300404,Buchanan Substation,transmission,345000;138000,345.0,1,Consolidated Edison,,41.264306,-73.946975,3.0
way,92530268,St. Isidore Transformer Station,transmission,230000,230.0,1,,,45.375495,-74.849788,2.0
way,92544660,Poste Langlois,transmission,315000;120000,315.0,1,Hydro-Québec,,45.287193,-74.014217,2.73913
way,92549780,Poste des Cèdres,transmission,120000,120.0,1,Hydro-Québec,,45.311891,-74.027507,1.043478
