from_bus,to_bus,From_zone,To_zone,Capacity (MW),X,Miles,Seam,FlagTargetRewire,FromLoadZone,ToLoadZone
116,120,SENE,SENE,262.53,0.02306,4.776384315577714,SENE-SENE,False,NEMA/Boston,NEMA/Boston
118,147,ROP,ROP,347.3,0.019367,4.6165856454104395,ROP-ROP,False,CT,CT
117,231,SENE,SENE,500.0,0.024,4.435944104635798,SENE-SENE,False,NEMA/Boston,NEMA/Boston
126,127,NNE,NNE,178.87,0.018468,4.3364484901959734,NNE-NNE,False,NH,NH
199,93,ROP,ROP,530.03,0.012435,4.116541380029475,ROP-ROP,False,CT,CT
204,221,SENE,SENE,530.03,0.003516,4.108187461480895,SENE-SENE,False,NEMA/Boston,NEMA/Boston
81,82,SENE,SENE,530.03,0.053845,3.865785021225874,SENE-SENE,False,SEMA,SEMA
27,160,SENE,SENE,178.87,0.054676,3.7181903204935725,SENE-SENE,False,RI,RI
85,154,SENE,SENE,289.22,0.084819,3.657288060290657,SENE-SENE,False,RI,RI
205,217,SENE,SENE,506.73,0.059211,3.3406933414330724,SENE-SENE,False,RI,RI
28,203,SENE,SENE,250.0,0.16,3.2440162824666334,SENE-SENE,False,NEMA/Boston,NEMA/Boston
217,218,SENE,SENE,250.0,0.07,3.232065598394551,SENE-SENE,False,RI,RI
84,219,SENE,SENE,1050.0,0.011429,3.2098867500342063,SENE-SENE,False,SEMA,SEMA
77,217,SENE,SENE,250.0,0.16,3.1750149013813673,SENE-SENE,False,RI,RI
203,220,SENE,SENE,289.22,0.058761,3.0966344051329995,SENE-SENE,False,NEMA/Boston,NEMA/Boston
154,241,SENE,SENE,289.22,0.069017,2.8197537537950628,SENE-SENE,False,RI,RI
217,85,SENE,SENE,471.67,0.043533,2.703353478799703,SENE-SENE,False,RI,RI
77,218,SENE,SENE,100.0,0.12,2.682501136132187,SENE-SENE,False,RI,RI
219,167,SENE,SENE,530.03,0.072777,2.541085152081643,SENE-SENE,False,SEMA,SEMA
157,166,SENE,SENE,107.32,0.089096,2.307039153309955,SENE-SENE,False,RI,RI
199,148,ROP,ROP,593.37,0.009081,2.1897737025146156,ROP-ROP,False,CT,CT
162,243,SENE,SENE,707.51,0.017778,2.1396175588095394,SENE-SENE,False,NEMA/Boston,NEMA/Boston
202,159,Maine,Maine,530.03,0.024117,1.872191803682879,Maine-Maine,False,ME,ME
196,138,ROP,ROP,530.03,0.006293,1.862631470256429,ROP-ROP,False,CT,CT
161,166,SENE,SENE,212.01,0.096443,1.6645092905037215,SENE-SENE,False,RI,RI
114,230,ROP,ROP,250.0,0.048,1.2520723569596426,ROP-ROP,False,CT,CT
161,242,SENE,SENE,50.0,0.16,1.1897610471088083,SENE-SENE,False,RI,RI
