from_bus,to_bus,From_zone,To_zone,Capacity (MW),X,Miles,Seam,FlagTargetRewire,FromLoadZone,ToLoadZone
159,245,Maine,Maine,530.03,0.035352,17.054093698989636,Maine-Maine,False,ME,ME
195,229,ROP,ROP,312.32,0.026229,17.003094034201247,ROP-ROP,False,CT,CT
24,200,ROP,ROP,400.0,0.0175,16.866421974104053,ROP-ROP,False,WCMA,WCMA
170,172,Maine,Maine,212.01,0.077849,16.678390474218766,Maine-Maine,False,ME,ME
21,129,NNE,NNE,187.39,0.035005,16.461065023218765,NNE-NNE,False,NH,NH
11,189,Maine,Maine,200.0,0.06,16.435798456537718,Maine-Maine,False,ME,ME
146,176,ROP,ROP,530.03,0.015408,16.39484327477694,ROP-ROP,False,WCMA,WCMA
125,235,NNE,NNE,100.0,0.08,16.354340085305875,NNE-NNE,False,NH,NH
125,131,NNE,NNE,173.53,0.03939,16.299007819142037,NNE-NNE,False,NH,NH
119,232,ROP,ROP,100.0,0.08,16.20581625749162,ROP-ROP,False,CT,CT
66,71,Maine,Maine,530.03,0.008811,16.15501758863345,Maine-Maine,False,ME,ME
25,133,NNE,NNE,395.58,0.048676,16.112079277304524,NNE-NNE,False,NH,NH
10,11,Maine,Maine,566.01,0.008557,16.02896701601508,Maine-Maine,False,ME,ME
203,204,SENE,SENE,100.0,0.07,15.943870398122728,SENE-SENE,False,NEMA/Boston,NEMA/Boston
19,110,ROP,ROP,350.0,0.023707,15.895940286429044,ROP-ROP,False,CT,CT
98,249,ROP,ROP,812.08,0.006678,15.819434993344478,ROP-ROP,False,WCMA,WCMA
195,108,ROP,ROP,435.02,0.015518,15.799382004649608,ROP-ROP,False,CT,CT
2,139,NNE,NNE,530.03,0.023178,15.751483425676813,NNE-NNE,False,VT,VT
53,211,Maine,Maine,650.0,0.018462,15.445255742916714,Maine-Maine,False,ME,ME
50,210,Maine,Maine,100.0,0.12,15.429916581560876,Maine-Maine,False,ME,ME
93,222,ROP,ROP,530.03,0.009099,15.375167027501169,ROP-ROP,False,CT,CT
235,237,NNE,NNE,415.5,0.013979,15.28695766389067,NNE-NNE,False,NH,NH
227,111,ROP,ROP,530.03,0.00507,15.264290276922557,ROP-ROP,False,CT,CT
135,151,NNE,NNE,868.25,0.006171,14.939027746578862,NNE-NNE,False,NH,NH
128,130,NNE,NNE,107.32,0.08824,14.938905514829507,NNE-NNE,False,NH,NH
114,136,ROP,ROP,250.0,0.030289,14.849921168621693,ROP-ROP,False,CT,CT
94,103,ROP,ROP,712.05,0.026199,14.81270216329588,ROP-ROP,False,CT,CT
23,90,ROP,ROP,206.75,0.020365,14.486071194610503,ROP-ROP,False,CT,CT
83,219,SENE,SENE,530.03,0.034736,14.393566222472455,SENE-SENE,False,SEMA,SEMA
19,96,ROP,ROP,107.32,0.129519,14.377148097755807,ROP-ROP,False,CT,CT
16,193,Maine,Maine,250.0,0.048,14.232717359441802,Maine-Maine,False,ME,ME
124,127,NNE,NNE,178.87,0.029058,14.204539198047064,NNE-NNE,False,NH,NH
