Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,FOR,Flag_RPS,AF
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
0.3,0.0,DPL_MD,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
223.6,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
223.6,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
328.1,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
40.0,0.0,APS_MD,WindOn,0,0,1,0,0.0,0.0,0.28,0.0,1,0.38701100537363015
10.0,0.0,APS_MD,WindOn,0,0,1,0,0.0,0.0,0.28,0.0,1,0.38701100537363015
70.0,0.0,APS_MD,WindOn,0,0,1,0,0.0,0.0,0.28,0.0,1,0.38701100537363015
1.4,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
13.7,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.1,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
5.7,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
2.3,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
2.3,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
5.0,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
2.3,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
4.3,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
4.3,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
4.3,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
4.3,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
7.5,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
7.5,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
4.5,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
1.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.6,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.6,0.0,BGE,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
1.0,0.0,PEPCO,Landfill_NG,0,1,0,0,15.0,0.39,0.43,0.05,1,1.0
2.8,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
27.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
5.5,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
40.0,0.0,APS_MD,WindOn,0,0,1,0,0.0,0.0,0.28,0.0,1,0.38701100537363015
1.1,0.0,BGE,Bio,0,1,0,0,20.0,0.99,0.43,0.0,1,1.0
1.1,0.0,BGE,Bio,0,1,0,0,20.0,0.99,0.43,0.0,1,1.0
0.8,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
30.0,0.0,APS_MD,WindOn,0,0,1,0,0.0,0.0,0.28,0.0,1,0.38701100537363015
310.3,0.0,DPL_MD,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
310.3,0.0,DPL_MD,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
493.0,0.0,DPL_MD,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
1.2,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
10.3,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
3.2,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
75.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.1,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.6,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.6,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
359.6,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
235.5,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
235.5,0.0,PEPCO,NGCC,0,1,0,0,18.75,0.4,0.98,0.035,0,1.0
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.2,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.6,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.5,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.5,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
10.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
12.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.4,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
13.6,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
6.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.4,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.2,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.7,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
7.9,0.0,BGE,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
1.1,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.4,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
9.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
15.7,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.9,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.6,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
5.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.6,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
94.0,0.0,PEPCO,NGCT,0,1,0,0,26.3,0.59,0.98,0.068,0,1.0
1.3,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.5,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.7,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
4.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.8,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
5.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.5,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
7.5,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.7,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.3,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.3,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
10.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.6,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.1,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
2.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.1,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
4.3,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.9,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.5,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.3,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.4,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
1.9,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.9,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.5,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
20.0,0.0,DPL_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
1.5,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
6.0,0.0,APS_MD,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.22144524633413243
16.0,0.0,PEPCO,Oil,0,1,0,0,40.0,0.82,0.98,0.0,0,1.0
1.5,0.0,BGE,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
2.0,0.0,PEPCO,SolarPV,0,0,1,0,0.0,0.0,0.35,0.0,1,0.19702688181746578
