Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD,NI
1,5,17,0.669745642,0.709390986,0.683126273,0.641017805,0.641017805,0.709390986,7899.698795
1,5,18,0.704319686,0.743879722,0.706313889,0.66776089,0.66776089,0.743879722,8250.436747
1,5,19,0.706011449,0.75031911,0.693799949,0.667201369,0.667201369,0.75031911,8181.174699
1,5,20,0.698961226,0.746074554,0.679553341,0.656836568,0.656836568,0.746074554,8040.210843
1,5,21,0.686792745,0.741020879,0.657711305,0.639717876,0.639717876,0.741020879,8139.307229
1,5,22,0.664739971,0.723727633,0.632384936,0.614546508,0.614546508,0.723727633,8116.114458
1,5,23,0.629270488,0.691581199,0.607199591,0.582429427,0.582429427,0.691581199,7585.828313
1,5,24,0.59632908,0.665026639,0.571616226,0.555041389,0.555041389,0.665026639,7158.13253
1,6,1,0.571779708,0.646155122,0.55737108,0.535529017,0.535529017,0.646155122,6479.066265
1,6,2,0.559405624,0.643770587,0.538858471,0.526308316,0.526308316,0.643770587,6062.048193
1,6,3,0.556751351,0.647661134,0.540584016,0.523515952,0.523515952,0.647661134,6027.560241
1,6,4,0.562621834,0.651933943,0.541265575,0.529345583,0.529345583,0.651933943,5557.228916
1,6,5,0.580917874,0.665715754,0.56079093,0.547366889,0.547366889,0.665715754,5381.927711
1,6,6,0.615987351,0.695779486,0.592411901,0.583008995,0.583008995,0.695779486,5556.927711
1,6,7,0.660163515,0.749253837,0.640925155,0.634501986,0.634501986,0.749253837,5527.560241
1,6,8,0.682727888,0.774412053,0.674330674,0.658642252,0.658642252,0.774412053,5351.039157
1,6,9,0.679794277,0.782854008,0.681536456,0.650895989,0.650895989,0.782854008,5075.737952
1,6,10,0.664460208,0.776380067,0.666274907,0.625497941,0.625497941,0.776380067,5179.96988
1,6,11,0.652049682,0.767232654,0.658065329,0.596956234,0.596956234,0.767232654,5676.957831
1,6,12,0.635232713,0.751334571,0.650346597,0.573675525,0.573675525,0.751334571,5692.620482
1,6,13,0.619451845,0.740402841,0.639068085,0.560820446,0.560820446,0.740402841,5539.608434
1,6,14,0.608914724,0.736969473,0.63266388,0.54829069,0.54829069,0.736969473,5089.759036
1,6,15,0.612355396,0.73133576,0.638691228,0.550137837,0.550137837,0.73133576,4856.475904
1,6,16,0.631534256,0.7453373,0.64710394,0.575742289,0.575742289,0.7453373,4910.391566
1,6,17,0.65874173,0.763257936,0.665093734,0.614595489,0.614595489,0.763257936,4908.73494
1,6,18,0.696266257,0.794495821,0.689728315,0.659059387,0.659059387,0.794495821,5719.578313
1,6,19,0.69520123,0.802753192,0.673848413,0.662637495,0.662637495,0.802753192,5714.909639
1,6,20,0.687289172,0.795029984,0.669378366,0.658869842,0.658869842,0.795029984,5500.753012
1,6,21,0.673770371,0.783972245,0.645435391,0.646579296,0.646579296,0.783972245,5126.506024
1,6,22,0.652673583,0.763127004,0.628158394,0.626951191,0.626951191,0.763127004,5043.057229
1,6,23,0.622494781,0.737313736,0.60373188,0.597314136,0.597314136,0.737313736,4980.271084
1,6,24,0.594283393,0.712973696,0.576629,0.572991616,0.572991616,0.712973696,4991.415663
1,7,1,0.576504341,0.700310319,0.563684313,0.557969989,0.557969989,0.700310319,4940.813253
1,7,2,0.570568206,0.69145007,0.561657356,0.555232073,0.555232073,0.69145007,4774.548193
1,7,3,0.578578954,0.691429889,0.566036796,0.562127893,0.562127893,0.691429889,4592.46988
1,7,4,0.592229057,0.696453243,0.571454742,0.574422768,0.574422768,0.696453243,4408.433735
1,7,5,0.60879278,0.710814108,0.592101171,0.600837112,0.600837112,0.710814108,4354.35241
1,7,6,0.637399351,0.734853791,0.626700833,0.637239446,0.637239446,0.734853791,3813.403614
1,7,7,0.676392173,0.770375511,0.67470333,0.674152549,0.674152549,0.770375511,4026.506024
1,7,8,0.706679308,0.797155707,0.70818612,0.701728308,0.701728308,0.797155707,4301.355422
1,7,9,0.716109572,0.811016569,0.724585183,0.71166504,0.71166504,0.811016569,4342.018072
1,7,10,0.708852185,0.815326591,0.722820912,0.70592608,0.70592608,0.815326591,4645.03012
1,7,11,0.704786618,0.811817321,0.718061691,0.692021671,0.692021671,0.811817321,5871.385542
1,7,12,0.698159939,0.810022274,0.709771918,0.681727265,0.681727265,0.810022274,6128.012048
1,7,13,0.693194112,0.802799068,0.707580371,0.672564886,0.672564886,0.802799068,6314.909639
1,7,14,0.686407912,0.795481551,0.700487483,0.665933791,0.665933791,0.795481551,6328.162651
1,7,15,0.687066694,0.793659334,0.694582891,0.659232756,0.659232756,0.793659334,6635.075301
1,7,16,0.700344443,0.802203968,0.697672101,0.672867656,0.672867656,0.802203968,6487.033133
1,7,17,0.733429916,0.821716559,0.727349963,0.718241686,0.718241686,0.821716559,6921.23494
1,7,18,0.783903651,0.853114811,0.76204626,0.771578863,0.771578863,0.853114811,6706.174699
1,7,19,0.788604462,0.858720172,0.757642158,0.779706265,0.779706265,0.858720172,7091.701807
1,7,20,0.780926509,0.849752519,0.747963511,0.775743146,0.775743146,0.849752519,7009.021084
1,7,21,0.768197226,0.836715937,0.729177439,0.769451044,0.769451044,0.836715937,7276.792169
1,7,22,0.74600776,0.819351516,0.713534283,0.755155473,0.755155473,0.819351516,7275.903614
1,7,23,0.715468797,0.796293033,0.69213761,0.729025446,0.729025446,0.796293033,7177.259036
1,7,24,0.692868832,0.774385079,0.666396203,0.707077927,0.707077927,0.774385079,7003.915663
1,8,1,0.675780041,0.758019775,0.652035058,0.69064998,0.69064998,0.758019775,6596.987952
1,8,2,0.670147775,0.748941076,0.641054306,0.684763166,0.684763166,0.748941076,6117.153614
1,8,3,0.669427878,0.751820495,0.639262817,0.68236675,0.68236675,0.751820495,6220.481928
1,8,4,0.670943957,0.757206915,0.63969466,0.685517016,0.685517016,0.757206915,6260.828313
1,8,5,0.680112609,0.769384268,0.646989769,0.69431876,0.69431876,0.769384268,6468.659639
1,8,6,0.698092586,0.785486133,0.658743052,0.709482544,0.709482544,0.785486133,6536.144578
1,8,7,0.722938452,0.807818288,0.679010797,0.731448061,0.731448061,0.807818288,6684.789157
1,8,8,0.745369113,0.832867033,0.699190675,0.750150541,0.750150541,0.832867033,7139.759036
1,8,9,0.749517487,0.842030886,0.706031656,0.74173905,0.74173905,0.842030886,7086.295181
1,8,10,0.72416697,0.823820132,0.703911717,0.710653756,0.710653756,0.823820132,6657.665663
1,8,11,0.701864068,0.796728357,0.68289117,0.682339184,0.682339184,0.796728357,6526.054217
1,8,12,0.681712915,0.773718704,0.674733654,0.65680809,0.65680809,0.773718704,7004.051205
1,8,13,0.65977698,0.748466374,0.662505783,0.631858388,0.631858388,0.748466374,6840.496988
1,8,14,0.642106259,0.724867429,0.64143226,0.61068864,0.61068864,0.724867429,6709.789157
1,8,15,0.632081871,0.712507558,0.631105118,0.603292304,0.603292304,0.712507558,6709.322289
1,8,16,0.637122566,0.713464937,0.630538643,0.613037897,0.613037897,0.713464937,7015.361446
1,8,17,0.664558756,0.73040319,0.650040434,0.65059094,0.65059094,0.73040319,6984.638554
1,8,18,0.715834204,0.771480951,0.686183149,0.710804116,0.710804116,0.771480951,7236.144578
1,8,19,0.729332729,0.784832261,0.704469423,0.727673118,0.727673118,0.784832261,7394.277108
1,8,20,0.726601318,0.784281855,0.700157938,0.728430841,0.728430841,0.784281855,7323.042169
1,8,21,0.717321215,0.773079106,0.696906513,0.723068691,0.723068691,0.773079106,7311.89759
1,8,22,0.702785314,0.755988854,0.68416021,0.708498371,0.708498371,0.755988854,7285.240964
1,8,23,0.680120265,0.732690265,0.657558407,0.688533324,0.688533324,0.732690265,7596.23494
1,8,24,0.654077218,0.707547406,0.639110649,0.666098504,0.666098504,0.707547406,7803.614458
1,9,1,0.634652627,0.690465325,0.616889382,0.6501369,0.6501369,0.690465325,7625.301205
1,9,2,0.621203447,0.672446046,0.60520789,0.640339819,0.640339819,0.672446046,7183.13253
1,9,3,0.614531676,0.663178432,0.597399283,0.636899086,0.636899086,0.663178432,6989.006024
1,9,4,0.607967812,0.661270469,0.58995237,0.635212095,0.635212095,0.661270469,6959.939759
1,9,5,0.609319125,0.656793386,0.594543896,0.636489242,0.636489242,0.656793386,6942.003012
1,9,6,0.616491434,0.660500236,0.593001757,0.638630502,0.638630502,0.660500236,6970.61747
1,9,7,0.629378252,0.670298862,0.606385593,0.644388144,0.644388144,0.670298862,7123.192771
1,9,8,0.637397224,0.683834166,0.61567149,0.649774897,0.649774897,0.683834166,7175.436747
1,9,9,0.6473069,0.697804007,0.620739066,0.650522367,0.650522367,0.697804007,6964.006024
1,9,10,0.661386361,0.708630302,0.635349744,0.639362936,0.639362936,0.708630302,7200.150602
1,9,11,0.664542165,0.71955258,0.633548025,0.638179422,0.638179422,0.71955258,6986.88253
1,9,12,0.666782679,0.726457809,0.64543466,0.634450728,0.634450728,0.726457809,7206.009036
1,9,13,0.670940271,0.727656771,0.646445946,0.630797212,0.630797212,0.727656771,7245.180723
1,9,14,0.665072198,0.719201623,0.648535561,0.61935392,0.61935392,0.719201623,7134.789157
1,9,15,0.660773378,0.710076754,0.648127832,0.612464708,0.612464708,0.710076754,7074.98494
1,9,16,0.654735434,0.709556472,0.646032007,0.609670522,0.609670522,0.709556472,7019.111446
1,9,17,0.665432501,0.718110261,0.651319522,0.625124092,0.625124092,0.718110261,6646.686747
1,9,18,0.689328052,0.739511126,0.668648581,0.64830456,0.64830456,0.739511126,6478.448795
1,9,19,0.679964716,0.734842272,0.659887874,0.637036004,0.637036004,0.734842272,5815.813253
1,9,20,0.663520103,0.73008226,0.652066661,0.621429569,0.621429569,0.73008226,5730.421687
1,9,21,0.644164423,0.723657245,0.637484663,0.600383982,0.600383982,0.723657245,5691.25
1,9,22,0.617833956,0.704780117,0.608332904,0.571837263,0.571837263,0.704780117,5597.891566
1,9,23,0.583265018,0.687373757,0.585613666,0.540275602,0.540275602,0.687373757,5549.246988
1,9,24,0.55668102,0.666447496,0.56172659,0.515674461,0.515674461,0.666447496,5248.795181
1,10,1,0.543078276,0.666419833,0.550913899,0.504058028,0.504058028,0.666419833,5060.527108
1,10,2,0.540691003,0.671403907,0.541856527,0.500524573,0.500524573,0.671403907,4976.506024
1,10,3,0.545106805,0.680851577,0.544354419,0.508786843,0.508786843,0.680851577,5143.674699
1,10,4,0.556077395,0.687455171,0.556333122,0.523834669,0.523834669,0.687455171,5375.753012
1,10,5,0.582340226,0.705003193,0.582884691,0.550991471,0.550991471,0.705003193,5733.885542
1,10,6,0.624572512,0.745373725,0.626849531,0.591941051,0.591941051,0.745373725,5581.927711
1,10,7,0.682872803,0.797325426,0.691292922,0.656670944,0.656670944,0.797325426,5700.135542
1,10,8,0.717889392,0.829680367,0.73188559,0.688127581,0.688127581,0.829680367,5825.60241
1,10,9,0.715745298,0.832965281,0.745241476,0.679176389,0.679176389,0.832965281,5878.614458
1,10,10,0.695251,0.818384785,0.72790511,0.653887238,0.653887238,0.818384785,5007.364458
1,10,11,0.677747599,0.808427958,0.712675165,0.630983795,0.630983795,0.808427958,5006.626506
1,10,12,0.668779163,0.79495428,0.70237177,0.62110584,0.62110584,0.79495428,5080.873494
1,10,13,0.665739489,0.79351265,0.695772651,0.624187988,0.624187988,0.79351265,5663.704819
1,10,14,0.652796236,0.792232275,0.681239975,0.629116144,0.629116144,0.792232275,5911.295181
1,10,15,0.646932133,0.792217213,0.667132016,0.633429875,0.633429875,0.792217213,5919.277108
1,10,16,0.663457145,0.803283023,0.672900514,0.640719136,0.640719136,0.803283023,5896.23494
1,10,17,0.698832901,0.822371218,0.700938141,0.684075156,0.684075156,0.822371218,6430.572289
1,10,18,0.744114504,0.858535587,0.737451501,0.72999071,0.72999071,0.858535587,6751.807229
1,10,19,0.749367326,0.862095163,0.744367379,0.744658764,0.744658764,0.862095163,6673.945783
1,10,20,0.749509263,0.857471495,0.736695411,0.739076542,0.739076542,0.857471495,6703.75
1,10,21,0.741810183,0.854012629,0.724533668,0.737769551,0.737769551,0.854012629,6827.545181
1,10,22,0.72541463,0.831393212,0.704104622,0.722762049,0.722762049,0.831393212,6547.123494
1,10,23,0.695613004,0.810023653,0.681659579,0.697801867,0.697801867,0.810023653,6005.120482
1,10,24,0.667681239,0.784775261,0.655962745,0.677552731,0.677552731,0.784775261,5771.385542
1,11,1,0.653043528,0.776271285,0.63136415,0.668913193,0.668913193,0.776271285,6178.162651
1,11,2,0.64631277,0.765547472,0.627638137,0.664720433,0.664720433,0.765547472,6061.596386
1,11,3,0.648015311,0.771851399,0.624542899,0.66597571,0.66597571,0.771851399,5847.439759
1,11,4,0.656920789,0.773518959,0.63346509,0.673821757,0.673821757,0.773518959,5947.590361
1,11,5,0.677809563,0.789645828,0.667380454,0.692656827,0.692656827,0.789645828,6310.542169
1,11,6,0.719732594,0.826654758,0.700389203,0.729555122,0.729555122,0.826654758,6489.156627
1,11,7,0.776605285,0.870236566,0.760799688,0.788013873,0.788013873,0.870236566,6921.972892
1,11,8,0.810000439,0.901121722,0.801898182,0.813691225,0.813691225,0.901121722,7509.186747
1,11,9,0.801760407,0.895217482,0.808197715,0.792504391,0.792504391,0.895217482,7471.686747
1,11,10,0.770161947,0.874905518,0.794956365,0.752513241,0.752513241,0.874905518,6872.876506
1,11,11,0.739691613,0.854599657,0.767826997,0.724928141,0.724928141,0.854599657,6567.319277
1,11,12,0.715611868,0.834237781,0.749198208,0.699660405,0.699660405,0.834237781,6596.370482
1,11,13,0.700278225,0.816043172,0.7351224,0.68050001,0.68050001,0.816043172,6892.921687
1,11,14,0.69060946,0.793712396,0.724070406,0.666387604,0.666387604,0.793712396,6918.373494
1,11,15,0.686725535,0.788769373,0.720933517,0.664815433,0.664815433,0.788769373,6699.231928
1,11,16,0.7001689,0.785908462,0.725487778,0.684741979,0.684741979,0.785908462,6259.487952
1,11,17,0.741182737,0.814363995,0.755172581,0.739857958,0.739857958,0.814363995,7210.542169
1,11,18,0.795443693,0.861996422,0.798797098,0.793911849,0.793911849,0.861996422,7923.493976
1,11,19,0.807652869,0.871298295,0.795873026,0.811511463,0.811511463,0.871298295,7831.174699
1,11,20,0.805429655,0.873387692,0.783560394,0.810571715,0.810571715,0.873387692,7931.777108
1,11,21,0.797679669,0.870481497,0.768168781,0.804685812,0.804685812,0.870481497,7652.710843
1,11,22,0.775376767,0.850400091,0.749190353,0.79250234,0.79250234,0.850400091,7619.277108
1,11,23,0.741023075,0.828304499,0.71678096,0.763067815,0.763067815,0.828304499,7542.921687
1,11,24,0.712326179,0.802350553,0.688214125,0.741020513,0.741020513,0.802350553,6847.740964
1,12,1,0.695104809,0.788952185,0.668065849,0.727722555,0.727722555,0.788952185,7190.361446
1,12,2,0.6861748,0.779682799,0.654216193,0.724199351,0.724199351,0.779682799,7404.518072
1,12,3,0.682907685,0.774565627,0.653486043,0.722890082,0.722890082,0.774565627,7335.090361
1,12,4,0.682404878,0.775759174,0.655014663,0.723969256,0.723969256,0.775759174,7289.909639
1,12,5,0.697507821,0.787242195,0.664824288,0.736465294,0.736465294,0.787242195,7517.771084
1,12,6,0.731062211,0.80608851,0.698994666,0.744333668,0.744333668,0.80608851,7702.259036
1,12,7,0.778166455,0.843622938,0.757861733,0.784749698,0.784749698,0.843622938,8113.403614
1,12,8,0.794342083,0.863029997,0.788368206,0.797730077,0.797730077,0.863029997,8131.159639
1,12,9,0.770897866,0.846752014,0.774263536,0.757802944,0.757802944,0.846752014,7700.60241
1,12,10,0.723328816,0.814692703,0.748398459,0.704956259,0.704956259,0.814692703,7304.954819
1,12,11,0.682052516,0.782258711,0.711732747,0.665280865,0.665280865,0.782258711,6457.51506
1,12,12,0.651352047,0.750953687,0.686977784,0.635420776,0.635420776,0.750953687,5990.195783
1,12,13,0.635437324,0.736710169,0.665487032,0.607704226,0.607704226,0.736710169,5640.512048
1,12,14,0.625657108,0.722966062,0.650369796,0.594296688,0.594296688,0.722966062,5305.873494
