Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW),Flag_RET
5.6,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
5.6,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
3,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
5.4,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
5.4,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
6.2,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
6.2,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
6.3,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
6.3,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
918,700.0,PEPCO,Nuc,1,0,0,20,0,0.99,0.018,0,1,1,1,24,24,248,0
932.4,700.0,PEPCO,Nuc,1,0,0,20,0,0.99,0.018,0,1,1,1,24,24,248,0
0.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1.1,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.5,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2,0.0,DPL_MD,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
198.9,0.0,DPL_MD,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
175.9,0.0,DPL_MD,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
198.9,0.0,DPL_MD,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
198.9,0.0,DPL_MD,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
60.2,0.0,BGE,MSW,1,0,0,15,1.49,0.43,0,0,1,1,1,0,0,0,0
4.3,0.0,BGE,MSW,1,0,0,15,1.49,0.43,0,0,1,1,1,0,0,0,0
229,100.0,APS_MD,Coal,1,0,0,23.57,1.01,0.95,0.07,0.06,0.36,0.36,1,24,24,124,0
1.9,0.0,DPL_MD,Bio,1,0,0,20,0.99,0.43,0,0.1,1,1,1,0,0,0,0
1.9,0.0,DPL_MD,Bio,1,0,0,20,0.99,0.43,0,0.1,1,1,1,0,0,0,0
1,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
1,0.0,DPL_MD,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
0.9,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.9,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.9,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
67.8,0.0,PEPCO,MSW,1,0,0,15,1.49,0.43,0,0,1,1,1,0,0,0,0
5,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
2.5,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
10,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
98.7,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
98.7,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
91.4,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
1,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
11,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
11,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
5.4,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
2.1,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
1,0.0,BGE,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1,0.0,BGE,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1,0.0,BGE,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
28,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
0.3,0.0,DPL_MD,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
223.6,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
223.6,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
328.1,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
40,0.0,APS_MD,WindOn,0,1,0,0,0,0.28,0,0,1,1,0,0,0,0,0
10,0.0,APS_MD,WindOn,0,1,0,0,0,0.28,0,0,1,1,0,0,0,0,0
70,0.0,APS_MD,WindOn,0,1,0,0,0,0.28,0,0,1,1,0,0,0,0,0
1.4,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
13.7,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2.1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
5.7,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
2.3,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
2.3,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
5,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
2.3,0.0,PEPCO,Oil,1,0,0,40,0.82,0.98,0,0,1,1,1,1,1,87,0
4.3,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
4.3,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
4.3,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
4.3,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
7.5,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
7.5,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
4.5,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.6,0.0,BGE,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1.6,0.0,BGE,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
1,0.0,PEPCO,Landfill_NG,1,0,0,15,0.39,0.43,0.05,0.1,1,1,1,0,0,0,0
2.8,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
27,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
5.5,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
40,0.0,APS_MD,WindOn,0,1,0,0,0,0.28,0,0,1,1,0,0,0,0,0
1.1,0.0,BGE,Bio,1,0,0,20,0.99,0.43,0,0.1,1,1,1,0,0,0,0
1.1,0.0,BGE,Bio,1,0,0,20,0.99,0.43,0,0.1,1,1,1,0,0,0,0
0.8,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
30,0.0,APS_MD,WindOn,0,1,0,0,0,0.28,0,0,1,1,0,0,0,0,0
310.3,0.0,DPL_MD,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
310.3,0.0,DPL_MD,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
493,0.0,DPL_MD,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
1.2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
10.3,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
3.2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
75,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.1,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.6,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.6,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
359.6,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
235.5,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
235.5,0.0,PEPCO,NGCC,1,0,0,18.75,0.4,0.98,0.035,0.16,1,1,1,6,6,92,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.6,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.5,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.5,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
10,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
12,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.4,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
13.6,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
6,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.4,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.7,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
7.9,0.0,BGE,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
1.1,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.4,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
9,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
15.7,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.9,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.6,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
5,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2.6,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
94,0.0,PEPCO,NGCT,1,0,0,26.3,0.59,0.98,0.068,0.16,1,1,1,1,1,119,0
1.3,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.5,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.7,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
4,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.8,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
5,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2.5,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
7.5,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.7,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2.3,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.3,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
10,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.6,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.1,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,DPL_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.1,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
4.3,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.9,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.5,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.3,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.4,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,BGE,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
2,0.0,APS_MD,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
1.9,0.0,PEPCO,SolarPV,0,1,0,0,0,0.35,0,0,1,1,0,0,0,0,0
