Month,Day,Period,AE_NJ,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,AP_MD,AP_PA,AP_VA,AP_WV,ATSI_PA,ATSI_OH,BC_MD,CE_IL,DAY_OH,DEOK_OH,DOM_NC,DOM_VA,DPL_DE,DPL_MD,DUQ_PA,EKPC_KY,JC_NJ,ME_PA,OVEC_OH,PE_PA,PEP_MD,PL_PA,PN_PA,PS_NJ,RECO_NJ,NI
1,2,11,0.202026764,0.246866481,0.246866481,0.246866481,0.246866481,0.246866481,0.246866481,0.246866481,0.222481489,0.222481489,0.222481489,0.222481489,0.249283454,0.249283454,0.180924868,0.21114263,0.341067285,0.268209014,0.14160645,0.14160645,0.182862923,0.182862923,0.183911803,0.178857235,0.161196895,0.203397167,0.174311927,0.176706409,0.146118418,0.253882615,0.335690404,0.140417206,0.084431789,0
1,2,12,0.201937308,0.267005375,0.267005375,0.267005375,0.267005375,0.267005375,0.267005375,0.267005375,0.236801948,0.236801948,0.236801948,0.236801948,0.28224761,0.28224761,0.19097971,0.216663823,0.364733179,0.298723236,0.154984435,0.154984435,0.184366091,0.184366091,0.202355479,0.189446644,0.172422738,0.220621279,0.155963303,0.1879315,0.157227985,0.271109689,0.356670727,0.151800512,0.096511792,0
1,2,13,0.187192467,0.282681866,0.282681866,0.282681866,0.282681866,0.282681866,0.282681866,0.282681866,0.246060116,0.246060116,0.246060116,0.246060116,0.298791003,0.298791003,0.189887114,0.213167987,0.383294664,0.319496794,0.161789736,0.161789736,0.187399465,0.187399465,0.222551178,0.216961183,0.170729244,0.222422925,0.174311927,0.197784964,0.151537866,0.283041594,0.371948988,0.154662371,0.106517086,0
1,2,14,0.194181951,0.290187025,0.290187025,0.290187025,0.290187025,0.290187025,0.290187025,0.290187025,0.254160417,0.254160417,0.254160417,0.254160417,0.303856654,0.303856654,0.189658259,0.207438147,0.386078886,0.330445707,0.163967169,0.163967169,0.182583506,0.182583506,0.240499729,0.229035139,0.166108071,0.213843385,0.137614679,0.189560681,0.161788735,0.278560844,0.373403096,0.146619248,0.105139426,0
1,2,15,0.209656309,0.300496274,0.300496274,0.300496274,0.300496274,0.300496274,0.300496274,0.300496274,0.262229453,0.262229453,0.262229453,0.262229453,0.308305216,0.308305216,0.193088773,0.204248175,0.390719258,0.327711577,0.160088855,0.160088855,0.182853217,0.182853217,0.244055079,0.245172335,0.168258989,0.212277415,0.174311927,0.185792173,0.173772736,0.278288411,0.377070715,0.157001015,0.103304739,0
1,2,16,0.218751106,0.306961653,0.306961653,0.306961653,0.306961653,0.306961653,0.306961653,0.306961653,0.27373641,0.27373641,0.27373641,0.27373641,0.311152889,0.311152889,0.196466917,0.200649649,0.388399072,0.341596976,0.167678473,0.167678473,0.184610147,0.184610147,0.249564678,0.256290655,0.179131758,0.226065237,0.275229358,0.19509288,0.179795948,0.287659224,0.398138611,0.166938614,0.104350314,0
1,2,17,0.255284808,0.331817809,0.331817809,0.331817809,0.331817809,0.331817809,0.331817809,0.331817809,0.308515703,0.308515703,0.308515703,0.308515703,0.334403656,0.334403656,0.230996524,0.211522473,0.407424594,0.356780179,0.18857115,0.18857115,0.217990096,0.217990096,0.275988802,0.280996334,0.220786228,0.278504431,0.183486239,0.2289143,0.197902301,0.33923103,0.445935949,0.204896863,0.146761842,0
1,2,18,0.297278162,0.38881789,0.38881789,0.38881789,0.38881789,0.38881789,0.38881789,0.38881789,0.365189195,0.365189195,0.365189195,0.365189195,0.369089756,0.369089756,0.280263727,0.255044612,0.4612529,0.408951756,0.235525273,0.235525273,0.263461597,0.263461597,0.3244895,0.306685827,0.267276858,0.335093186,0.220183486,0.265483936,0.240335716,0.406422998,0.502090647,0.246722274,0.195841375,0
1,2,19,0.296673023,0.397404993,0.397404993,0.397404993,0.397404993,0.397404993,0.397404993,0.397404993,0.373772427,0.373772427,0.373772427,0.373772427,0.38622805,0.38622805,0.286683886,0.303712365,0.470069606,0.430264826,0.236271424,0.236271424,0.259854828,0.259854828,0.323786782,0.326823459,0.270369445,0.341347182,0.220183486,0.267078377,0.251454462,0.410208489,0.508997169,0.251275485,0.201506548,0
1,2,20,0.283604395,0.389604374,0.389604374,0.389604374,0.389604374,0.389604374,0.389604374,0.389604374,0.372320633,0.372320633,0.372320633,0.372320633,0.377096432,0.377096432,0.276191867,0.308115916,0.457540603,0.423481409,0.222679609,0.222679609,0.244300376,0.244300376,0.318852242,0.339311921,0.265519245,0.335761194,0.220183486,0.264497357,0.241237427,0.406770516,0.497336859,0.249478319,0.197370281,0
1,2,21,0.271984753,0.377982415,0.377982415,0.377982415,0.377982415,0.377982415,0.377982415,0.377982415,0.362148182,0.362148182,0.362148182,0.362148182,0.357075015,0.357075015,0.260639898,0.306071443,0.442227378,0.401818167,0.199154766,0.199154766,0.221117766,0.221117766,0.300813614,0.33453068,0.253480181,0.324700554,0.201834862,0.254152572,0.230622517,0.394604274,0.461914142,0.242788054,0.183366816,0
1,2,22,0.252543262,0.353707244,0.353707244,0.353707244,0.353707244,0.353707244,0.353707244,0.353707244,0.342396257,0.342396257,0.342396257,0.342396257,0.324377914,0.324377914,0.237088627,0.29279015,0.418561485,0.372087337,0.174670977,0.174670977,0.196344974,0.196344974,0.270556156,0.333939645,0.233425831,0.304032347,0.201834862,0.234486886,0.209581536,0.369880417,0.421963104,0.22515182,0.160617349,0
1,2,23,0.231261953,0.322148527,0.322148527,0.322148527,0.322148527,0.322148527,0.322148527,0.322148527,0.31315459,0.31315459,0.31315459,0.31315459,0.290795355,0.290795355,0.206244688,0.281018992,0.383294664,0.336979356,0.144650892,0.144650892,0.173966989,0.173966989,0.231806422,0.320775278,0.205559028,0.26561301,0.183486239,0.209556995,0.177758311,0.327525709,0.374860471,0.201059674,0.130259519,0
1,2,24,0.205934101,0.290340113,0.290340113,0.290340113,0.290340113,0.290340113,0.290340113,0.290340113,0.281066036,0.281066036,0.281066036,0.281066036,0.252959997,0.252959997,0.172242001,0.252590662,0.356844548,0.28871297,0.107147844,0.107147844,0.147166863,0.147166863,0.196521961,0.307973476,0.172475752,0.231717297,0.256880734,0.177257113,0.153656285,0.295513935,0.331264035,0.168851074,0.094062254,0
1,3,1,0.184144763,0.27595881,0.27595881,0.27595881,0.27595881,0.27595881,0.27595881,0.27595881,0.266565935,0.266565935,0.266565935,0.266565935,0.226212825,0.226212825,0.14644094,0.22933161,0.335034803,0.271025573,0.087698357,0.087698357,0.130833786,0.130833786,0.165183581,0.30505734,0.146190549,0.205532297,0.183486239,0.152635089,0.129043604,0.270994735,0.307323213,0.143029656,0.066525503,0
1,3,2,0.173074292,0.269196329,0.269196329,0.269196329,0.269196329,0.269196329,0.269196329,0.269196329,0.257146143,0.257146143,0.257146143,0.257146143,0.217596936,0.217596936,0.137760611,0.21428307,0.323897912,0.254717171,0.082183806,0.082183806,0.129161443,0.129161443,0.150047693,0.306675643,0.132392615,0.205617099,0.256880734,0.136667575,0.114720346,0.260201069,0.290722205,0.129317604,0.054271238,0
1,3,3,0.170293041,0.276532442,0.276532442,0.276532442,0.276532442,0.276532442,0.276532442,0.276532442,0.263948502,0.263948502,0.263948502,0.263948502,0.21035125,0.21035125,0.142472434,0.204793244,0.323897912,0.256639398,0.086841556,0.086841556,0.137258647,0.137258647,0.155710005,0.317373346,0.128741188,0.199030659,0.229357798,0.135489842,0.122505278,0.265526361,0.29081762,0.122890132,0.050361841,0
1,3,4,0.172241926,0.288635491,0.288635491,0.288635491,0.288635491,0.288635491,0.288635491,0.288635491,0.282804868,0.282804868,0.282804868,0.282804868,0.205042964,0.205042964,0.156512162,0.201770275,0.327146172,0.262869977,0.103548523,0.103548523,0.162727902,0.162727902,0.160130928,0.317103798,0.131360845,0.21096533,0.256880734,0.143330789,0.127971412,0.278732942,0.299801719,0.126517365,0.053689267,0
1,3,5,0.183905099,0.324913973,0.324913973,0.324913973,0.324913973,0.324913973,0.324913973,0.324913973,0.319295437,0.319295437,0.319295437,0.319295437,0.234129301,0.234129301,0.196453998,0.209128218,0.349419954,0.285493558,0.145221526,0.145221526,0.19581734,0.19581734,0.179190227,0.334013312,0.144187356,0.242272769,0.220183486,0.161415382,0.179732214,0.313583115,0.334870222,0.139442294,0.061988104,0
1,3,6,0.208920574,0.386879215,0.386879215,0.386879215,0.386879215,0.386879215,0.386879215,0.386879215,0.376251199,0.376251199,0.376251199,0.376251199,0.272443101,0.272443101,0.262289175,0.227836187,0.404176334,0.332913024,0.209438088,0.209438088,0.256295553,0.256295553,0.208434769,0.370179168,0.17132664,0.303289942,0.302752294,0.222189137,0.24281293,0.383006598,0.428568348,0.167152891,0.079601761,0
1,3,7,0.245673848,0.471500194,0.471500194,0.471500194,0.471500194,0.471500194,0.471500194,0.471500194,0.45282199,0.45282199,0.45282199,0.45282199,0.344646955,0.344646955,0.339894911,0.263916668,0.478886311,0.40522568,0.287391065,0.287391065,0.33398288,0.33398288,0.256939047,0.416866196,0.21415369,0.394901804,0.256880734,0.261057595,0.326850174,0.492876428,0.554931288,0.218519551,0.124206366,0
1,3,8,0.279316273,0.536776039,0.536776039,0.536776039,0.536776039,0.536776039,0.536776039,0.536776039,0.516235665,0.516235665,0.516235665,0.516235665,0.406688388,0.406688388,0.396650416,0.318405935,0.541067285,0.46563993,0.360513661,0.360513661,0.392217782,0.392217782,0.300572018,0.448079373,0.249574583,0.457615012,0.23853211,0.318612691,0.395389679,0.565857489,0.629110387,0.267928442,0.171010623,0
1,3,9,0.303308034,0.564920894,0.564920894,0.564920894,0.564920894,0.564920894,0.564920894,0.564920894,0.549704651,0.549704651,0.549704651,0.549704651,0.427739558,0.427739558,0.446297814,0.346131431,0.546171694,0.476481312,0.411603938,0.411603938,0.441111623,0.441111623,0.323874472,0.447727672,0.277142584,0.487852805,0.247706422,0.353500095,0.450690971,0.603580391,0.644586667,0.301300021,0.193569388,0
1,3,10,0.328421097,0.571480771,0.571480771,0.571480771,0.571480771,0.571480771,0.571480771,0.571480771,0.571382999,0.571382999,0.571382999,0.571382999,0.436889032,0.436889032,0.485562314,0.345990864,0.535962877,0.462615437,0.423310184,0.423310184,0.490396856,0.490396856,0.34489518,0.436347613,0.299605375,0.511150385,0.266055046,0.387968567,0.478711953,0.628620979,0.666613295,0.328806936,0.213290634,0
1,3,11,0.348949927,0.567816508,0.567816508,0.567816508,0.567816508,0.567816508,0.567816508,0.567816508,0.59092331,0.59092331,0.59092331,0.59092331,0.449063953,0.449063953,0.509488242,0.346248262,0.514617169,0.446389465,0.433168802,0.433168802,0.528015903,0.528015903,0.337629381,0.418743862,0.314707899,0.535223146,0.229357798,0.400050005,0.494322995,0.645681492,0.684911525,0.345251193,0.225068143,0
1,3,12,0.364483124,0.546991886,0.546991886,0.546991886,0.546991886,0.546991886,0.546991886,0.546991886,0.59405017,0.59405017,0.59405017,0.59405017,0.449989588,0.449989588,0.533159939,0.342610721,0.499303944,0.423022157,0.4364074,0.4364074,0.553571131,0.553571131,0.331164729,0.394814914,0.325597851,0.550847991,0.293577982,0.413254756,0.503206609,0.653839867,0.701070093,0.355876235,0.231016081,0
1,3,13,0.371767286,0.529442977,0.529442977,0.529442977,0.529442977,0.529442977,0.529442977,0.529442977,0.590869436,0.590869436,0.590869436,0.590869436,0.449686295,0.449686295,0.540792659,0.339314791,0.482134571,0.405297883,0.431834562,0.431834562,0.565870339,0.565870339,0.31521994,0.360511447,0.330284191,0.554115198,0.183486239,0.419491507,0.510067274,0.660218124,0.677890635,0.358817699,0.231150888,0
1,3,14,0.370366614,0.514886056,0.514886056,0.514886056,0.514886056,0.514886056,0.514886056,0.514886056,0.567438478,0.567438478,0.567438478,0.567438478,0.448064924,0.448064924,0.519076147,0.335329743,0.466357309,0.383132005,0.434268133,0.434268133,0.571214626,0.571214626,0.311400325,0.336160865,0.331065143,0.547220767,0.275229358,0.427688067,0.495550718,0.656188993,0.684459281,0.364155384,0.232186599,0
1,3,15,0.372928293,0.49421241,0.49421241,0.49421241,0.49421241,0.49421241,0.49421241,0.49421241,0.546802123,0.546802123,0.546802123,0.546802123,0.433567512,0.433567512,0.503489111,0.332193638,0.440835267,0.366119851,0.430703131,0.430703131,0.573597992,0.573597992,0.305510733,0.302856829,0.332061292,0.53161257,0.247706422,0.419327734,0.489516491,0.639552191,0.622152236,0.367510205,0.228924932,0
1,3,16,0.374179713,0.480095511,0.480095511,0.480095511,0.480095511,0.480095511,0.480095511,0.480095511,0.523930227,0.523930227,0.523930227,0.523930227,0.418102189,0.418102189,0.509599901,0.328497682,0.431554524,0.355968586,0.422931709,0.422931709,0.574669206,0.574669206,0.313475671,0.298442906,0.340196854,0.52598236,0.275229358,0.424408143,0.48351531,0.62303743,0.608869207,0.373508844,0.239209703,0
