Pmax (MW),Pmin (MW),Type,Flag_thermal,Flag_VRE,Cost ($/MWh),EF,CC,Zone,FOR,RU,RD,RM_SPIN
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,DOM_VA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
0.3,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
