Pmax (MW),Pmin (MW),Type,Flag_thermal,Flag_VRE,Cost ($/MWh),EF,CC,Zone,FOR,RU,RD,RM_SPIN
178.5,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
178.5,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
178.5,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
198,0,NGCT,1,0,26.3,0.59,0.98,AEP_OH,0.068,1,1,0.16
198,0,NGCT,1,0,26.3,0.59,0.98,AEP_OH,0.068,1,1,0.16
198,0,NGCT,1,0,26.3,0.59,0.98,AEP_OH,0.068,1,1,0.16
1.8,0,Oil,1,0,40,0.82,0.98,ATSI_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,ATSI_OH,0.07,1,1,0
1,0,Oil,1,0,40,0.82,0.98,ATSI_OH,0.07,1,1,0
1.1,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,AEP_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,ATSI_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,ATSI_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,ATSI_OH,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
1.8,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
2.2,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
2.2,0,Oil,1,0,40,0.82,0.98,CE_IL,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
2,0,Oil,1,0,40,0.82,0.98,DOM_VA,0.07,1,1,0
45,0,NGCT,1,0,26.3,0.59,0.98,DPL_DE,0.068,1,1,0.16
51,0,NGCT,1,0,26.3,0.59,0.98,DPL_DE,0.068,1,1,0.16
71.2,0,NGCT,1,0,26.3,0.59,0.98,PE_NJ,0.068,1,1,0.16
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
68.3,0,Oil,1,0,40,0.82,0.98,PL_PA,0.07,1,1,0
1300,0,Coal,1,0,23.57,1.01,0.95,AEP_OH,0.07,0.36,0.36,0.06
1300,0,Coal,1,0,23.57,1.01,0.95,AEP_OH,0.07,0.36,0.36,0.06
26.1,0,Hydro,0,1,50,0,0.5,PN_PA,0.035,1,1,0
637,0,Coal,1,0,23.57,1.01,0.95,DUQ_PA,0.07,0.36,0.36,0.06
5,0,Bio,1,0,20,0.99,0.43,DOM_VA,0.07,1,1,0
10,0,Bio,1,0,20,0.99,0.43,DOM_VA,0.07,1,1,0
25,0,Bio,1,0,20,0.99,0.43,DOM_VA,0.07,1,1,0
15,0,Bio,1,0,20,0.99,0.43,DOM_VA,0.07,1,1,0
46,0,Bio,1,0,20,0.99,0.43,DOM_VA,0.07,1,1,0
18,0,NGCC,1,0,18.75,0.4,0.98,DPL_DE,0.035,1,1,0.16
50,0,NGCC,1,0,18.75,0.4,0.98,DPL_DE,0.035,1,1,0.16
50,0,NGCT,1,0,26.3,0.59,0.98,DPL_DE,0.068,1,1,0.16
242.3,0,Coal,1,0,23.57,1.01,0.95,PE_NJ,0.07,0.36,0.36,0.06
4.4,0,Oil,1,0,40,0.82,0.98,ME_PA,0.07,1,1,0
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
45,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
88.4,0,Coal,1,0,23.57,1.01,0.95,PL_PA,0.07,0.36,0.36,0.06
24.1,0,MSW,1,0,15,1.49,0.43,AE_PA,0.07,1,1,0
5,0,NGCT,1,0,26.3,0.59,0.98,PS_NJ,0.068,1,1,0.16
5.3,0,NGCT,1,0,26.3,0.59,0.98,PS_NJ,0.068,1,1,0.16
5.3,0,NGCT,1,0,26.3,0.59,0.98,PS_NJ,0.068,1,1,0.16
6.1,0,NGCT,1,0,26.3,0.59,0.98,PN_PA,0.068,1,1,0.16
6.1,0,NGCT,1,0,26.3,0.59,0.98,PN_PA,0.068,1,1,0.16
6.1,0,NGCT,1,0,26.3,0.59,0.98,PN_PA,0.068,1,1,0.16
6.1,0,NGCT,1,0,26.3,0.59,0.98,PN_PA,0.068,1,1,0.16
118,0,Coal,1,0,23.57,1.01,0.95,PN_PA,0.07,0.36,0.36,0.06
95.7,0,Coal,1,0,23.57,1.01,0.95,AP_WV,0.07,0.36,0.36,0.06
0.7,0,Hydro,0,1,50,0,0.5,PN_PA,0.035,1,1,0
0.7,0,Hydro,0,1,50,0,0.5,PN_PA,0.035,1,1,0
0.7,0,Hydro,0,1,50,0,0.5,PN_PA,0.035,1,1,0
0.7,0,Hydro,0,1,50,0,0.5,PN_PA,0.035,1,1,0
2.9,0,Hydro,0,1,50,0,0.5,DOM_VA,0.035,1,1,0
5,0,NGCT,1,0,26.3,0.59,0.98,JC_NJ,0.068,1,1,0.16
10.8,0,NGCT,1,0,26.3,0.59,0.98,JC_NJ,0.068,1,1,0.16
4.5,0,NGCT,1,0,26.3,0.59,0.98,JC_NJ,0.068,1,1,0.16
0.5,0,SolarPV,0,1,0,0,0.35,JC_NJ,0,1,1,0
10.6,0,Bio,1,0,20,0.99,0.43,AEP_OH,0.07,1,1,0
24,0,Bio,1,0,20,0.99,0.43,AEP_OH,0.07,1,1,0
31,0,Bio,1,0,20,0.99,0.43,AEP_OH,0.07,1,1,0
27.2,0,NGCT,1,0,26.3,0.59,0.98,AEP_OH,0.068,1,1,0.16
50,0,Bio,1,0,20,0.99,0.43,AEP_TN,0.07,1,1,0
1,0,Hydro,0,1,50,0,0.5,DOM_NC,0.035,1,1,0
0.5,0,Hydro,0,1,50,0,0.5,DOM_NC,0.035,1,1,0
2.6,0,Hydro,0,1,50,0,0.5,PL_PA,0.035,1,1,0
2.6,0,Hydro,0,1,50,0,0.5,PL_PA,0.035,1,1,0
1.5,0,NGCT,1,0,26.3,0.59,0.98,ME_PA,0.068,1,1,0.16
143.4,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
143.4,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
143.4,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
47.3,0,Coal,1,0,23.57,1.01,0.95,PL_PA,0.07,0.36,0.36,0.06
12.5,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
12.5,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
32,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
40,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
55,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
10,0,NG,1,0,22.525,0.495,0.98,ATSI_OH,0.035,1,1,0.16
10,0,NG,1,0,22.525,0.495,0.98,ATSI_OH,0.035,1,1,0.16
15,0,NG,1,0,22.525,0.495,0.98,ATSI_OH,0.035,1,1,0.16
10,0,NG,1,0,22.525,0.495,0.98,ATSI_OH,0.035,1,1,0.16
22,0,NG,1,0,22.525,0.495,0.98,ATSI_OH,0.035,1,1,0.16
17.5,0,MSW,1,0,15,1.49,0.43,AE_NJ,0.07,1,1,0
17.5,0,MSW,1,0,15,1.49,0.43,AE_NJ,0.07,1,1,0
20,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
0.4,0,Hydro,0,1,50,0,0.5,PL_PA,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,PL_PA,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,PL_PA,0.035,1,1,0
285,0,Coal,1,0,23.57,1.01,0.95,JC_NJ,0.07,0.36,0.36,0.06
57.6,0,Coal,1,0,23.57,1.01,0.95,PN_PA,0.07,0.36,0.36,0.06
60.2,0,MSW,1,0,15,1.49,0.43,BC_MD,0.07,1,1,0
4.3,0,MSW,1,0,15,1.49,0.43,BC_MD,0.07,1,1,0
101,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
101,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
101,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
96,0,Other,1,0,20.1096,0.30925,0.7515,DOM_VA,0.07,1,1,0
34.9,0,MSW,1,0,15,1.49,0.43,PS_NJ,0.07,1,1,0
34.9,0,MSW,1,0,15,1.49,0.43,PS_NJ,0.07,1,1,0
0.3,0,Hydro,0,1,50,0,0.5,AEP_MI,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_MI,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_MI,0.035,1,1,0
0.2,0,Hydro,0,1,50,0,0.5,AEP_MI,0.035,1,1,0
229,0,Coal,1,0,23.57,1.01,0.95,DPL_MD,0.07,0.36,0.36,0.06
1.9,0,Bio,1,0,20,0.99,0.43,DPL_MD,0.07,1,1,0
1.9,0,Bio,1,0,20,0.99,0.43,DPL_MD,0.07,1,1,0
1,0,Oil,1,0,40,0.82,0.98,DPL_MD,0.07,1,1,0
1,0,Oil,1,0,40,0.82,0.98,DPL_MD,0.07,1,1,0
68.9,0,Coal,1,0,23.57,1.01,0.95,AP_WV,0.07,0.36,0.36,0.06
90,0,MSW,1,0,15,1.49,0.43,ATSI_PA,0.07,1,1,0
95.2,0,NGCC,1,0,18.75,0.4,0.98,AE_NJ,0.035,1,1,0.16
77.7,0,NGCC,1,0,18.75,0.4,0.98,AE_NJ,0.035,1,1,0.16
71.1,0,Bio,1,0,20,0.99,0.43,PN_VA,0.07,1,1,0
71.1,0,Bio,1,0,20,0.99,0.43,DOM_VA,0.07,1,1,0
2,0,Hydro,0,1,50,0,0.5,AEP_VA,0.035,1,1,0
0.8,0,Hydro,0,1,50,0,0.5,AEP_VA,0.035,1,1,0
0.2,0,Hydro,0,1,50,0,0.5,AEP_VA,0.035,1,1,0
2.4,0,Hydro,0,1,50,0,0.5,AEP_VA,0.035,1,1,0
22,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
6.8,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
31,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
31,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
31,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
31,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
31,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
75,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
105,0,Coal,1,0,23.57,1.01,0.95,CE_IL,0.07,0.36,0.36,0.06
64.8,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
72.5,0,NGCT,1,0,26.3,0.59,0.98,AEP_PA,0.068,1,1,0.16
33,0,NGCT,1,0,26.3,0.59,0.98,AEP_PA,0.068,1,1,0.16
33,0,NGCT,1,0,26.3,0.59,0.98,AEP_PA,0.068,1,1,0.16
33,0,NGCT,1,0,26.3,0.59,0.98,AEP_PA,0.068,1,1,0.16
8,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
8,0,Hydro,0,1,50,0,0.5,CE_IL,0.035,1,1,0
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
212.5,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
95.2,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
0.4,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
1.9,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
1.9,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
25.5,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
25.5,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
25.5,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
25.5,0,Hydro,0,1,50,0,0.5,AEP_WV,0.035,1,1,0
18.7,0,Hydro,0,1,50,0,0.5,AP_WV,0.035,1,1,0
18.7,0,Hydro,0,1,50,0,0.5,AP_WV,0.035,1,1,0
6,0,NGCT,1,0,26.3,0.59,0.98,JC_NJ,0.068,1,1,0.16
2,0,Hydro,0,1,50,0,0.5,DOM_VA,0.035,1,1,0
0.5,0,Hydro,0,1,50,0,0.5,DOM_VA,0.035,1,1,0
0.8,0,Hydro,0,1,50,0,0.5,DOM_VA,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,DOM_VA,0.035,1,1,0
0.4,0,Hydro,0,1,50,0,0.5,DOM_VA,0.035,1,1,0
72,0,Bio,1,0,20,0.99,0.43,DOM_NC,0.07,1,1,0
42,0,Bio,1,0,20,0.99,0.43,DOM_NC,0.07,1,1,0
36.5,0,MSW,1,0,15,1.49,0.43,BC_PA,0.07,1,1,0
28.3,0,Bio,1,0,20,0.99,0.43,DOM_NC,0.07,1,1,0
13,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
23.2,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
4.6,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
4.6,0,Landfill_NG,1,0,15,0.39,0.43,PN_PA,0.05,1,1,0.1
60.5,0,NGCT,1,0,26.3,0.59,0.98,PN_PA,0.068,1,1,0.16
0.6,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
0.6,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
0.6,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
0.6,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
2,0,NGCT,1,0,26.3,0.59,0.98,AEP_IN,0.068,1,1,0.16
0.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
0.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
0.3,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
0.5,0,NGCT,1,0,26.3,0.59,0.98,CE_IL,0.068,1,1,0.16
6.3,0,NGCT,1,0,26.3,0.59,0.98,AE_PA,0.068,1,1,0.16
6.3,0,NGCT,1,0,26.3,0.59,0.98,AE_PA,0.068,1,1,0.16
55,0,NGCC,1,0,18.75,0.4,0.98,PS_NJ,0.035,1,1,0.16
55,0,NGCC,1,0,18.75,0.4,0.98,PS_NJ,0.035,1,1,0.16
42,0,NGCC,1,0,18.75,0.4,0.98,PS_NJ,0.035,1,1,0.16
6,0,NGCT,1,0,26.3,0.59,0.98,BC_PA,0.068,1,1,0.16
5.1,0,NGCT,1,0,26.3,0.59,0.98,BC_PA,0.068,1,1,0.16
7.5,0,NGCT,1,0,26.3,0.59,0.98,BC_PA,0.068,1,1,0.16
45.9,0,Coal,1,0,23.57,1.01,0.95,BC_PA,0.07,0.36,0.36,0.06
39.1,0,Bio,1,0,20,0.99,0.43,BC_PA,0.07,1,1,0
17.3,0,NGCC,1,0,18.75,0.4,0.98,ATSI_PA,0.035,1,1,0.16
17.3,0,NGCC,1,0,18.75,0.4,0.98,ATSI_PA,0.035,1,1,0.16
17.3,0,NGCC,1,0,18.75,0.4,0.98,ATSI_PA,0.035,1,1,0.16
17.3,0,NGCC,1,0,18.75,0.4,0.98,ATSI_PA,0.035,1,1,0.16
3.5,0,NGCT,1,0,26.3,0.59,0.98,PS_NJ,0.068,1,1,0.16
3.5,0,NGCT,1,0,26.3,0.59,0.98,PS_NJ,0.068,1,1,0.16
3.5,0,NGCT,1,0,26.3,0.59,0.98,PS_NJ,0.068,1,1,0.16
12.5,0,NGCT,1,0,26.3,0.59,0.98,DEOK_OH,0.068,1,1,0.16
53.6,0,NGCT,1,0,26.3,0.59,0.98,PL_PA,0.068,1,1,0.16
2.6,0,NGCT,1,0,26.3,0.59,0.98,PL_PA,0.068,1,1,0.16
64,0,NGCT,1,0,26.3,0.59,0.98,PL_PA,0.068,1,1,0.16
0.6,0,Hydro,0,1,50,0,0.5,DOM_NC,0.035,1,1,0
0.5,0,Hydro,0,1,50,0,0.5,DOM_NC,0.035,1,1,0
0.5,0,Hydro,0,1,50,0,0.5,DOM_NC,0.035,1,1,0
0.2,0,Hydro,0,1,50,0,0.5,AEP_VA,0.035,1,1,0
0.2,0,Hydro,0,1,50,0,0.5,AEP_VA,0.035,1,1,0
7.5,0,Bio,1,0,20,0.99,0.43,AEP_VA,0.07,1,1,0
6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
7,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
10,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
7.5,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
10.4,0,NGCT,1,0,26.3,0.59,0.98,AEP_TN,0.068,1,1,0.16
10.4,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
10.4,0,NGCT,1,0,26.3,0.59,0.98,AEP_TN,0.068,1,1,0.16
10.4,0,NGCT,1,0,26.3,0.59,0.98,AEP_TN,0.068,1,1,0.16
10.4,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
15,0,NGCT,1,0,26.3,0.59,0.98,AEP_TN,0.068,1,1,0.16
15.4,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
16.8,0,NGCT,1,0,26.3,0.59,0.98,AEP_TN,0.068,1,1,0.16
18,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
16.6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
6,0,Coal,1,0,23.57,1.01,0.95,AEP_TN,0.07,0.36,0.36,0.06
7.5,0,NGCT,1,0,26.3,0.59,0.98,AEP_WV,0.068,1,1,0.16
26,0,NGCT,1,0,26.3,0.59,0.98,AEP_WV,0.068,1,1,0.16
82,0,NGCT,1,0,26.3,0.59,0.98,AEP_WV,0.068,1,1,0.16
54,0,Other,1,0,20.1096,0.30925,0.7515,DOM_NC,0.07,1,1,0
86,0,Oil,1,0,40,0.82,0.98,DOM_NC,0.07,1,1,0
40,0,Oil,1,0,40,0.82,0.98,DOM_NC,0.07,1,1,0
54,0,Oil,1,0,40,0.82,0.98,DOM_NC,0.07,1,1,0
90,0,NGCC,1,0,18.75,0.4,0.98,PE_NJ,0.035,1,1,0.16
90,0,NGCC,1,0,18.75,0.4,0.98,PE_NJ,0.035,1,1,0.16
45,0,NGCC,1,0,18.75,0.4,0.98,PE_NJ,0.035,1,1,0.16
26.8,0,NGCC,1,0,18.75,0.4,0.98,PE_NJ,0.035,1,1,0.16
3,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
3,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
3,0,Landfill_NG,1,0,15,0.39,0.43,PS_IL,0.05,1,1,0.1
3,0,Landfill_NG,1,0,15,0.39,0.43,PS_IL,0.05,1,1,0.1
3,0,Landfill_NG,1,0,15,0.39,0.43,PS_IL,0.05,1,1,0.1
36,0,Coal,1,0,23.57,1.01,0.95,PL_PA,0.07,0.36,0.36,0.06
22,0,NG,1,0,22.525,0.495,0.98,CE_IL,0.035,1,1,0.16
11.2,0,NG,1,0,22.525,0.495,0.98,CE_IL,0.035,1,1,0.16
6.5,0,NG,1,0,22.525,0.495,0.98,CE_IL,0.035,1,1,0.16
30.5,0,NGCT,1,0,26.3,0.59,0.98,PE_NJ,0.068,1,1,0.16
15,0,NG,1,0,22.525,0.495,0.98,PE_NJ,0.035,1,1,0.16
15,0,NG,1,0,22.525,0.495,0.98,PE_NJ,0.035,1,1,0.16
18,0,Coal,1,0,23.57,1.01,0.95,PE_NJ,0.07,0.36,0.36,0.06
67.8,0,MSW,1,0,15,1.49,0.43,BC_MD,0.07,1,1,0
62,0,MSW,1,0,15,1.49,0.43,PS_VA,0.07,1,1,0
62,0,MSW,1,0,15,1.49,0.43,PS_VA,0.07,1,1,0
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
0.8,0,Landfill_NG,1,0,15,0.39,0.43,CE_IL,0.05,1,1,0.1
21,0,NG,1,0,22.525,0.495,0.98,DUQ_PA,0.035,1,1,0.16
10,0,NG,1,0,22.525,0.495,0.98,DUQ_PA,0.035,1,1,0.16
25,0,NG,1,0,22.525,0.495,0.98,DUQ_PA,0.035,1,1,0.16
25,0,NG,1,0,22.525,0.495,0.98,DUQ_PA,0.035,1,1,0.16
2.5,0,NG,1,0,22.525,0.495,0.98,DUQ_PA,0.035,1,1,0.16
161,0,NG,1,0,22.525,0.495,0.98,AEP_IN,0.035,1,1,0.16
94,0,Coal,1,0,23.57,1.01,0.95,PL_PA,0.07,0.36,0.36,0.06
45.9,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
45.9,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
21.6,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
21.6,0,NGCC,1,0,18.75,0.4,0.98,JC_NJ,0.035,1,1,0.16
35.7,0,MSW,1,0,15,1.49,0.43,ME_PA,0.07,1,1,0
14,0,MSW,1,0,15,1.49,0.43,PE_NJ,0.07,1,1,0
134.1,0,Coal,1,0,23.57,1.01,0.95,DPL_PA,0.07,0.36,0.36,0.06
4.6,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
4.6,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
4.6,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
4.6,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
6.8,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
6.8,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
8.9,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
8.9,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
0.8,0,NGCT,1,0,26.3,0.59,0.98,PS_IL,0.068,1,1,0.16
0.8,0,NGCT,1,0,26.3,0.59,0.98,PS_IL,0.068,1,1,0.16
45,0,MSW,1,0,15,1.49,0.43,JC_NJ,0.07,1,1,0
6,0,Coal,1,0,23.57,1.01,0.95,ATSI_OH,0.07,0.36,0.36,0.06
94.7,0,Coal,1,0,23.57,1.01,0.95,AP_PA,0.07,0.36,0.36,0.06
122,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
122,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
132,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
122,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
122,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
132,0,NGCC,1,0,18.75,0.4,0.98,DOM_VA,0.035,1,1,0.16
187,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
187,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
187,0,NGCT,1,0,26.3,0.59,0.98,DOM_VA,0.068,1,1,0.16
3.7,0,NGCT,1,0,26.3,0.59,0.98,PS_IL,0.068,1,1,0.16
3.7,0,NGCT,1,0,26.3,0.59,0.98,PS_IL,0.068,1,1,0.16
6.1,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
6.1,0,Hydro,0,1,50,0,0.5,AP_PA,0.035,1,1,0
4.1,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
4.1,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
4.1,0,Hydro,0,1,50,0,0.5,PS_NJ,0.035,1,1,0
6,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
6,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
6,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
6,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
6,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
6,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
9.2,0,NGCT,1,0,26.3,0.59,0.98,AEP_VA,0.068,1,1,0.16
