Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF
AEP_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AEP_IN,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AEP_MI,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AP_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AP_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AP_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AP_WV,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
ATSI_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
ATSI_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
BC_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
CE_IL,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DAY_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DPL_DE,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DPL_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DOM_NC,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DOM_VA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DEOK_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
DUQ_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
EKPC_KY,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
JC_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
ME_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
OVEC_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
PL_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
PE_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
PN_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
PEP_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
PS_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
RECO_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1
AE_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_WV,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_KY,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_TN,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_IN,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AEP_MI,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AP_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AP_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AP_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
AP_WV,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
ATSI_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
ATSI_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
BC_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
CE_IL,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DAY_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DPL_DE,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DPL_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DOM_NC,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DOM_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DEOK_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
DUQ_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1
