Zone,Pmax (MW),Pmin (MW),Cost ($/MW/yr),Cost ($/MWh),Type,Flag_thermal,Flag_VRE,Flag_mustrun,EF,CC,AF,Flag_RPS
EKPC_KY,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
JC_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
ME_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
OVEC_OH,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
PL_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
PE_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
PN_PA,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
PEP_MD,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
PS_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
RECO_NJ,5000.0,0,196747.1,27.76,NGCC_CCS,1,0,0,0,0.98,1.0,0
AE_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_WV,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_KY,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_TN,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_IN,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AEP_MI,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AP_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AP_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AP_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
AP_WV,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
ATSI_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
ATSI_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
BC_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
CE_IL,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DAY_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DPL_DE,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DPL_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DPL_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DOM_NC,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DOM_VA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DEOK_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DEOK_KY,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
DUQ_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
EKPC_KY,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
JC_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
ME_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
OVEC_OH,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
PL_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
PE_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
PN_PA,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
PEP_MD,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
PS_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
RECO_NJ,4000.0,0,134556.5,37.65,NGCT_CCS,1,0,0,0,0.98,1.0,0
