Pmax (MW),Pmin (MW),Type,Zone,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
556.3,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
556.5,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
556.2,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
20.7,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
20.7,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
0.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
0.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
260.0,0,NGCC,EKPC_KY,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
260.0,0,NGCC,EKPC_KY,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
287.0,0,NGCC,EKPC_KY,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
355.5,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
355.5,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
462.6,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
543.6,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
13.7,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
32.6,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
178.0,0,NGCT,EKPC_KY,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
1.3,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.3,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
0.7,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
0.9,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
1.1,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
3.1,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
3.1,0,Oil,EKPC_KY,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
45.0,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
45.0,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
45.0,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
45.0,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
45.0,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
45.0,0,Hydro,EKPC_KY,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
113.6,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
230.4,0,Coal,EKPC_KY,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
132.8,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
359.0,0,Coal,DPL_MD,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
414.7,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
16.0,0,Oil,DPL_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
53.1,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
53.1,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
53.1,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
192.0,0,NGCT,BC_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
141.0,0,NGCT,BC_MD,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
20.7,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
20.7,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
20.7,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
20.7,0,Oil,BC_MD,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
