Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD,NI
1,4,21,0.480720318,0.564800024,0.610927771,0.608756055,0.610927771,0.608756055,-5937.3
1,4,22,0.448180924,0.52914783,0.576495978,0.57215279,0.576495978,0.57215279,-5742.8
1,4,23,0.406660469,0.476860298,0.534513865,0.532663955,0.534513865,0.532663955,-5509.4
1,4,24,0.367729315,0.433980263,0.499600182,0.483743492,0.499600182,0.483743492,-5420.2
1,5,1,0.346292241,0.406808151,0.478688386,0.462291595,0.478688386,0.462291595,-5509.4
1,5,2,0.324167864,0.396735545,0.464100216,0.438558762,0.464100216,0.438558762,-5568.5
1,5,3,0.318697428,0.388934414,0.438343857,0.43882531,0.438343857,0.43882531,-5376.5
1,5,4,0.321506912,0.390009477,0.423060795,0.447665021,0.423060795,0.447665021,-5250
1,5,5,0.341656716,0.407886905,0.425154259,0.471243295,0.425154259,0.471243295,-5433.3
1,5,6,0.392635192,0.449299225,0.449365827,0.505747031,0.449365827,0.505747031,-5496.5
1,5,7,0.452496938,0.506590185,0.500179435,0.574374906,0.500179435,0.574374906,-5305.1
1,5,8,0.501791138,0.531250663,0.520640974,0.610144789,0.520640974,0.610144789,-5407.2
1,5,9,0.521933562,0.531317105,0.522872222,0.608643006,0.522872222,0.608643006,-5522.99
1,5,10,0.524371257,0.516243147,0.511557462,0.581504754,0.511557462,0.581504754,-5449.8
1,5,11,0.513798483,0.494105377,0.490253757,0.574572918,0.490253757,0.574572918,-5276.9
1,5,12,0.489445831,0.469707435,0.469453734,0.540024493,0.469453734,0.540024493,-5515.2
1,5,13,0.485925058,0.461473741,0.446216141,0.514512201,0.446216141,0.514512201,-5462.8
1,5,14,0.477896381,0.449448719,0.429029418,0.487785163,0.429029418,0.487785163,-5142.39
1,5,15,0.464256116,0.436652234,0.418504452,0.470645903,0.418504452,0.470645903,-5045.8
1,5,16,0.463252377,0.439389493,0.417458072,0.452737557,0.417458072,0.452737557,-5227.7
1,5,17,0.46656865,0.46267915,0.44614514,0.478563559,0.44614514,0.478563559,-5245.4
1,5,18,0.50560313,0.518930806,0.487405647,0.540446306,0.487405647,0.540446306,-5478.29
1,5,19,0.484536923,0.521683291,0.486542392,0.552000425,0.486542392,0.552000425,-5432.3
1,5,20,0.460553907,0.510212641,0.470551081,0.544384468,0.470551081,0.544384468,-5338.7
1,5,21,0.423784605,0.490414633,0.444139548,0.535316716,0.444139548,0.535316716,-5404.5
1,5,22,0.381149705,0.454534968,0.405303958,0.504287641,0.405303958,0.504287641,-5389.1
1,5,23,0.338752209,0.39682644,0.355752194,0.446607661,0.355752194,0.446607661,-5036.99
1,5,24,0.278850486,0.343231069,0.313496623,0.398961117,0.313496623,0.398961117,-4753
1,6,1,0.254869931,0.303289463,0.283392003,0.365100169,0.283392003,0.365100169,-4302.1
1,6,2,0.223705449,0.28315694,0.269165866,0.360821625,0.269165866,0.360821625,-4025.2
1,6,3,0.226610264,0.278838461,0.264857674,0.367802389,0.264857674,0.367802389,-4002.3
1,6,4,0.227757613,0.288389684,0.273851907,0.375469042,0.273851907,0.375469042,-3690
1,6,5,0.260626974,0.318157175,0.301656037,0.400197588,0.301656037,0.400197588,-3573.6
1,6,6,0.313858326,0.375214897,0.35664638,0.454140598,0.35664638,0.454140598,-3689.8
1,6,7,0.395526475,0.447089116,0.436092223,0.550089017,0.436092223,0.550089017,-3670.3
1,6,8,0.45176197,0.483801147,0.473336977,0.595230117,0.473336977,0.595230117,-3553.09
1,6,9,0.463892322,0.479028189,0.461385672,0.610377422,0.461385672,0.610377422,-3370.29
1,6,10,0.438200737,0.454079796,0.422200352,0.598761303,0.422200352,0.598761303,-3439.5
1,6,11,0.424380574,0.433887983,0.378164844,0.582348204,0.378164844,0.582348204,-3769.5
1,6,12,0.411386712,0.406526927,0.342246256,0.553822454,0.342246256,0.553822454,-3779.9
1,6,13,0.392400248,0.380851598,0.322412827,0.534207778,0.322412827,0.534207778,-3678.3
1,6,14,0.381619285,0.363707797,0.303081322,0.528047324,0.303081322,0.528047324,-3379.6
1,6,15,0.391765839,0.36930574,0.305931189,0.517938816,0.305931189,0.517938816,-3224.7
