Zone,Type,Pmax (MW),Pmin (MW),Cost ($/MWh),EF,CC
ATSI_OH,Oil,342.0000000000004,0,40.0,0.8200000000000002,0.9799999999999989
ATSI_OH,Coal,890.0,0,23.569999999999997,1.01,0.9500000000000001
ATSI_OH,Hydro,8.8,0,50.0,0.0,0.5
ATSI_OH,WindOn,8.0,0,0.0,0.0,0.28
ATSI_OH,SolarPV,46.49999999999999,0,0.0,0.0,0.3499999999999999
ATSI_OH,NGCC,4090.8,0,18.75,0.4000000000000001,0.9800000000000002
ATSI_OH,Landfill_NG,77.99999999999997,0,15.0,0.3900000000000003,0.42999999999999977
ATSI_OH,Bio,12.799999999999999,0,20.0,0.9900000000000001,0.43000000000000005
ATSI_OH,NG,87.5,0,22.525000000000002,0.49500000000000005,0.9800000000000002
AEP_OH,NGCT,2836.3,0,26.29999999999999,0.59,0.9800000000000003
AEP_OH,Oil,99.89999999999998,0,40.0,0.8200000000000002,0.9800000000000002
AEP_OH,Coal,3773.5,0,23.569999999999997,1.01,0.9499999999999998
AEP_OH,Hydro,117.6,0,50.0,0.0,0.5
AEP_OH,WindOn,1094.3,0,0.0,0.0,0.2800000000000001
AEP_OH,SolarPV,230.7,0,0.0,0.0,0.3499999999999999
AEP_OH,NGCC,4327.700000000001,0,18.75,0.4000000000000001,0.9800000000000002
AEP_OH,Landfill_NG,2.8,0,15.0,0.39,0.43
AEP_OH,Bio,65.6,0,20.0,0.9899999999999999,0.43
AEP_OH,NG,67.0,0,22.525,0.495,0.98
DUQ_PA,NGCT,175.20000000000002,0,26.300000000000008,0.59,0.9800000000000003
DUQ_PA,Oil,73.19999999999999,0,40.0,0.82,0.9800000000000001
DUQ_PA,Coal,637.0,0,23.57,1.01,0.95
DUQ_PA,SolarPV,3.0,0,0.0,0.0,0.35
DUQ_PA,NGCC,1793.9,0,18.75,0.39999999999999997,0.9800000000000003
DUQ_PA,Bio,3.3,0,20.0,0.99,0.43
DUQ_PA,NG,83.5,0,22.525,0.495,0.9800000000000001
ME_PA,NGCT,436.5999999999998,0,26.300000000000004,0.59,0.9800000000000002
ME_PA,Oil,106.80000000000001,0,40.0,0.8200000000000001,0.9800000000000002
ME_PA,Hydro,715.9999999999998,0,50.0,0.0,0.5
ME_PA,WindOn,211.60000000000002,0,0.0,0.0,0.28
ME_PA,SolarPV,18.9,0,0.0,0.0,0.35000000000000003
ME_PA,NGCC,2618.6,0,18.75,0.39999999999999997,0.9800000000000002
ME_PA,Landfill_NG,27.200000000000003,0,15.0,0.39000000000000007,0.43
ME_PA,MSW,35.7,0,15.0,1.49,0.43
DPL_PA,NGCT,1794.0999999999997,0,26.3,0.59,0.9800000000000001
DPL_PA,Oil,194.0,0,40.0,0.82,0.98
DPL_PA,Coal,134.1,0,23.57,1.01,0.95
DPL_PA,SolarPV,5.8,0,0.0,0.0,0.35
DPL_PA,NGCC,1804.6,0,18.75,0.39999999999999997,0.9800000000000003
DPL_PA,Landfill_NG,9.899999999999999,0,15.0,0.38999999999999996,0.43
PL_PA,NGCT,250.40000000000006,0,26.299999999999997,0.59,0.9800000000000003
PL_PA,NuC,4123.8,0,35.0,0.0,0.99
PL_PA,Oil,960.3999999999987,0,40.0,0.8200000000000002,0.9799999999999989
PL_PA,Coal,2122.8,0,23.569999999999997,1.01,0.9500000000000001
PL_PA,Hydro,6.400000000000001,0,50.0,0.0,0.5
PL_PA,WindOn,268.8,0,0.0,0.0,0.28
PL_PA,SolarPV,48.5,0,0.0,0.0,0.34999999999999987
PL_PA,NGCC,4872.800000000001,0,18.75,0.40000000000000013,0.9800000000000003
PL_PA,Landfill_NG,33.900000000000006,0,15.0,0.38999999999999996,0.42999999999999994
PL_PA,MSW,85.4,0,15.0,1.49,0.43
BC_PA,NGCT,18.6,0,26.3,0.59,0.98
BC_PA,NuC,2876.4,0,35.0,0.0,0.99
BC_PA,Oil,54.0,0,40.0,0.82,0.98
BC_PA,Coal,1662.0,0,23.57,1.01,0.95
BC_PA,Hydro,19.6,0,50.0,0.0,0.5
BC_PA,SolarPV,2.6,0,0.0,0.0,0.35
BC_PA,NGCC,1449.4,0,18.75,0.39999999999999997,0.9800000000000002
BC_PA,Bio,39.1,0,20.0,0.99,0.43
BC_PA,MSW,36.5,0,15.0,1.49,0.43
PN_PA,NGCT,277.8,0,26.300000000000004,0.59,0.9800000000000002
PN_PA,Oil,62.5,0,40.0,0.8200000000000001,0.9800000000000002
PN_PA,Coal,4723.6,0,23.569999999999997,1.01,0.9500000000000001
PN_PA,Hydro,90.60000000000002,0,50.0,0.0,0.5
PN_PA,WindOn,381.0,0,0.0,0.0,0.28
PN_PA,SolarPV,70.0,0,0.0,0.0,0.35
PN_PA,NGCC,3565.5,0,18.75,0.39999999999999997,0.9800000000000002
PN_PA,Landfill_NG,65.59999999999987,0,15.0,0.39000000000000035,0.42999999999999977
AP_PA,NGCT,1632.5,0,26.300000000000008,0.59,0.9800000000000003
AP_PA,Oil,17.2,0,40.0,0.8200000000000001,0.9800000000000002
AP_PA,Coal,1966.7,0,23.570000000000004,1.01,0.9499999999999998
AP_PA,Hydro,113.0,0,50.0,0.0,0.5
AP_PA,WindOn,578.0,0,0.0,0.0,0.2800000000000001
AP_PA,SolarPV,3.3,0,0.0,0.0,0.35
AP_PA,NGCC,1798.7,0,18.75,0.4,0.98
AP_PA,Landfill_NG,3.2,0,15.0,0.39,0.43
AP_PA,Bio,54.0,0,20.0,0.99,0.43
AE_PA,NGCT,13.6,0,26.3,0.59,0.98
AE_PA,Oil,48.0,0,40.0,0.82,0.98
AE_PA,MSW,24.1,0,15.0,1.49,0.43
AEP_PA,NGCT,215.5,0,26.3,0.59,0.9800000000000001
AEP_PA,NuC,2532.0,0,35.0,0.0,0.99
AEP_PA,Oil,64.0,0,40.0,0.82,0.98
AEP_PA,WindOn,24.0,0,0.0,0.0,0.28
AEP_PA,SolarPV,1.8,0,0.0,0.0,0.35
AEP_PA,NGCC,1203.9,0,18.75,0.4,0.9800000000000001
PE_PA,NGCT,219.49999999999994,0,26.300000000000008,0.59,0.9800000000000002
PE_PA,Oil,322.80000000000007,0,40.0,0.8200000000000002,0.9800000000000003
PE_PA,SolarPV,2.9,0,0.0,0.0,0.35
PE_PA,Bio,5.6,0,20.0,0.99,0.43
ATSI_PA,NGCT,782.0,0,26.3,0.59,0.98
ATSI_PA,Oil,79.60000000000001,0,40.0,0.82,0.98
ATSI_PA,NGCC,1519.3000000000002,0,18.75,0.39999999999999997,0.9800000000000003
ATSI_PA,MSW,90.0,0,15.0,1.49,0.43
AEP_TN,NGCT,63.0,0,26.3,0.59,0.9800000000000001
AEP_TN,Coal,131.3,0,23.569999999999997,1.01,0.9499999999999998
AEP_TN,Hydro,203.79999999999998,0,50.0,0.0,0.5
AEP_TN,NGCC,996.9000000000001,0,18.75,0.4,0.98
AEP_TN,Bio,50.0,0,20.0,0.99,0.43
AEP_VA,NGCT,614.5,0,26.300000000000008,0.59,0.9800000000000003
AEP_VA,Oil,3.6,0,40.0,0.82,0.98
AEP_VA,Coal,668.0,0,23.57,1.01,0.95
AEP_VA,Hydro,424.4999999999999,0,50.0,0.0,0.5
