Month,Day,Period,EKPC_KY,AP_MD,AP_PA,AP_VA,AP_WV,AEP_VA,AEP_WV,AEP_KY,AEP_TN,AEP_OH,AEP_IN,AEP_MI,DPL_MD,DPL_DE,DOM_NC,DOM_VA,DAY_OH,JC_NJ,RECO_NJ,BC_MD,ME_PA,PS_NJ,CE_IL,AE_NJ,OVEC_OH,PE_PA,PL_PA,DEOK_OH,DUQ_PA,PN_PA,PEP_MD,ATSI_PA,ATSI_OH
1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,9,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425,0.0043425
1,3,10,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075,0.02276075
1,3,11,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175,0.09133175
1,3,12,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825,0.02090825
1,3,13,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245,0.0570245
