Pmax (MW),Pmin (MW),Zone,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
4.4,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
4.8,0,CE_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.3,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3.4,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3.4,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
4.4,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
5.6,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
7,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
8.8,0,CE_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
2.4,0,AEP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.1,0,AEP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.4,0,AEP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
3.5,0,AEP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.8,0,AEP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.8,0,AEP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
0.3,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.5,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
2.5,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.5,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
3.8,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
3.5,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
0.3,0,AP_IL,SolarPV,0,0,1,0,0,0,0.35,1,0,0,1,1,0,0,0,
2.5,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
1.8,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
1.8,0,AP_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.5,0,AP_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
9.4,0,PS_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
6.3,0,PS_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
12.5,0,PS_IL,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
2.6,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.6,0,PS_IL,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
217.3,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
217.3,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
217.3,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
217.3,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
217.3,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
217.3,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
1.4,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
540,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
2,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
2,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
1.3,0,AEP_IN,Hydro,0,0,1,0,0,0,0.5,0.4,0.035,0,1,1,0,0,0,
531,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
531,0,AEP_IN,Coal,1,1,0,0,23.57,1.01,0.95,1,0.07,0.06,0.36,0.36,1,24,24,124
2.6,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.6,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.6,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
2.6,0,AEP_IN,Oil,1,1,0,0,40,0.82,0.98,1,0,0,1,1,1,1,1,87
112.5,0,AEP_IN,NGCT,1,0,0,0,33.65,0.59,0.98,1,0.068,0.016,1,1,1,1,1,119
50,0,AEP_IN,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.035,0.016,1,1,1,1,6,92
50,0,AEP_IN,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.035,0.016,1,1,1,1,6,92
61,0,AEP_IN,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.035,0.016,1,1,1,1,6,92
61,0,AEP_IN,NGCC,1,0,0,0,23.76,0.4,0.98,1,0.035,0.016,1,1,1,1,6,92
