Month,Day,Period,BGE,APS,PEPCO,DPL,DPL_MD,APS_MD
1,9,2,0.104774935,0,0.104774935,0,0,0
1,9,3,0.063721463,0,0.063721463,0,0,0
1,9,4,0.062528976,0,0.062528976,0,0,0
1,9,5,0.08390305,0,0.08390305,0,0,0
1,9,6,0.130280689,0,0.130280689,0,0,0
1,9,7,0.340289894,0,0.340289894,0,0,0
1,9,8,0.466929343,0,0.466929343,0,0,0
1,9,9,0.438151511,0,0.438151511,0,0,0
1,9,10,0.304029561,0,0.304029561,0,0,0
1,9,11,0.326286429,0,0.326286429,0,0,0
1,9,12,0.37268275,0,0.37268275,0,0,0
1,9,13,0.351663356,0,0.351663356,0,0,0
1,9,14,0.347051484,0,0.347051484,0,0,0
1,9,15,0.355913892,0,0.355913892,0,0,0
1,9,16,0.334028099,0,0.334028099,0,0,0
1,9,17,0.360377494,0,0.360377494,0,0,0
1,9,18,0.35357367,0,0.35357367,0,0,0
1,9,19,0.438003777,0,0.438003777,0,0,0
1,9,20,0.454799883,0,0.454799883,0,0,0
1,9,21,0.45908483,0,0.45908483,0,0,0
1,9,22,0.426812867,0,0.426812867,0,0,0
1,9,23,0.308190537,0,0.308190537,0,0,0
1,9,24,0.21327091,0,0.21327091,0,0,0
1,10,1,0.141608458,0,0.141608458,0,0,0
1,10,2,0.107228765,0,0.107228765,0,0,0
1,10,3,0.064992465,0,0.064992465,0,0,0
1,10,4,0.063917233,0,0.063917233,0,0,0
1,10,5,0.086093072,0,0.086093072,0,0,0
1,10,6,0.13360627,0,0.13360627,0,0,0
1,10,7,0.358636739,0,0.358636739,0,0,0
1,10,8,0.488739141,0,0.488739141,0,0,0
1,10,9,0.452007095,0,0.452007095,0,0,0
1,10,10,0.303733267,0,0.303733267,0,0,0
1,10,11,0.319113307,0,0.319113307,0,0,0
1,10,12,0.360286714,0,0.360286714,0,0,0
1,10,13,0.333965786,0,0.333965786,0,0,0
1,10,14,0.322580194,0,0.322580194,0,0,0
1,10,15,0.326698101,0,0.326698101,0,0,0
1,10,16,0.3027435,0,0.3027435,0,0,0
1,10,17,0.325429669,0,0.325429669,0,0,0
1,10,18,0.335100424,0,0.335100424,0,0,0
1,10,19,0.425791152,0,0.425791152,0,0,0
1,10,20,0.448752551,0,0.448752551,0,0,0
1,10,21,0.454860756,0,0.454860756,0,0,0
1,10,22,0.420947752,0,0.420947752,0,0,0
1,10,23,0.316756193,0,0.316756193,0,0,0
1,10,24,0.220108741,0,0.220108741,0,0,0
1,11,1,0.156710367,0,0.156710367,0,0,0
1,11,2,0.120930169,0,0.120930169,0,0,0
1,11,3,0.074362836,0,0.074362836,0,0,0
1,11,4,0.073962453,0,0.073962453,0,0,0
1,11,5,0.099769237,0,0.099769237,0,0,0
1,11,6,0.155439796,0,0.155439796,0,0,0
1,11,7,0.382307466,0,0.382307466,0,0,0
1,11,8,0.540670558,0,0.540670558,0,0,0
1,11,9,0.488568811,0,0.488568811,0,0,0
1,11,10,0.312697858,0,0.312697858,0,0,0
1,11,11,0.322329118,0,0.322329118,0,0,0
1,11,12,0.352694776,0,0.352694776,0,0,0
1,11,13,0.32038619,0,0.32038619,0,0,0
1,11,14,0.304126192,0,0.304126192,0,0,0
1,11,15,0.303875956,0,0.303875956,0,0,0
1,11,16,0.279702705,0,0.279702705,0,0,0
1,11,17,0.299140211,0,0.299140211,0,0,0
1,11,18,0.307375599,0,0.307375599,0,0,0
1,11,19,0.393490472,0,0.393490472,0,0,0
1,11,20,0.417691261,0,0.417691261,0,0,0
1,11,21,0.429064263,0,0.429064263,0,0,0
1,11,22,0.400366155,0,0.400366155,0,0,0
1,11,23,0.298706902,0,0.298706902,0,0,0
