Time Period,Month,Day,Hours,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,7,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,8,0.000298707,0.000298707,0.000298707,0.00112334,0.000298707,0.00112334
1,1,7,9,0.010033567,0.010033567,0.010033567,0.044928834,0.010033567,0.044928834
1,1,7,10,0.038898242,0.038898242,0.038898242,0.180939935,0.038898242,0.180939935
1,1,7,11,0.181661702,0.181661702,0.181661702,0.313376917,0.181661702,0.313376917
1,1,7,12,0.235676101,0.235676101,0.235676101,0.511695388,0.235676101,0.511695388
1,1,7,13,0.192902685,0.192902685,0.192902685,0.477946156,0.192902685,0.477946156
1,1,7,14,0.167801027,0.167801027,0.167801027,0.485858579,0.167801027,0.485858579
1,1,7,15,0.194020832,0.194020832,0.194020832,0.530686155,0.194020832,0.530686155
1,1,7,16,0.117635479,0.117635479,0.117635479,0.422462677,0.117635479,0.422462677
1,1,7,17,0.016308696,0.016308696,0.016308696,0.131704438,0.016308696,0.131704438
1,1,7,18,0.0,0.0,0.0,0.002479258,0.0,0.002479258
1,1,7,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,8,0.006268261,0.006268261,0.006268261,0.002042579,0.006268261,0.002042579
1,1,8,9,0.112255327,0.112255327,0.112255327,0.094993387,0.112255327,0.094993387
1,1,8,10,0.263994864,0.263994864,0.263994864,0.393681453,0.263994864,0.393681453
1,1,8,11,0.323807148,0.323807148,0.323807148,0.552243198,0.323807148,0.552243198
1,1,8,12,0.352135066,0.352135066,0.352135066,0.554412351,0.352135066,0.554412351
1,1,8,13,0.364224101,0.364224101,0.364224101,0.439762105,0.364224101,0.439762105
1,1,8,14,0.368496407,0.368496407,0.368496407,0.404804096,0.368496407,0.404804096
1,1,8,15,0.331634177,0.331634177,0.331634177,0.313668036,0.331634177,0.313668036
1,1,8,16,0.183487131,0.183487131,0.183487131,0.166768453,0.183487131,0.166768453
1,1,8,17,0.027284162,0.027284162,0.027284162,0.040509838,0.027284162,0.040509838
1,1,8,18,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,8,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,8,0.003074046,0.003074046,0.003074046,0.000425603,0.003074046,0.000425603
1,1,9,9,0.051506866,0.051506866,0.051506866,0.005471138,0.051506866,0.005471138
1,1,9,10,0.140513432,0.140513432,0.140513432,0.026313041,0.140513432,0.026313041
1,1,9,11,0.115552544,0.115552544,0.115552544,0.051232193,0.115552544,0.051232193
1,1,9,12,0.11599431,0.11599431,0.11599431,0.122499383,0.11599431,0.122499383
1,1,9,13,0.135245437,0.135245437,0.135245437,0.225955788,0.135245437,0.225955788
1,1,9,14,0.160222348,0.160222348,0.160222348,0.240495915,0.160222348,0.240495915
1,1,9,15,0.098501088,0.098501088,0.098501088,0.164056616,0.098501088,0.164056616
1,1,9,16,0.048501488,0.048501488,0.048501488,0.118887293,0.048501488,0.118887293
1,1,9,17,0.005702893,0.005702893,0.005702893,0.079247647,0.005702893,0.079247647
1,1,9,18,0.0,0.0,0.0,0.007135579,0.0,0.007135579
1,1,9,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,9,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,10,6,0.0,0.0,0.0,0.0,0.0,0.0
