Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,6,11,0.380290327,0.380290327,0.380290327,0.395867061,0.380290327,0.395867061
1,6,12,0.277862972,0.277862972,0.277862972,0.41134234,0.277862972,0.41134234
1,6,13,0.17021074,0.17021074,0.17021074,0.410788536,0.17021074,0.410788536
1,6,14,0.079769426,0.079769426,0.079769426,0.396463861,0.079769426,0.396463861
1,6,15,0.047187219,0.047187219,0.047187219,0.44511202,0.047187219,0.44511202
1,6,16,0.036837335,0.036837335,0.036837335,0.510828518,0.036837335,0.510828518
1,6,17,0.008594258,0.008594258,0.008594258,0.589184515,0.008594258,0.589184515
1,6,18,0.006544628,0.006544628,0.006544628,0.620848245,0.006544628,0.620848245
1,6,19,0.004368063,0.004368063,0.004368063,0.639444721,0.004368063,0.639444721
1,6,20,0.003272314,0.003272314,0.003272314,0.645449839,0.003272314,0.645449839
1,6,21,0.003629786,0.003629786,0.003629786,0.668604022,0.003629786,0.668604022
1,6,22,0.017479721,0.017479721,0.017479721,0.653988174,0.017479721,0.653988174
1,6,23,0.046510543,0.046510543,0.046510543,0.619841206,0.046510543,0.619841206
1,6,24,0.080591705,0.080591705,0.080591705,0.625918842,0.080591705,0.625918842
1,7,1,0.170045538,0.170045538,0.170045538,0.630188928,0.170045538,0.630188928
1,7,2,0.241624845,0.241624845,0.241624845,0.57901527,0.241624845,0.57901527
1,7,3,0.29426001,0.29426001,0.29426001,0.545191324,0.29426001,0.545191324
1,7,4,0.416073914,0.416073914,0.416073914,0.552973858,0.416073914,0.552973858
1,7,5,0.505453079,0.505453079,0.505453079,0.518441273,0.505453079,0.518441273
1,7,6,0.523016801,0.523016801,0.523016801,0.416439151,0.523016801,0.416439151
1,7,7,0.55823478,0.55823478,0.55823478,0.360694679,0.55823478,0.360694679
1,7,8,0.64085838,0.64085838,0.64085838,0.278036993,0.64085838,0.278036993
1,7,9,0.624639611,0.624639611,0.624639611,0.229878572,0.624639611,0.229878572
1,7,10,0.644994041,0.644994041,0.644994041,0.180662154,0.644994041,0.180662154
1,7,11,0.708135892,0.708135892,0.708135892,0.172412788,0.708135892,0.172412788
1,7,12,0.781627626,0.781627626,0.781627626,0.199527754,0.781627626,0.199527754
1,7,13,0.775510471,0.775510471,0.775510471,0.216659301,0.775510471,0.216659301
1,7,14,0.792188446,0.792188446,0.792188446,0.20973338,0.792188446,0.20973338
1,7,15,0.804588893,0.804588893,0.804588893,0.177192579,0.804588893,0.177192579
1,7,16,0.831569152,0.831569152,0.831569152,0.154525686,0.831569152,0.154525686
1,7,17,0.873430694,0.873430694,0.873430694,0.131179308,0.873430694,0.131179308
1,7,18,0.823628237,0.823628237,0.823628237,0.112139519,0.823628237,0.112139519
1,7,19,0.843443191,0.843443191,0.843443191,0.101600826,0.843443191,0.101600826
1,7,20,0.85961996,0.85961996,0.85961996,0.139145341,0.85961996,0.139145341
1,7,21,0.890308406,0.890308406,0.890308406,0.210801422,0.890308406,0.210801422
1,7,22,0.914493291,0.914493291,0.914493291,0.251338758,0.914493291,0.251338758
1,7,23,0.901568303,0.901568303,0.901568303,0.290305206,0.901568303,0.290305206
1,7,24,0.755663782,0.755663782,0.755663782,0.342176111,0.755663782,0.342176111
1,8,1,0.710474859,0.710474859,0.710474859,0.34854296,0.710474859,0.34854296
1,8,2,0.66125481,0.66125481,0.66125481,0.47013598,0.66125481,0.47013598
1,8,3,0.634093482,0.634093482,0.634093482,0.543329508,0.634093482,0.543329508
1,8,4,0.528524481,0.528524481,0.528524481,0.582064071,0.528524481,0.582064071
1,8,5,0.380790601,0.380790601,0.380790601,0.60592138,0.380790601,0.60592138
1,8,6,0.352886329,0.352886329,0.352886329,0.621017657,0.352886329,0.621017657
1,8,7,0.339440533,0.339440533,0.339440533,0.651348509,0.339440533,0.651348509
1,8,8,0.284967608,0.284967608,0.284967608,0.674056928,0.284967608,0.674056928
1,8,9,0.213732706,0.213732706,0.213732706,0.704520688,0.213732706,0.704520688
1,8,10,0.117810779,0.117810779,0.117810779,0.704145238,0.117810779,0.704145238
1,8,11,0.067319512,0.067319512,0.067319512,0.731053308,0.067319512,0.731053308
1,8,12,0.075115758,0.075115758,0.075115758,0.746317527,0.075115758,0.746317527
1,8,13,0.175727754,0.175727754,0.175727754,0.707574389,0.175727754,0.707574389
1,8,14,0.209242374,0.209242374,0.209242374,0.663726233,0.209242374,0.663726233
1,8,15,0.267233084,0.267233084,0.267233084,0.608159626,0.267233084,0.608159626
1,8,16,0.322616022,0.322616022,0.322616022,0.558092106,0.322616022,0.558092106
1,8,17,0.405007219,0.405007219,0.405007219,0.539154479,0.405007219,0.539154479
1,8,18,0.676710102,0.676710102,0.676710102,0.573659747,0.676710102,0.573659747
1,8,19,0.782006565,0.782006565,0.782006565,0.601424799,0.782006565,0.601424799
1,8,20,0.869267033,0.869267033,0.869267033,0.594249355,0.869267033,0.594249355
1,8,21,0.838302317,0.838302317,0.838302317,0.626533649,0.838302317,0.626533649
1,8,22,0.793225395,0.793225395,0.793225395,0.650570905,0.793225395,0.650570905
1,8,23,0.739346078,0.739346078,0.739346078,0.663935824,0.739346078,0.663935824
1,8,24,0.716630282,0.716630282,0.716630282,0.640384632,0.716630282,0.640384632
1,9,1,0.675567685,0.675567685,0.675567685,0.634209735,0.675567685,0.634209735
1,9,2,0.722095961,0.722095961,0.722095961,0.62145068,0.722095961,0.62145068
1,9,3,0.759439171,0.759439171,0.759439171,0.573536149,0.759439171,0.573536149
1,9,4,0.740552896,0.740552896,0.740552896,0.622069285,0.740552896,0.622069285
1,9,5,0.666394752,0.666394752,0.666394752,0.659640381,0.666394752,0.659640381
