transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
relation/6277789-220-132,virtual_way/131290697:0-220,relation/6277789-132,220,132,984,'LINESTRING (10.26410235 45.57920396, 10.26386812 45.57937007)'
relation/6277789-380-132,relation/6277789-380,relation/6277789-132,380,132,5095,'LINESTRING (10.26418948 45.57942986, 10.26386812 45.57937007)'
relation/6277789-380-220,relation/6277789-380,virtual_way/131290697:0-220,380,220,5095,'LINESTRING (10.26418948 45.57942986, 10.26410235 45.57920396)'
relation/7107330-220-132,relation/7107330-220,virtual_way/996227052:0-132,220,132,984,'LINESTRING (16.27603916 60.53319107, 16.27561921 60.53301791)'
relation/7123679-220-132,relation/7123679-220,relation/7123679-132,220,132,984,'LINESTRING (16.71034403 60.94233368, 16.70991636 60.9421618)'
relation/7313829-400-220,relation/7313829-400,relation/7313829-220,400,220,10725,'LINESTRING (16.99035258 60.60423703, 16.98992794 60.604066)'
relation/7578992-380-220,relation/7578992-380,relation/7578992-220,380,220,2458,'LINESTRING (5.47196518 50.54040709, 5.47168476 50.54020502)'
relation/7650368-400-132,relation/7650368-400,relation/7650368-132,400,132,8938,'LINESTRING (-0.49986894 51.93313187, -0.50013029 51.93291611)'
relation/7805329-300-132,relation/7805329-300,virtual_way/638373397:0-132,300,132,2011,'LINESTRING (6.33124235 60.1323191, 6.33088296 60.13211862)'
relation/7839089-420-132,relation/7839089-420,relation/7839089-132,420,132,3754,'LINESTRING (7.11098617 62.85923324, 7.11059015 62.85903435)'
relation/7839720-300-132,relation/7839720-300,relation/7839720-132,300,132,2011,'LINESTRING (8.52315165 62.66367559, 8.52278689 62.66383764)'
relation/7839720-420-132,relation/7839720-420,relation/7839720-132,420,132,1877,'LINESTRING (8.52327124 62.66390299, 8.52278689 62.66383764)'
relation/7839720-420-300,relation/7839720-420,relation/7839720-300,420,300,2011,'LINESTRING (8.52327124 62.66390299, 8.52315165 62.66367559)'
relation/7842598-150-132,relation/7842598-150,relation/7842598-132,150,132,336,'LINESTRING (12.40847806 41.96647982, 12.40821562 41.96629436)'
relation/7851611-300-132,relation/7851611-300,relation/7851611-132,300,132,2011,'LINESTRING (9.07010428 60.60618368, 9.06972357 60.60599024)'
relation/7854485-420-300,relation/7854485-420,relation/7854485-300,420,300,3754,'LINESTRING (8.96206273 60.2670031, 8.96168649 60.26680941)'
relation/7871517-300-132,relation/7871517-300,relation/7871517-132,300,132,5028,'LINESTRING (9.84789821 59.71784421, 9.84752301 59.71765294)'
relation/7872518-400-132,relation/7872518-400,relation/7872518-132,400,132,3575,'LINESTRING (0.57589231 51.86608611, 0.57562627 51.8658727)'
relation/7879831-275-132,relation/7879831-275,relation/7879831-132,275,132,922,'LINESTRING (-3.95850201 51.68569825, -3.95881411 51.68582842)'
relation/7879831-400-132,relation/7879831-400,relation/7879831-132,400,132,7150,'LINESTRING (-3.95847537 51.68593055, -3.95881411 51.68582842)'
relation/7879831-400-275,relation/7879831-400,relation/7879831-275,400,275,7150,'LINESTRING (-3.95847537 51.68593055, -3.95850201 51.68569825)'
relation/7879878-420-132,relation/7879878-420,relation/7879878-132,420,132,3754,'LINESTRING (8.67856738 59.88418324, 8.67819698 59.88398884)'
relation/7880111-275-132,relation/7880111-275,relation/7880111-132,275,132,2766,'LINESTRING (-0.48376443 51.35055739, -0.48406348 51.35069691)'
relation/7880111-400-132,relation/7880111-400,relation/7880111-132,400,132,1788,'LINESTRING (-0.48372017 51.35078893, -0.48406348 51.35069691)'
relation/7880111-400-275,relation/7880111-400,relation/7880111-275,400,275,2766,'LINESTRING (-0.48372017 51.35078893, -0.48376443 51.35055739)'
relation/7881280-400-132,relation/7881280-400,relation/7881280-132,400,132,8938,'LINESTRING (-0.75579496 53.59819363, -0.75606427 53.59797723)'
relation/7886014-400-132,relation/7886014-400,relation/7886014-132,400,132,5363,'LINESTRING (-2.51246475 52.63218165, -2.51272005 52.6319616)'
relation/7894974-400-275,relation/7894974-400,relation/7894974-275,400,275,5363,'LINESTRING (-4.07977204 55.75191482, -4.07979737 55.75168255)'
relation/7894975-275-132,relation/7894975-275,relation/7894975-132,275,132,1844,'LINESTRING (-2.75709363 53.7446991, -2.75741778 53.74483226)'
relation/7894975-400-132,relation/7894975-400,relation/7894975-132,400,132,5363,'LINESTRING (-2.75706071 53.74493115, -2.75741778 53.74483226)'
relation/7894975-400-275,relation/7894975-400,relation/7894975-275,400,275,5363,'LINESTRING (-2.75706071 53.74493115, -2.75709363 53.7446991)'
relation/7901274-150-132,relation/7901274-150,relation/7901274-132,150,132,336,'LINESTRING (12.3883101 41.88035728, 12.3880481 41.88017175)'
relation/7910051-220-150,virtual_way/80517638:1-220,relation/7910051-150,220,150,984,'LINESTRING (12.54425937 41.96414106, 12.54399653 41.96395596)'
relation/7928148-420-132,relation/7928148-420,relation/7928148-132,420,132,5631,'LINESTRING (7.89985899 58.25982347, 7.89943588 58.25975639)'
relation/8087295-275-132,relation/8087295-275,relation/8087295-132,275,132,3687,'LINESTRING (-3.75335861 58.57587739, -3.75364325 58.57565414)'
relation/8206955-300-132,relation/8206955-300,relation/8206955-132,300,132,1006,'LINESTRING (10.57733935 60.28881915, 10.57695362 60.28862979)'
relation/8211981-300-132,relation/8211981-300,relation/8211981-132,300,132,1006,'LINESTRING (11.12215951 61.8130988, 11.12175193 61.81291079)'
relation/8269874-150-132,relation/8269874-150,relation/8269874-132,150,132,295,'LINESTRING (30.03394394 69.72301844, 30.03325198 69.72289111)'
relation/8473044-220-132,relation/8473044-220,relation/8473044-132,220,132,590,'LINESTRING (13.78252049 66.05088953, 13.78254815 66.05108092)'
relation/8473044-300-132,relation/8473044-300,relation/8473044-132,300,132,1006,'LINESTRING (13.78298429 66.05087911, 13.78254815 66.05108092)'
relation/8473044-300-220,relation/8473044-300,relation/8473044-220,300,220,1006,'LINESTRING (13.78298429 66.05087911, 13.78252049 66.05088953)'
relation/8473044-420-132,relation/8473044-420,relation/8473044-132,420,132,3754,'LINESTRING (13.78301196 66.0510705, 13.78254815 66.05108092)'
relation/8473044-420-220,relation/8473044-420,relation/8473044-220,420,220,3754,'LINESTRING (13.78301196 66.0510705, 13.78252049 66.05088953)'
relation/8473044-420-300,relation/8473044-420,relation/8473044-300,420,300,3754,'LINESTRING (13.78301196 66.0510705, 13.78298429 66.05087911)'
relation/8476872-300-132,relation/8476872-300,relation/8476872-132,300,132,2011,'LINESTRING (13.29085386 65.85209588, 13.29036954 65.8519135)'
relation/8482013-300-132,relation/8482013-300,relation/8482013-132,300,132,1006,'LINESTRING (12.79250175 65.20480162, 12.79203246 65.20461789)'
relation/8488332-300-132,relation/8488332-300,relation/8488332-132,300,132,2011,'LINESTRING (12.8370233 64.70403825, 12.8366578 64.70421066)'
relation/8488332-420-132,relation/8488332-420,relation/8488332-132,420,132,3754,'LINESTRING (12.83718633 64.7042621, 12.8366578 64.70421066)'
relation/8488332-420-300,relation/8488332-420,relation/8488332-300,420,300,3754,'LINESTRING (12.83718633 64.7042621, 12.8370233 64.70403825)'
relation/8520950-300-132,relation/8520950-300,relation/8520950-132,300,132,2011,'LINESTRING (10.44023039 63.39204367, 10.4398054 63.39185358)'
relation/8834935-300-132,relation/8834935-300,relation/8834935-132,300,132,2011,'LINESTRING (5.45712986 60.3947188, 5.45677295 60.3945161)'
relation/8836351-300-132,relation/8836351-300,relation/8836351-132,300,132,3017,'LINESTRING (5.34227381 60.28737254, 5.34191871 60.28716957)'
relation/8837899-300-132,relation/8837899-300,relation/8837899-132,300,132,2011,'LINESTRING (5.13270447 60.36580246, 5.13234983 60.36559896)'
relation/8860331-420-300,relation/8860331-420,relation/8860331-300,420,300,5028,'LINESTRING (6.41064014 59.6690976, 6.41028506 59.66889738)'
relation/8886202-300-132,relation/8886202-300,relation/8886202-132,300,132,3017,'LINESTRING (6.66436469 59.06034446, 6.66402977 59.06050175)'
relation/8886202-420-132,relation/8886202-420,relation/8886202-132,420,132,9385,'LINESTRING (6.66446008 59.06057274, 6.66402977 59.06050175)'
relation/8886202-420-300,relation/8886202-420,relation/8886202-300,420,300,9385,'LINESTRING (6.66446008 59.06057274, 6.66436469 59.06034446)'
relation/8894066-420-300,relation/8894066-420,relation/8894066-300,420,300,5631,'LINESTRING (6.84839074 58.27635466, 6.84804677 58.27615569)'
relation/9032385-300-132,relation/9032385-300,virtual_way/647107187:0-132,300,132,2011,'LINESTRING (10.66812794 59.93513618, 10.66774575 59.9349471)'
relation/9310861-220-150,relation/9310861-220,relation/9310861-150,220,150,984,'LINESTRING (8.57171965 47.41237194, 8.57144407 47.41217736)'
relation/9409219-400-132,relation/9409219-400,virtual_way/449377606:1-132,400,132,3575,'LINESTRING (-1.32859267 50.82168517, -1.32884451 50.82146768)'
relation/9552168-300-132,relation/9552168-300,relation/9552168-132,300,132,1006,'LINESTRING (8.9240774 60.25878014, 8.92370147 60.25858635)'
relation/9572254-400-132,relation/9572254-400,relation/9572254-132,400,132,5363,'LINESTRING (-4.89944894 50.3951782, -4.89968234 50.39495344)'
relation/9598269-275-132,relation/9598269-275,relation/9598269-132,275,132,1844,'LINESTRING (-2.04376112 53.49198333, -2.04408093 53.49211844)'
relation/9598269-400-132,relation/9598269-400,relation/9598269-132,400,132,3575,'LINESTRING (-2.04372435 53.49221523, -2.04408093 53.49211844)'
relation/9598269-400-275,relation/9598269-400,relation/9598269-275,400,275,3575,'LINESTRING (-2.04372435 53.49221523, -2.04376112 53.49198333)'
virtual_relation/10670456:0-380-150,virtual_relation/10670456:0-380,virtual_way/23141420:1-150,380,150,3397,'LINESTRING (5.54191352 50.92311655, 5.54163058 50.92291465)'
virtual_relation/18799873:a:0-380-220,virtual_way/1365778109:1-380,virtual_relation/18799873:a:0-220,380,220,1699,'LINESTRING (8.49124908 49.24522113, 8.49096373 49.24502648)'
