From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
Amprion,Amprion,B123,B627,8.200779,1698.103,0.0
TenneT,TenneT,B422,B445,3.822211,3396.205,0.0
TransnetBW,TransnetBW,B133,B504,15.637396,1698.103,0.0
TransnetBW,TransnetBW,B653,B87,4.433748,3396.205,0.0
Amprion,Amprion,B389,B359,8.930614,3396.205,0.0
Amprion,Amprion,B19,B95,9.241625,1698.103,0.0
TransnetBW,TransnetBW,B463,B736,6.823384,5094.308,0.0
TenneT,50Hertz,B655,B611,8.238934,3396.205,0.0
TenneT,TenneT,B650,B116,1.73599,491.556,0.0
TenneT,TenneT,B234,B198,6.569678,1698.103,0.0
Amprion,Amprion,B164,B347,1.084724,983.112,0.0
TransnetBW,TransnetBW,B510,B206,4.458779,491.556,0.0
TransnetBW,TransnetBW,B633,B221,3.395747,1698.103,0.0
Amprion,Amprion,B564,B67,1.78516,983.112,0.0
Amprion,Amprion,B348,B207,0.556752,983.112,0.0
TransnetBW,TransnetBW,B120,B37,11.10535,491.556,0.0
TransnetBW,TransnetBW,B616,B210,0.328968,1698.103,0.0
Amprion,Amprion,B425,B191,1.335615,491.556,0.0
Amprion,Amprion,B426,B129,1.087859,1698.103,0.0
Amprion,Amprion,B137,B468,1.549262,491.556,0.0
Amprion,Amprion,B92,B263,1.789314,983.112,0.0
Amprion,Amprion,B97,B265,1.250871,3396.205,0.0
Amprion,Amprion,B632,B183,0.41372,3396.205,0.0
Amprion,Amprion,B81,B63,0.250487,3396.205,0.0
Amprion,Amprion,B102,B383,2.946886,983.112,0.0
Amprion,Amprion,B103,B121,4.061101,491.556,0.0
50Hertz,50Hertz,B748,B530,20.434709,491.556,0.0
50Hertz,50Hertz,B749,B531,16.714905,1698.103,0.0
Amprion,Amprion,B694,B237,1.549518,491.556,0.0
Amprion,Amprion,B695,B238,2.940337,1698.103,0.0
TenneT,TenneT,B126,B172,28.156717,173.162,0.0
TransnetBW,TransnetBW,B517,B170,0.221636,3396.205,0.0
Amprion,Amprion,B556,B218,1.322981,983.112,0.0
TransnetBW,TransnetBW,B510,B789,1.047513,491.556,0.0
TransnetBW,TransnetBW,B511,B221,0.85621,1698.103,0.0
Amprion,Amprion,B434,B425,3.742173,491.556,0.0
Amprion,Amprion,B435,B426,3.059421,1698.103,0.0
TenneT,TenneT,B786,B131,8.122256,3396.205,0.0
TransnetBW,TransnetBW,B89,B37,6.331141,491.556,0.0
TransnetBW,TransnetBW,B331,B322,4.560016,1698.103,0.0
50Hertz,50Hertz,B531,B161,1.170699,1698.103,0.0
TransnetBW,TransnetBW,B221,B132,1.549566,3396.205,0.0
50Hertz,50Hertz,B748,B432,5.790519,983.112,0.0
TenneT,TenneT,B272,B177,4.505284,983.112,0.0
TransnetBW,TransnetBW,B587,B503,33.874549,491.556,0.0
TransnetBW,TransnetBW,B588,B504,27.687371,1698.103,0.0
Amprion,Amprion,B212,B776,0.488078,491.556,0.0
TenneT,TenneT,B299,B70,0.439039,3396.205,0.0
Amprion,Amprion,B136,B424,0.907365,3396.205,0.0
Amprion,Amprion,B471,B139,0.600384,3396.205,0.0
Amprion,Amprion,B152,B687,1.037199,3396.205,0.0
TenneT,TenneT,B525,B719,1.126981,3396.205,0.0
TransnetBW,TransnetBW,B115,B511,1.284036,3396.205,0.0
Amprion,Amprion,B443,B788,3.52459,1698.103,0.0
Amprion,Amprion,B494,B424,2.712347,3396.205,0.0
Amprion,Amprion,B493,B59,0.436856,983.112,0.0
Amprion,Amprion,B493,B188,0.570397,983.112,0.0
Amprion,Amprion,B649,B776,8.38856,491.556,0.0
Amprion,Amprion,B147,B301,1.237617,983.112,0.0
Amprion,Amprion,B148,B302,1.014021,3396.205,0.0
Amprion,Amprion,B281,B557,2.524366,3396.205,0.0
Amprion,Amprion,B429,B150,0.769035,983.112,0.0
Amprion,Amprion,B320,B433,0.428618,3396.205,0.0
TenneT,TenneT,B525,B279,7.199805,3396.205,0.0
Amprion,Amprion,B342,B124,3.492723,983.112,0.0
Amprion,Amprion,B218,B156,4.303924,491.556,0.0
Amprion,Amprion,B433,B157,3.522272,1698.103,0.0
Amprion,Amprion,B237,B701,2.041852,491.556,0.0
TransnetBW,TransnetBW,B618,B517,0.927773,3396.205,0.0
TransnetBW,TransnetBW,B517,B519,1.585346,3396.205,0.0
Amprion,Amprion,B725,B274,10.307808,3396.205,0.0
TransnetBW,TransnetBW,B162,B736,1.099283,1698.103,0.0
Amprion,Amprion,B490,B276,1.340114,983.112,0.0
Amprion,Amprion,B163,B423,1.651692,983.112,0.0
Amprion,Amprion,B164,B163,1.141794,983.112,0.0
TransnetBW,TransnetBW,B682,B722,22.056239,491.556,0.0
TransnetBW,TransnetBW,B699,B723,11.599444,1698.103,0.0
TransnetBW,TransnetBW,B160,B21,4.28894,983.112,0.0
TenneT,TenneT,B521,B563,0.373985,983.112,0.0
TransnetBW,TransnetBW,B441,B167,1.163908,3396.205,0.0
TenneT,TenneT,B134,B116,5.767539,983.112,0.0
Amprion,Amprion,B490,B542,2.995772,983.112,0.0
Amprion,Amprion,B491,B60,2.450434,3396.205,0.0
TransnetBW,TransnetBW,B702,B220,2.045734,3396.205,0.0
Amprion,Amprion,B429,B218,0.253828,1966.224,0.0
Amprion,Amprion,B86,B337,1.745108,983.112,0.0
Amprion,Amprion,B3,B2,0.598528,3396.205,0.0
Amprion,Amprion,B281,B596,1.81856,3396.205,0.0
Amprion,Amprion,B548,B239,2.458104,983.112,0.0
TenneT,TenneT,B313,B696,4.332991,983.112,0.0
TransnetBW,TransnetBW,B381,B595,3.028271,983.112,0.0
TransnetBW,TransnetBW,B169,B170,0.72092,3396.205,0.0
TenneT,TenneT,B646,B534,3.458264,3396.205,0.0
TenneT,TenneT,B273,B452,1.708864,3396.205,0.0
TenneT,TenneT,B173,B765,1.992038,983.112,0.0
Amprion,Amprion,B301,B694,1.245669,983.112,0.0
Amprion,Amprion,B14,B565,0.549537,1698.103,0.0
TransnetBW,TransnetBW,B718,B680,2.882655,3396.205,0.0
TenneT,TenneT,B703,B570,2.727983,983.112,0.0
TenneT,50Hertz,B13,B530,31.408769,491.556,0.0
TenneT,50Hertz,B522,B161,24.548817,1698.103,0.0
TenneT,TenneT,B316,B314,7.017718,3396.205,0.0
TransnetBW,TransnetBW,B133,B168,1.46329,3396.205,0.0
Amprion,Amprion,B594,B235,0.438545,983.112,0.0
50Hertz,50Hertz,B756,B16,6.259614,3396.205,0.0
Amprion,Amprion,B433,B152,1.578865,3396.205,0.0
Amprion,Amprion,B356,B357,1.245856,983.112,0.0
Amprion,Amprion,B153,B358,1.31951,3396.205,0.0
TransnetBW,TransnetBW,B634,B171,22.83389,491.556,0.0
TransnetBW,TransnetBW,B582,B635,18.656074,1698.103,0.0
Amprion,Amprion,B560,B356,1.828294,983.112,0.0
TenneT,TenneT,B714,B416,2.462098,3396.205,0.0
50Hertz,50Hertz,B23,B390,8.611854,983.112,0.0
TenneT,TenneT,B505,B422,2.071293,3396.205,0.0
TenneT,TenneT,B505,B223,1.507414,3396.205,0.0
TenneT,TenneT,B223,B189,0.660199,6792.41,0.0
Amprion,Amprion,B190,B309,0.379007,1698.103,0.0
Amprion,Amprion,B442,B137,2.767743,491.556,0.0
Amprion,Amprion,B112,B384,2.306275,3396.205,0.0
Amprion,Amprion,B112,B384,2.306758,3396.205,0.0
TenneT,TenneT,B543,B421,0.431651,983.112,0.0
Amprion,Amprion,B68,B424,1.725611,1698.103,0.0
Amprion,Amprion,B424,B351,2.079282,3396.205,0.0
Amprion,Amprion,B627,B401,2.580247,1698.103,0.0
Amprion,Amprion,B626,B96,1.250708,983.112,0.0
Amprion,Amprion,B627,B199,1.024925,3396.205,0.0
TenneT,TenneT,B198,B416,3.068095,1698.103,0.0
Amprion,Amprion,B348,B542,3.434898,491.556,0.0
TenneT,Amprion,B608,B619,3.147351,983.112,0.0
Amprion,Amprion,B245,B713,2.247348,3396.205,0.0
Amprion,Amprion,B231,B163,6.287893,983.112,0.0
TransnetBW,TransnetBW,B385,B105,2.071917,983.112,0.0
TransnetBW,TransnetBW,B200,B689,1.744721,3396.205,0.0
Amprion,Amprion,B176,B564,8.355471,491.556,0.0
TransnetBW,TransnetBW,B595,B202,2.980543,983.112,0.0
50Hertz,50Hertz,B317,B432,1.361775,983.112,0.0
Amprion,Amprion,B81,B494,1.094479,1698.103,0.0
Amprion,Amprion,B194,B60,1.905012,1698.103,0.0
Amprion,Amprion,B625,B339,2.462173,3396.205,0.0
Amprion,Amprion,B122,B427,8.698144,491.556,0.0
Amprion,Amprion,B643,B428,5.424152,1698.103,0.0
Amprion,Amprion,B644,B215,3.336052,3396.205,0.0
Amprion,Amprion,B146,B777,1.60092,3396.205,0.0
Amprion,Amprion,B135,B777,0.986643,3396.205,0.0
Amprion,Amprion,B213,B212,2.70833,983.112,0.0
TenneT,TenneT,B40,B719,2.771174,3396.205,0.0
Amprion,Amprion,B215,B362,0.283268,3396.205,0.0
Amprion,Amprion,B151,B218,0.537455,983.112,0.0
Amprion,Amprion,B148,B343,0.730544,1698.103,0.0
50Hertz,50Hertz,B628,B288,13.44649,983.112,0.0
TransnetBW,TransnetBW,B210,B647,4.448333,3396.205,0.0
50Hertz,TenneT,B611,B422,8.460513,3396.205,0.0
Amprion,Amprion,B149,B244,0.36203,3396.205,0.0
TenneT,TenneT,B726,B224,1.450837,983.112,0.0
TenneT,TenneT,B182,B294,1.298523,3396.205,0.0
Amprion,Amprion,B472,B349,0.910972,983.112,0.0
Amprion,Amprion,B384,B358,6.343581,3396.205,0.0
TenneT,TenneT,B688,B224,1.856652,983.112,0.0
TransnetBW,TransnetBW,B665,B132,1.106422,1698.103,0.0
TransnetBW,TransnetBW,B576,B707,12.34118,1698.103,0.0
50Hertz,50Hertz,B186,B165,3.328106,983.112,0.0
TransnetBW,TransnetBW,B717,B225,0.944099,983.112,0.0
TransnetBW,TransnetBW,B621,B581,3.264568,3396.205,0.0
TransnetBW,TransnetBW,B106,B631,2.597008,983.112,0.0
TransnetBW,Amprion,B370,B412,7.112593,3396.205,0.0
TransnetBW,TransnetBW,B369,B307,2.866932,491.556,0.0
TenneT,TenneT,B226,B774,4.564343,3396.205,0.0
TenneT,TenneT,B779,B716,3.062753,3396.205,0.0
TenneT,TenneT,B227,B780,0.267134,3396.205,0.0
TransnetBW,TransnetBW,B683,B699,6.513684,1698.103,0.0
Amprion,Amprion,B493,B145,1.661722,983.112,0.0
Amprion,TenneT,B78,B691,14.939834,491.556,0.0
TenneT,Amprion,B692,B775,5.633597,3396.205,0.0
Amprion,Amprion,B556,B78,18.125022,491.556,0.0
Amprion,Amprion,B258,B124,2.143252,983.112,0.0
Amprion,Amprion,B252,B125,1.749241,3396.205,0.0
Amprion,Amprion,B470,B156,2.002371,983.112,0.0
Amprion,Amprion,B471,B157,1.635109,3396.205,0.0
Amprion,Amprion,B301,B231,0.631829,983.112,0.0
Amprion,Amprion,B345,B136,1.303408,3396.205,0.0
Amprion,Amprion,B235,B427,1.001847,983.112,0.0
Amprion,Amprion,B687,B302,3.512066,1698.103,0.0
Amprion,Amprion,B687,B518,1.289146,3396.205,0.0
TenneT,TenneT,B692,B234,0.952908,3396.205,0.0
TenneT,TenneT,B416,B234,9.646691,1698.103,0.0
Amprion,Amprion,B548,B236,1.111754,983.112,0.0
Amprion,Amprion,B701,B147,0.671101,983.112,0.0
Amprion,Amprion,B238,B148,0.545488,3396.205,0.0
Amprion,Amprion,B247,B746,0.440271,983.112,0.0
Amprion,Amprion,B502,B301,4.311208,491.556,0.0
Amprion,Amprion,B150,B117,0.901655,983.112,0.0
Amprion,Amprion,B150,B429,1.444044,491.556,0.0
TenneT,TenneT,B778,B119,10.306989,1698.103,0.0
Amprion,Amprion,B501,B149,1.669469,1698.103,0.0
Amprion,Amprion,B244,B500,0.628617,3396.205,0.0
Amprion,Amprion,B298,B644,0.592656,3396.205,0.0
Amprion,Amprion,B338,B339,3.605693,3396.205,0.0
Amprion,Amprion,B166,B222,10.377156,491.556,0.0
TenneT,TenneT,B603,B119,1.54321,3396.205,0.0
50Hertz,50Hertz,B165,B530,3.763781,983.112,0.0
TransnetBW,TransnetBW,B211,B210,2.38715,3396.205,0.0
Amprion,Amprion,B121,B740,1.658114,983.112,0.0
Amprion,TenneT,B176,B691,10.441359,491.556,0.0
Amprion,TenneT,B713,B692,2.310182,3396.205,0.0
TenneT,TenneT,B116,B313,3.913674,983.112,0.0
Amprion,Amprion,B145,B350,0.570889,1966.224,0.0
Amprion,Amprion,B248,B142,1.705636,3396.205,0.0
Amprion,Amprion,B442,B266,1.441811,491.556,0.0
Amprion,TransnetBW,B113,B440,8.231935,491.556,0.0
Amprion,Amprion,B725,B255,2.528987,3396.205,0.0
Amprion,Amprion,B253,B129,2.503342,3396.205,0.0
Amprion,Amprion,B496,B117,0.852626,983.112,0.0
Amprion,Amprion,B184,B240,0.930123,983.112,0.0
TenneT,TenneT,B710,B499,5.755778,1698.103,0.0
TenneT,TenneT,B498,B553,33.913471,491.556,0.0
TenneT,TenneT,B554,B710,21.974565,1698.103,0.0
Amprion,Amprion,B542,B493,1.628559,983.112,0.0
Amprion,Amprion,B60,B494,1.31978,3396.205,0.0
Amprion,Amprion,B205,B100,2.233337,3396.205,0.0
Amprion,Amprion,B205,B512,5.358656,3396.205,0.0
Amprion,Amprion,B230,B791,2.48521,3396.205,0.0
Amprion,Amprion,B253,B528,1.318752,3396.205,0.0
Amprion,Amprion,B128,B423,0.653269,491.556,0.0
Amprion,Amprion,B725,B253,1.957892,3396.205,0.0
Amprion,Amprion,B231,B694,1.27723,491.556,0.0
TransnetBW,TransnetBW,B637,B211,3.993244,1698.103,0.0
TransnetBW,TransnetBW,B527,B647,4.178855,3396.205,0.0
TransnetBW,TransnetBW,B246,B167,2.336423,3396.205,0.0
TenneT,TenneT,B732,B314,0.724466,3396.205,0.0
Amprion,Amprion,B374,B254,10.476985,491.556,0.0
Amprion,Amprion,B470,B258,1.016077,491.556,0.0
Amprion,Amprion,B471,B252,0.830334,1698.103,0.0
50Hertz,TenneT,B611,B741,5.120892,3396.205,0.0
TenneT,TenneT,B278,B690,5.621255,3396.205,0.0
Amprion,Amprion,B341,B249,1.273746,3396.205,0.0
Amprion,Amprion,B351,B353,1.386351,3396.205,0.0
TenneT,TenneT,B716,B226,1.280841,3396.205,0.0
TransnetBW,TransnetBW,B269,B660,0.522509,1698.103,0.0
TenneT,50Hertz,B13,B158,8.947857,491.556,0.0
50Hertz,TenneT,B607,B522,9.18393,1698.103,0.0
TenneT,TenneT,B773,B615,5.740305,3396.205,0.0
50Hertz,50Hertz,B233,B193,0.383498,491.556,0.0
50Hertz,50Hertz,B289,B753,8.586679,1698.103,0.0
50Hertz,50Hertz,B289,B753,8.586679,1698.103,0.0
50Hertz,50Hertz,B444,B289,11.443091,1698.103,0.0
50Hertz,50Hertz,B569,B289,17.481874,1698.103,0.0
50Hertz,50Hertz,B439,B601,8.343735,491.556,0.0
50Hertz,50Hertz,B602,B396,20.626569,1698.103,0.0
Amprion,Amprion,B644,B648,28.118634,1698.103,0.0
Amprion,Amprion,B644,B340,16.550639,1698.103,0.0
Amprion,Amprion,B612,B596,6.006525,1698.103,0.0
Amprion,Amprion,B459,B154,2.996302,1698.103,0.0
Amprion,Amprion,B506,B154,0.478603,1698.103,0.0
Amprion,Amprion,B154,B725,3.599752,1698.103,0.0
Amprion,Amprion,B154,B725,3.599752,1698.103,0.0
Amprion,Amprion,B357,B383,7.643794,983.112,0.0
Amprion,Amprion,B353,B384,18.032873,1698.103,0.0
Amprion,Amprion,B423,B541,1.513074,983.112,0.0
Amprion,Amprion,B427,B357,5.03232,491.556,0.0
Amprion,Amprion,B541,B560,1.703806,983.112,0.0
Amprion,Amprion,B427,B357,5.03232,491.556,0.0
Amprion,Amprion,B725,B524,0.364064,5094.308,0.0
Amprion,Amprion,B434,B420,0.703038,983.112,0.0
Amprion,Amprion,B494,B528,3.242922,1698.103,0.0
Amprion,Amprion,B535,B2,0.520137,1698.103,0.0
Amprion,Amprion,B2,B3,1.202008,1698.103,0.0
Amprion,Amprion,B3,B596,0.583433,1698.103,0.0
Amprion,Amprion,B535,B2,0.520137,1698.103,0.0
Amprion,Amprion,B2,B3,1.202008,1698.103,0.0
Amprion,Amprion,B3,B596,0.583433,1698.103,0.0
Amprion,Amprion,B776,B466,7.518673,491.556,0.0
Amprion,Amprion,B496,B371,1.035286,491.556,0.0
Amprion,Amprion,B496,B371,1.035286,491.556,0.0
50Hertz,50Hertz,B763,B629,26.442643,1698.103,0.0
50Hertz,50Hertz,B629,B550,1.944337,1698.103,0.0
Amprion,Amprion,B4,B496,2.556869,491.556,0.0
Amprion,Amprion,B4,B496,2.535215,491.556,0.0
TransnetBW,TenneT,B410,B516,10.833134,1698.103,0.0
TenneT,TenneT,B455,B515,0.848948,983.112,0.0
Amprion,Amprion,B495,B466,0.526627,491.556,0.0
50Hertz,50Hertz,B759,B5,0.681447,1698.103,0.0
50Hertz,50Hertz,B5,B6,0.705592,1698.103,0.0
50Hertz,50Hertz,B6,B406,21.256725,1698.103,0.0
50Hertz,50Hertz,B759,B5,0.681447,1698.103,0.0
50Hertz,50Hertz,B5,B6,0.705592,1698.103,0.0
50Hertz,50Hertz,B6,B406,21.256725,1698.103,0.0
TransnetBW,TransnetBW,B457,B409,9.298191,491.556,0.0
TenneT,TenneT,B578,B315,1.366643,1698.103,0.0
TenneT,TenneT,B445,B286,7.00054,1698.103,0.0
TenneT,TenneT,B545,B546,6.271991,1698.103,0.0
50Hertz,50Hertz,B566,B7,1.039367,1698.103,0.0
50Hertz,50Hertz,B566,B7,1.039367,1698.103,0.0
Amprion,Amprion,B470,B349,5.701063,491.556,0.0
Amprion,Amprion,B470,B8,6.042075,491.556,0.0
TenneT,50Hertz,B522,B607,9.159463,1698.103,0.0
50Hertz,50Hertz,B764,B657,16.987937,491.556,0.0
50Hertz,50Hertz,B764,B657,16.987937,491.556,0.0
TenneT,TenneT,B299,B445,7.302633,1698.103,0.0
TenneT,TenneT,B299,B445,7.302633,1698.103,0.0
Amprion,Amprion,B276,B743,1.482302,491.556,0.0
TenneT,TenneT,B697,B300,1.408763,1698.103,0.0
TenneT,TenneT,B295,B10,6.651564,1698.103,0.0
TenneT,TenneT,B295,B10,6.647402,1698.103,0.0
Amprion,Amprion,B349,B496,3.015337,491.556,0.0
Amprion,Amprion,B349,B496,3.015337,491.556,0.0
Amprion,Amprion,B744,B743,1.675408,491.556,0.0
TenneT,TenneT,B368,B483,13.943248,1698.103,0.0
50Hertz,TenneT,B390,B404,9.698605,491.556,0.0
Amprion,Amprion,B612,B341,2.067163,1698.103,0.0
Amprion,Amprion,B596,B341,4.009502,1698.103,0.0
Amprion,Amprion,B341,B11,0.864232,1698.103,0.0
Amprion,Amprion,B11,B479,1.829583,1698.103,0.0
Amprion,Amprion,B341,B11,0.864232,1698.103,0.0
Amprion,Amprion,B11,B479,1.829583,1698.103,0.0
Amprion,TenneT,B559,B656,15.981754,1698.103,0.0
TenneT,TenneT,B656,B774,11.809547,1698.103,0.0
Amprion,Amprion,B389,B559,10.045198,1698.103,0.0
Amprion,Amprion,B559,B367,12.465115,1698.103,0.0
Amprion,Amprion,B642,B367,21.950565,1698.103,0.0
Amprion,TenneT,B559,B656,15.981754,1698.103,0.0
TenneT,TenneT,B571,B655,3.958689,1698.103,0.0
TenneT,TenneT,B571,B655,3.958689,1698.103,0.0
TenneT,TenneT,B655,B741,6.630758,1698.103,0.0
TenneT,TenneT,B655,B741,6.630758,1698.103,0.0
TenneT,TenneT,B333,B285,0.722748,1698.103,0.0
TenneT,TenneT,B333,B285,0.722748,1698.103,0.0
Amprion,Amprion,B355,B512,7.869779,1698.103,0.0
Amprion,50Hertz,B559,B770,31.912835,1698.103,0.0
50Hertz,50Hertz,B771,B770,17.859172,1698.103,0.0
50Hertz,TenneT,B12,B13,6.17277,491.556,0.0
Amprion,Amprion,B359,B454,12.453826,1698.103,0.0
50Hertz,50Hertz,B396,B277,17.406303,1698.103,0.0
TenneT,TenneT,B539,B606,22.547838,491.556,0.0
TenneT,TenneT,B523,B522,11.892634,1698.103,0.0
50Hertz,50Hertz,B756,B658,13.692023,1698.103,0.0
TenneT,TenneT,B368,B509,1.993687,1698.103,0.0
TenneT,TenneT,B555,B578,3.485557,1698.103,0.0
TenneT,TenneT,B555,B578,3.485557,1698.103,0.0
TenneT,TenneT,B690,B555,5.586763,1698.103,0.0
TenneT,TenneT,B690,B555,5.586763,1698.103,0.0
50Hertz,50Hertz,B292,B537,0.735599,1698.103,0.0
50Hertz,50Hertz,B684,B573,2.367401,1698.103,0.0
50Hertz,50Hertz,B684,B573,2.367401,1698.103,0.0
TransnetBW,TransnetBW,B18,B513,6.706012,1698.103,0.0
TransnetBW,TransnetBW,B329,B589,11.520613,1698.103,0.0
TenneT,Amprion,B547,B34,9.99829,491.556,0.0
Amprion,Amprion,B782,B14,1.267399,3396.205,0.0
50Hertz,50Hertz,B657,B15,8.646784,1474.668,0.0
