Pmax (MW),Pmin (MW),Zone,Type,Flag_RET,Flag_thermal,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC
1.6,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43
1.6,0,BGE,Landfill_NG,0,1,0,0,15,0.39,0.43
1,0,PEPCO,Landfill_NG,0,1,0,0,15,0.39,0.43
2.8,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
27,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
5.5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
40,0,APS_MD,WindOn,0,0,1,0,5,0,0.28
1.1,0,BGE,Bio,0,1,0,0,20,0.99,0.43
1.1,0,BGE,Bio,0,1,0,0,20,0.99,0.43
0.8,0,BGE,SolarPV,0,0,1,0,5,0,0.35
30,0,APS_MD,WindOn,0,0,1,0,5,0,0.28
310.3,0,DPL_MD,NGCC,0,1,0,0,23.76,0.4,0.98
310.3,0,DPL_MD,NGCC,0,1,0,0,23.76,0.4,0.98
493,0,DPL_MD,NGCC,0,1,0,0,23.76,0.4,0.98
1.2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
10.3,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1,0,BGE,SolarPV,0,0,1,0,5,0,0.35
3.2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
75,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1.1,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.6,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
359.6,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
235.5,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
235.5,0,PEPCO,NGCC,0,1,0,0,23.76,0.4,0.98
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1.2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1.6,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1.5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1.5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
10,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
12,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1.4,0,BGE,SolarPV,0,0,1,0,5,0,0.35
13.6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1.4,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.7,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,BGE,SolarPV,0,0,1,0,5,0,0.35
7.9,0,BGE,NGCT,0,1,0,0,33.65,0.59,0.98
1.1,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1.4,0,BGE,SolarPV,0,0,1,0,5,0,0.35
9,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
15.7,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.6,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2.6,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
94,0,PEPCO,NGCT,0,1,0,0,33.65,0.59,0.98
1.3,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.7,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
4,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.8,0,BGE,SolarPV,0,0,1,0,5,0,0.35
5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2.5,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
7.5,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1.7,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2.3,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1.3,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
10,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.6,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.1,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
4.3,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.9,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1.3,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.4,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35
1,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
20,0,DPL_MD,SolarPV,0,0,1,0,5,0,0.35
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
6,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
16,0,PEPCO,Oil,1,1,0,0,40,0.82,0.98
1.5,0,BGE,SolarPV,0,0,1,0,5,0,0.35
2,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
2,0,APS_MD,SolarPV,0,0,1,0,5,0,0.35
1.9,0,PEPCO,SolarPV,0,0,1,0,5,0,0.35
