Technology,Zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24
WindOn,CE_IL,Existing,0,43928.76790132499,2234.693799375,2368.740724125,2368.740724125,2508.0437266875,2560.4248112625,2508.0437266875,2105.80187475,2105.80187475,2234.693799375,1981.963878,1639.7626509375,1639.7626509375,1749.0453464999998,1535.1295670625002,1339.4079181875,1248.1171978124999,1078.1705604375,1078.1705604375,1161.0717674999999,1339.4079181875,1535.1295670625002,1639.7626509375,1863.0787314375,2105.80187475
SolarPV,CE_IL,Existing,0,446.01013215000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.119124925000005,52.8120351,67.752924525,74.959218675,75.797857575,53.457240375000005,55.79464275,34.322040225,1.9950480000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,CE_IL,Existing,0,34661.056100675,786.3543913875001,417.5180111499999,273.07720255000004,44.2424618,0.0,35.904079450000154,619.9701273749997,809.3854780249999,830.3717612374999,1286.7471466125003,1790.8512613500002,1903.0492889999996,1801.0409622125005,1995.908298525,2161.8728407125,2287.4779060875003,2642.9893101749994,2713.5000000000005,2713.5000000000005,2713.5000000000005,2360.8435578375,2039.5695242124998,1510.4383888374998,922.9441021375001
Landfill_NG,CE_IL,Existing,0,908.5,39.5,39.5,39.5,39.5,0.0,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
Bio,CE_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG,CE_IL,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,PEP_DE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,PEP_DE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,PEP_DE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,PEP_DE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
